THE_TE_UID_1,THE_TE_UID_2
70476,68545
91314,68545
90975,68547
92682,68547
93004,68547
71382,68553
70747,68555
92624,68557
92625,68557
91664,68557
91721,68557
140236,68557
91782,68558
92920,68558
70776,68558
70726,68558
70803,68558
70561,68560
91868,68560
94050,68560
171301,68560
162879,68561
92259,68564
92775,68564
92919,68568
92917,68568
93478,68568
92224,68569
92225,68569
92019,68569
92134,68569
70693,68569
162571,68569
91177,68570
92246,68570
92247,68570
93295,68570
71247,68571
71250,68571
71255,68571
71749,68571
91164,68574
91057,68578
70513,68578
70744,68580
70745,68580
91987,68582
91988,68582
91653,68582
162574,68582
162575,68582
162576,68582
138835,68586
70785,68586
70786,68586
70787,68590
70620,68590
91908,68592
70862,68593
70907,68594
93209,68595
121262,68595
171246,68595
162878,68596
107173,68596
68599,68596
70863,68600
83629,68600
83630,68600
94386,68600
70691,68601
70986,68601
93186,68602
93313,68602
93314,68602
92312,68602
92403,68603
91764,68603
71119,68607
71258,68608
171276,68611
70713,68613
70729,68615
93415,68622
70853,68625
71046,68626
71062,68626
71063,68626
71064,68626
71205,68628
142991,68628
70854,68633
70482,68634
70483,68634
70673,68636
70828,68638
70829,68638
71105,68639
71106,68639
71009,68639
83990,68641
71804,68641
93409,68641
93010,68641
91779,68641
91416,68641
92076,68641
92079,68641
93743,68641
91275,68642
70964,68642
70609,68642
71103,68645
70922,68646
70489,68646
94392,68649
71150,68650
71151,68650
71291,68652
71333,68652
70735,68652
171206,68652
70749,68653
70758,68653
71066,68653
71326,68653
71327,68653
71339,68657
78232,68657
71140,68660
70506,68660
93724,68660
70732,68661
71184,68661
71204,68665
93449,68666
159153,68673
121263,68673
70942,68680
92975,68685
92978,68685
92113,68685
71240,68686
71773,68686
93517,68689
93518,68690
93519,68690
93034,68694
162975,68694
93687,68697
93992,68697
93237,68697
91562,68697
84701,68698
71601,68699
71583,68700
70478,68700
93237,68700
93235,68700
93236,68700
93232,68700
92567,68700
93855,68700
94393,68700
94407,68700
91860,68701
92027,68701
91407,68702
92537,68702
93138,68702
93139,68702
93687,68703
93686,68703
93685,68703
162965,68703
71078,68704
78874,68704
71720,68706
92169,68706
92198,68706
92031,68709
92781,68709
92791,68709
71760,68709
71650,68709
91163,68709
91157,68709
91158,68709
91090,68709
90998,68709
90999,68709
91000,68709
91001,68709
87679,68709
70494,68709
70495,68709
93813,68709
70565,68712
70567,68712
92713,68712
91483,68712
92211,68713
92212,68713
92293,68716
91638,68716
71654,68716
162966,68716
71036,68717
92456,68717
92475,68717
93385,68717
93386,68717
93084,68719
93207,68719
92825,68719
92826,68719
92828,68719
92500,68719
92355,68719
92015,68719
92016,68719
92124,68719
91263,68719
91264,68719
92551,68721
93263,68721
93651,68721
93854,68721
93373,68722
71474,68722
71161,68723
71714,68723
93383,68723
92963,68723
92964,68723
92966,68723
92303,68723
92304,68723
93854,68723
93853,68723
93855,68723
93851,68723
93679,68723
119413,68725
91652,68725
92541,68725
93379,68725
70757,68725
70813,68727
71014,68733
71679,68734
71158,68734
92956,68734
91451,68734
91648,68735
93010,68735
93011,68735
92562,68735
78268,68735
70714,68735
70630,68735
70730,68739
92501,68739
94421,68739
93189,68741
91989,68742
91650,68743
93379,68743
171297,68744
171298,68744
71121,68747
71451,68748
71148,68750
71796,68754
91241,68754
87726,68754
70708,68754
99634,68754
70722,68762
71076,68765
68761,68765
68763,68765
68764,68765
68770,68765
68772,68765
71389,68765
92590,68765
91584,68765
92188,68765
70678,68768
70679,68768
70958,68768
93743,68771
93741,68771
93742,68771
71279,68775
91865,68775
91086,68778
71452,68779
91323,68781
91705,68781
93361,68781
91427,68782
91577,68783
93494,68783
92914,68783
93805,68783
93985,68783
94089,68785
70754,68785
92593,68786
93609,68786
91906,68789
92050,68789
70931,68791
70979,68793
70997,68794
92502,68794
92974,68794
92558,68796
91155,68796
70662,68797
92918,68797
92979,68797
91654,68798
92559,68799
93032,68800
93155,68800
71176,68800
91267,68801
91254,68803
91056,68803
90327,68803
71452,68803
71733,68803
93587,68803
93490,68803
92632,68803
92751,68803
91705,68803
91853,68803
91789,68803
91790,68803
91515,68803
92207,68803
91978,68803
71259,68804
91155,68804
143004,68805
92034,68806
91711,68806
91749,68806
92853,68806
91387,68807
71732,68807
142091,68807
91230,68810
70499,68811
68849,68812
91799,68812
92732,68814
70524,68814
90916,68814
92733,68816
70530,68818
91141,68820
91142,68821
91073,68821
91009,68821
92735,68821
170992,68821
92822,68822
92954,68822
93596,68822
91706,68822
91405,68822
92264,68822
91225,68822
91159,68822
91147,68823
91149,68823
70568,68824
94415,68824
94410,68824
94099,68825
70569,68827
94380,68828
70657,68833
91381,68833
71706,68833
91482,68833
70552,68836
70553,68836
70658,68838
70801,68838
92148,68838
71249,68839
71310,68840
91382,68841
71090,68841
70659,68841
71091,68842
70770,68853
106923,68853
70832,68854
70834,68854
70835,68854
70836,68854
70837,68854
70838,68854
68982,68854
70736,68855
71095,68858
71029,68858
71032,68859
71267,68859
70855,68866
70860,68867
94380,68867
70887,68868
71038,68868
71168,68868
70818,68869
71217,68873
70889,68877
70890,68877
92440,68880
91545,68880
71038,68881
71039,68881
71168,68881
70897,68882
70898,68882
70778,68882
70929,68885
160503,68885
71048,68890
71049,68890
68902,68892
92982,68892
162729,68892
93952,68892
93720,68899
93107,68899
71131,68899
71162,68901
71435,68901
94410,68904
94414,68904
94166,68904
70529,68907
70737,68908
70709,68908
70710,68908
68912,68911
68913,68911
71214,68911
70707,68915
70556,68916
91138,68916
93601,68916
91485,68916
70846,68917
91116,68923
91250,68924
91318,68924
69349,68924
92651,68924
70588,68925
92063,68926
93705,68926
93706,68926
70927,68927
70928,68927
70980,68928
70752,68928
91115,68928
71337,68928
71651,68928
71727,68928
71576,68928
92403,68928
91464,68928
91855,68928
92674,68928
92558,68928
93060,68928
93951,68928
93950,68928
130153,68928
164132,68928
70580,68932
70581,68932
70649,68933
68937,68933
91349,68933
91350,68933
91351,68933
93131,68933
93812,68933
93459,68934
91700,68934
91701,68934
92665,68935
68938,68939
68941,68942
68936,68942
93866,68943
70759,68944
70755,68947
70756,68947
91645,68947
92675,68948
92541,68948
71067,68948
93190,68950
70982,68951
71044,68952
92743,68952
92462,68952
92489,68952
92200,68952
91626,68954
92631,68954
71403,68954
71211,68957
93158,68957
162956,68957
93589,68959
93592,68959
71307,68959
91339,68959
91340,68959
93602,68960
70572,68961
70988,68964
70990,68964
90980,68969
71400,68969
92685,68969
93008,68969
92293,68969
92107,68971
92108,68971
92109,68971
91900,68971
92858,68971
71777,68971
87695,68971
71804,68973
70962,68973
92675,68973
92674,68973
91779,68973
71203,68975
171340,68975
71226,68976
70940,68977
70666,68977
68992,68977
140224,68977
70840,68981
70991,68986
71319,68987
71050,68988
71109,68990
71234,68994
70878,68996
71108,68998
68993,68998
71024,68999
70996,69001
71147,69001
71400,69001
99966,69002
99965,69004
99964,69005
71256,69005
71260,69006
71261,69006
91187,69008
93403,69010
91981,69012
91249,69012
91051,69012
91080,69013
70880,69013
91893,69013
93294,69013
93732,69013
93772,69015
92852,69015
92082,69018
93249,69020
92162,69022
93464,69023
71022,69024
71069,69024
71122,69032
71027,69033
92072,69037
94008,69038
100194,69041
71315,69044
71314,69046
90993,69048
93499,69048
162713,69048
91015,69049
70487,69049
91217,69052
94396,69056
162986,69063
78192,69063
93054,69068
162955,69068
170110,69070
92159,69071
71246,69072
93347,69073
93348,69073
93444,69077
71297,69079
70555,69081
70694,69084
71141,69086
70917,69088
91215,69088
70916,69091
92126,69091
92128,69092
93165,69092
91190,69092
71163,69093
70820,69093
70674,69093
92533,69093
69437,69094
91568,69097
162952,69097
91524,69098
91787,69099
92635,69099
93368,69099
70807,69099
87472,69100
93500,69100
91803,69100
92802,69101
78148,69101
70849,69101
71107,69101
92797,69104
92798,69105
92374,69108
92799,69109
