TH_T_U_UID_1,TH_T_U_UID_2
131607,131530
131915,131530
133907,131530
133941,131530
133967,131530
131557,131532
134085,131535
135035,131538
131723,131543
131639,131544
132870,131544
133059,131544
134975,131544
135491,131544
136709,131544
136710,131544
136711,131544
172163,131544
131547,131546
131590,131546
131546,131547
134993,131548
134971,131550
133935,131551
133319,131553
205442,131553
205443,131553
205444,131553
131564,131554
131669,131554
131735,131554
135818,131554
135293,131554
133987,131556
131532,131557
131699,131559
132487,131559
135604,131559
134982,131559
131561,131560
131590,131560
131560,131561
135286,131563
135026,131564
131566,131564
131554,131564
131564,131566
131592,131566
135010,131566
134978,131566
135240,131567
134211,131567
134235,131567
134411,131567
132060,131567
143703,131567
134241,131571
135265,131572
132060,131572
134412,131573
134389,131573
134390,131573
133997,131574
133732,131574
133441,131574
131648,131576
163043,131576
163063,131576
202731,131576
163043,131577
133317,131578
135357,131578
131582,131581
131581,131582
133440,131582
135526,131587
134993,131590
131560,131590
131546,131590
131754,131590
131755,131590
131692,131591
131630,131591
134311,131591
134371,131591
134258,131591
134177,131591
154043,131591
183904,131592
134971,131592
131566,131592
133489,131592
135101,131593
131673,131597
131782,131597
133335,131601
133888,131604
133740,131607
133660,131607
134074,131607
134079,131607
134031,131607
134124,131607
134247,131607
134371,131607
134418,131607
134998,131607
135275,131607
134578,131607
135285,131607
135902,131607
133508,131607
133574,131607
133590,131607
133619,131607
133647,131607
131811,131607
131812,131607
131813,131607
131822,131607
131845,131607
131853,131607
131918,131607
131942,131607
131666,131607
131750,131607
131732,131607
131530,131607
131631,131607
183919,131607
131709,131609
135169,131609
134307,131612
134308,131612
134294,131612
206601,131612
131636,131616
135304,131625
135902,131630
131632,131630
131591,131630
131632,131631
131607,131631
133231,131631
131631,131632
131630,131632
131645,131632
135902,131632
183919,131632
154043,131632
131644,131636
131671,131636
131616,131636
131834,131636
132265,131636
131687,131638
131544,131639
133038,131639
131671,131644
131636,131644
131834,131644
135748,131644
135328,131644
134125,131644
190386,131644
135160,131645
131664,131645
131632,131645
135160,131646
131576,131648
133331,131648
136774,131653
131898,131661
133059,131662
131645,131664
135160,131664
134172,131665
134037,131665
131732,131666
131607,131666
131668,131667
131667,131668
131554,131669
134418,131670
135198,131670
134578,131670
134719,131670
131636,131671
131644,131671
132265,131671
132253,131671
141382,131671
185101,131672
131682,131672
132060,131672
135270,131672
134295,131672
134299,131672
134235,131672
134236,131672
134227,131672
131597,131673
131694,131674
131738,131674
131739,131674
135491,131677
135485,131677
196600,131680
135278,131682
134227,131682
134235,131682
134231,131682
131672,131682
131782,131685
131779,131685
131638,131687
134139,131687
134140,131687
134079,131687
133964,131687
133740,131687
135234,131687
134998,131687
135809,131687
135037,131692
134177,131692
134371,131692
131750,131692
131591,131692
131674,131694
133429,131696
