TH_T_U_UID,TERM,CLA_GR_UID,BROAD_TERM_U_UID,TOP_TERM_U_UID
131528,DOMESTIC,1,,131528
131530,KITCHEN,1,131528,131528
131532,ABBOTS SUMMER PALACE,1,134998,131528
131533,ADULTERINE CASTLE,1,131576,143383
131534,AGGREGATE VILLAGE,1,131673,131528
131535,FARM LABOURERS COTTAGE,1,135169,131528
131536,AISLED HALL HOUSE,1,131655,131528
131537,AISLED HOUSE,1,131655,131528
131538,APARTMENT,1,134997,131528
131540,ARCHBISHOPS PALACE,1,134998,131528
131541,ARCHDEACONRY,1,131574,131528
131542,STUDIO HOUSE,1,135169,131528
131543,ASH PIT,1,135300,135088
131544,TOPSHOP,1,135392,132062
131546,BACK TO BACK HOUSE,1,131754,131528
131547,BACK TO BACK TERRACE,1,131753,131528
131548,BACK TO EARTH TERRACE,1,131753,131528
131549,BANJO ENCLOSURE,1,134003,134003
131550,BARK PEELERS HUT,1,131554,131528
131551,FARMHOUSE,1,135169,131528
131552,BASE CRUCK HOUSE,1,131613,131528
131553,BASTLE,1,131637,131528
131554,HUT,1,134997,131528
131556,BISHOPS PALACE,1,134998,131528
131557,BISHOPS SUMMER PALACE,1,131556,131528
131558,BIVALLATE HILLFORT,1,131601,131528
131559,SMITHS COTTAGE,1,134971,131528
131560,BLIND BACK HOUSE,1,131754,131528
131561,BLIND BACK TERRACE,1,131753,131528
131563,BURNT MOUND,1,131528,131528
131564,BOTHY,1,135011,131528
131565,BOX FRAME HOUSE,1,131756,131528
131566,WORKERS COTTAGE,1,134971,131528
131567,BRIDGE KEEPERS COTTAGE,1,135112,131528
131568,BUNGALOW,1,135169,131528
131569,BURH,1,131625,131528
131570,LONGHOUSE,1,135169,131528
131571,CANAL WORKERS COTTAGE,1,135112,131528
131572,LOCK KEEPERS COTTAGE,1,135112,131528
131573,TOLL HOUSE,1,135112,131528
131574,CLERGY HOUSE,1,131585,131528
131576,CASTLE,1,143383,143383
131577,KEEP,1,131576,143383
131578,MOTTE,1,131576,143383
131579,CHALET,1,135169,131528
131580,CHARCOAL BURNERS HUT,1,131554,131528
131581,CHARTIST COLONY HOUSE,1,135169,131528
131582,CHARTIST LAND COLONY,1,135007,131528
131584,CIVITAS CAPITAL,1,131760,131528
131585,CLERICAL DWELLING,1,135169,131528
131586,CLIFF CASTLE,1,131718,131528
131587,CLOTHES LINE ENCLOSURE,1,131625,131528
131588,CLOTHIERS HOUSE,1,134971,131528
131589,CLUSTER BLOCK,1,134996,131528
131590,CLUSTER HOUSE,1,134996,131528
131591,COACHMANS COTTAGE,1,135112,131528
131592,WORKERS VILLAGE,1,131673,131528
131593,COAL SHED,1,135522,135088
131594,COLONIA,1,131760,131528
131597,COMMUNAL BAKEHOUSE,1,135275,131528
131598,CONCENTRIC CASTLE,1,131576,143383
131599,CONSTRUCTION CAMP,1,131653,131528
131600,CONTINUOUS JETTY HOUSE,1,131676,131528
131601,HILLFORT,1,131625,131528
131604,COTTAGE ORNEE,1,131811,131783
131605,COUNCIL HOUSE,1,135169,131528
131606,COUNCIL FLATS,1,131782,131528
131607,COUNTRY HOUSE,1,135169,131528
131608,COURTYARD HOUSE,1,135169,131528
131609,CRANNOG,1,131653,131528
131610,CROSS PASSAGE HOUSE,1,135169,131528
131611,CROSS WING HOUSE,1,131655,131528
131612,CROSSING KEEPERS COTTAGE,1,135112,131528
131613,CRUCK HOUSE,1,131756,131528
131615,DEANERY,1,131574,131528
131616,LARDER,1,131528,131528
131617,DETACHED HOUSE,1,135169,131528
131618,KENNELS,1,131528,131528
131619,SEMI DETACHED HOUSE,1,135169,131528
131620,DOUBLE ENDED HALL HOUSE,1,131655,131528
131621,DOWER HOUSE,1,135169,131528
131622,ENCLOSED HUT CIRCLE SETTLEMENT,1,131625,131528
131625,ENCLOSED SETTLEMENT,1,131653,131528
131627,END GABLED HOUSE,1,131641,131528
131629,END JETTY HOUSE,1,131676,131528
131630,ESTATE COTTAGE,1,135169,131528
131631,ESTATE LAUNDRY,1,135878,131528
131632,ESTATE VILLAGE,1,135007,131528
131634,FERRYKEEPERS COTTAGE,1,135112,131528
131635,FIRST FLOOR HALL HOUSE,1,131655,131528
131636,FISH HOUSE,1,135098,134003
131637,FORTIFIED HOUSE,1,135169,131528
131638,FORTIFIED MANOR HOUSE,1,131637,131528
