THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
68543,"AGRICULTURE AND SUBSISTENCE",N,"Sites, buildings, structures, features and areas of land associated with cultivation, the rearing of livestock, gathering, hunting & fishing. Includes farm based processing of foodstuffs & storage of agricultural produce.",1,P,"-"
68544,"AGRICULTURAL BUILDING",Y,"A building used for an agricultural and/or subsistence purpose. Use more specific type where known.",1,P,"-"
68545,"ABATTOIR",Y,"A building where animals are slaughtered.",1,P,"-"
68546,"ASH HOUSE",Y,"A small outlying farm building, especially common in southern England, used to store ash (which was used as a fertilizer).",1,P,"-"
68547,"BARN",Y,"A building for the storage and processing of grain crops and for housing straw, farm equipment and occasionally livestock and their fodder. Use more specific type where known.",1,P,"-"
68548,"BARN PLATFORM",Y,"A levelled area of ground on which a barn is built. A platform is often the sole surviving evidence for a barn.",1,P,"-"
68549,"TITHE BARN",Y,"A large barn used to store the tithe (a tenth part of the annual produce of agriculture etc.) which was paid by the tenants of ecclesiastical lands.",1,P,"-"
68550,"Beasthouse",N,"-",1,N,"-"
68551,"Brew House",N,"-",1,N,"-"
68552,"Byre",N,"-",1,N,"-"
68553,"CIDER HOUSE",Y,"A building, or part of a building, for the milling and pressing of cider apples to produce cider (or pears for perry) and for storing the drink in barrels.",1,P,"-"
68554,"CIDER MILL",Y,"A HORSE GIN used for domestic cider manufacture, especially on farms.",1,P,"-"
68555,"CORN MILL",Y,"A mill for grinding corn. Use with power type where known.",1,P,"-"
68556,"CURING HOUSE",Y,"A place where meat and fruit, etc, is preserved by salting and/or drying.",1,P,"-"
68557,"DAIRY",Y,"A building or group of buildings used for the making, processing, storing and selling of milk and other dairy products.",1,P,"-"
68558,"DOVECOTE",Y,"A building, or part of a building, used to house doves and pigeons, usually placed at a height above the ground, with openings and provision inside for roosting and breeding.",1,P,"-"
68559,"DUCK HOUSE",Y,"A building used to accommodate ducks.",1,P,"-"
68560,"FARMHOUSE",Y,"The main dwelling-house of a farm, it can be either detached from or attached to the working buildings.",1,P,"-"
68561,"GRANARY",Y,"A building, or first-floor room in a building, for the dry and secure storage of grain after it has been threshed and winnowed.",1,P,"-"
68562,"Greenhouse",N,"-",1,N,"-"
68563,"HOP KILN",Y,"A kiln for drying hops in a brewery or maltings complex, as distinct from the OASTHOUSES found on farms.",1,P,"-"
68564,"OASTHOUSE",Y,"A building for the storage and drying of hops, often including a hop drying kiln. Usually built as part of a farm.",1,P,"-"
68565,"Long House",N,"-",1,N,"-"
68566,"MALT HOUSE",Y,"A building with malt kilns for the malting of grains and with other similar equipment for brewing work.",1,P,"-"
68567,"MALT KILN",Y,"A kiln with a pyramid roof and capped vent in which barley is dried. Found on the site of a malt house.",1,P,"-"
68568,"PIGSTY",Y,"An enclosure for pigs that includes a covered pen and yard.",1,P,"-"
