#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/ads_eh_period_ads_hes_scapa.sssom.tsv
#mapping_set_title: Historic England Periods → Scottish Archaeological Periods SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Historic England Periods (concept scheme: http://purl.org/heritagedata/schemes/eh_period), targeting Scottish Archaeological Periods (concept scheme: http://purl.org/heritagedata/schemes/scapa). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: fish:schemes/eh_period
#subject_source_version: 2025-07-17
#object_source: fish:schemes/scapa
#comment: Extracted from local RDF file(s) FISH/HE_Periods_20250717.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
fish:schemes/eh_period/concepts/AS	Anglo-Saxon	skos:closeMatch	fish:schemes/scapa/concepts/ASA		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/BA	Bronze Age	skos:closeMatch	fish:schemes/scapa/concepts/BA		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C01	1st Century	skos:exactMatch	fish:schemes/scapa/concepts/C01		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C02	2nd Century	skos:exactMatch	fish:schemes/scapa/concepts/C02		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C03	3rd Century	skos:exactMatch	fish:schemes/scapa/concepts/C03		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C04	4th Century	skos:exactMatch	fish:schemes/scapa/concepts/C04		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C05	5th Century	skos:exactMatch	fish:schemes/scapa/concepts/C05		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C06	6th Century	skos:exactMatch	fish:schemes/scapa/concepts/C06		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C07	7th Century	skos:exactMatch	fish:schemes/scapa/concepts/C07		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C08	8th Century	skos:exactMatch	fish:schemes/scapa/concepts/C08		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C09	9th Century	skos:exactMatch	fish:schemes/scapa/concepts/C09		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C10	10th Century	skos:exactMatch	fish:schemes/scapa/concepts/C10		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C11	11th Century	skos:exactMatch	fish:schemes/scapa/concepts/C11		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C12	12th Century	skos:exactMatch	fish:schemes/scapa/concepts/C12		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C13	13th Century	skos:exactMatch	fish:schemes/scapa/concepts/C13		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C14	14th Century	skos:exactMatch	fish:schemes/scapa/concepts/C14		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C15	15th Century	skos:exactMatch	fish:schemes/scapa/concepts/C15		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C16	16th Century	skos:exactMatch	fish:schemes/scapa/concepts/C16		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C17	17th Century	skos:exactMatch	fish:schemes/scapa/concepts/C17		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C18	18th Century	skos:exactMatch	fish:schemes/scapa/concepts/C18		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C19	19th Century	skos:exactMatch	fish:schemes/scapa/concepts/C19		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C20	20th Century	skos:exactMatch	fish:schemes/scapa/concepts/C20		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/C21	21st Century	skos:exactMatch	fish:schemes/scapa/concepts/C21		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/CH	Chalcolithic	skos:closeMatch	fish:schemes/scapa/concepts/CH		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/E20	Early 20th Century	skos:exactMatch	fish:schemes/scapa/concepts/E20		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/E21	Early 21st Century	skos:exactMatch	fish:schemes/scapa/concepts/E21		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EBA	Early Bronze Age	skos:closeMatch	fish:schemes/scapa/concepts/EBA		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC01	Early 1st Century	skos:exactMatch	fish:schemes/scapa/concepts/E01		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC02	Early 2nd Century	skos:exactMatch	fish:schemes/scapa/concepts/E02		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC03	Early 3rd Century	skos:exactMatch	fish:schemes/scapa/concepts/E03		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC04	Early 4th Century	skos:exactMatch	fish:schemes/scapa/concepts/E04		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC05	Early 5th Century	skos:exactMatch	fish:schemes/scapa/concepts/E05		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC06	Early 6th Century	skos:exactMatch	fish:schemes/scapa/concepts/E06		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC07	Early 7th Century	skos:exactMatch	fish:schemes/scapa/concepts/E07		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC08	Early 8th Century	skos:exactMatch	fish:schemes/scapa/concepts/E08		semapv:UnspecifiedMatching	
fish:schemes/eh_period/concepts/EC09	Early 9th Century	skos:exactMatch	fish:schemes/scapa/concepts/E09		semapv:UnspecifiedMatching	
