#curie_map:
#  fish: http://purl.org/heritagedata/
#  fish_tbm: http://purl.org/heritagedata/schemes/eh_tbm
#  fish_com: http://purl.org/heritagedata/schemes/eh_com
#  fish_obj: http://purl.org/heritagedata/schemes/mda_obj
#  fish_tmc: http://purl.org/heritagedata/schemes/eh_tmc
#  fish_tmt2: http://purl.org/heritagedata/schemes/eh_tmt2
#  aat: http://vocab.getty.edu/aat/
#  skos: http://www.w3.org/2004/02/skos/core#
#  orcid: https://orcid.org/
#  github: https://github.com/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/ads_mda_obj_aat.sssom.tsv
#mapping_set_title: ADS FISH Objects → Getty AAT crosswalk (ARIADNE)
#mapping_set_description: FISH-thesaurus-to-AAT concept crosswalk compiled by the Archaeology Data Service (ADS) for the ARIADNE project, extracted from the project's published PDF table.
#license: https://creativecommons.org/licenses/by/4.0/
#mapping_date: 2019-01-29
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/04w1khd64
#mapping_tool: build_aat_mappings.py (PDF table extraction)
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_aat_mappings.py
#subject_source: fish_obj:
#object_source: aat:
#see_also: http://legacy.ariadne-infrastructure.eu/wp-content/uploads/2019/01/ARIADNE_ADS_AAT_Mappings.pdf
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
fish_obj:/concepts/96909	skos:exactMatch	aat:300023553	semapv:UnspecifiedMatching	ADZE	adzes	
fish_obj:/concepts/95055	skos:closeMatch	aat:300054463	semapv:UnspecifiedMatching	AGRICULTURE AND SUBSISTENCE	agriculture	
fish_obj:/concepts/142915	skos:exactMatch	aat:300264223	semapv:UnspecifiedMatching	ALLUVIUM	alluvium	
fish_obj:/concepts/100100	skos:broadMatch	aat:300251797	semapv:UnspecifiedMatching	AMPHIBIAN REMAINS	animal components	
fish_obj:/concepts/96750	skos:exactMatch	aat:300148696	semapv:UnspecifiedMatching	AMPHORA	amphorae (storage vessels)	
fish_obj:/concepts/95897	skos:exactMatch	aat:300198899	semapv:UnspecifiedMatching	AMPULLA	ampullae	
fish_obj:/concepts/95896	skos:exactMatch	aat:300266585	semapv:UnspecifiedMatching	AMULET	amulets	
fish_obj:/concepts/97102	skos:exactMatch	aat:300036975	semapv:UnspecifiedMatching	ANGON	angons	
fish_obj:/concepts/95074	skos:exactMatch	aat:300191781	semapv:UnspecifiedMatching	Animal Bone	skeleton components (animal components)	
fish_obj:/concepts/95054	skos:broadMatch	aat:300255532	semapv:UnspecifiedMatching	ANIMAL EQUIPMENT	animal husbandry equipment	
fish_obj:/concepts/100097	skos:broadMatch	aat:300251797	semapv:UnspecifiedMatching	ANIMAL MICRO REMAINS	animal components	
fish_obj:/concepts/95074	skos:closeMatch	aat:300011793	semapv:UnspecifiedMatching	ANIMAL REMAINS	animal material	
fish_obj:/concepts/95074	skos:exactMatch	aat:300400467	semapv:UnspecifiedMatching	Animal Tooth	teeth (animal components)	
fish_obj:/concepts/97114	skos:exactMatch	aat:300263352	semapv:UnspecifiedMatching	ANNULAR BROOCH	ring brooches	
fish_obj:/concepts/141231	skos:broadMatch	aat:300045995	semapv:UnspecifiedMatching	Ansate Brooch	brooches	
fish_obj:/concepts/95074	skos:exactMatch	aat:300395687	semapv:UnspecifiedMatching	Antler	antlers (animal components)	
fish_obj:/concepts/95074	skos:broadMatch	aat:300395687	semapv:UnspecifiedMatching	Antler Tine	antlers (animal components)	
fish_obj:/concepts/96360	skos:exactMatch	aat:300000885	semapv:UnspecifiedMatching	ARCHITECTURAL ELEMENT	architectural elements	
fish_obj:/concepts/96002	skos:broadMatch	aat:300117130	semapv:UnspecifiedMatching	ARCHITECTURAL FRAGMENT	fragments (object portions)	
fish_obj:/concepts/95056	skos:exactMatch	aat:300263552	semapv:UnspecifiedMatching	ARCHITECTURE	architecture (object genre)	
fish_obj:/concepts/97103	skos:broadMatch	aat:300201790	semapv:UnspecifiedMatching	ARM GUARD	vambraces	
fish_obj:/concepts/96652	skos:exactMatch	aat:300045990	semapv:UnspecifiedMatching	ARMLET	armlets	
fish_obj:/concepts/95156	skos:exactMatch	aat:300036745	semapv:UnspecifiedMatching	ARMOUR	armor (protective wear)	
fish_obj:/concepts/97083	skos:closeMatch	aat:300036926	semapv:UnspecifiedMatching	ARMOUR AND WEAPONS	weapons	
fish_obj:/concepts/97083	skos:closeMatch	aat:300036745	semapv:UnspecifiedMatching	ARMOUR AND WEAPONS	armor (protective wear)	
fish_obj:/concepts/95131	skos:exactMatch	aat:300036976	semapv:UnspecifiedMatching	ARROW	arrows	
fish_obj:/concepts/95132	skos:exactMatch	aat:300024861	semapv:UnspecifiedMatching	ARROWHEAD	arrowheads	
fish_obj:/concepts/141192	skos:exactMatch	aat:300256847	semapv:UnspecifiedMatching	ASSEMBLAGE	assemblages (object groupings)	
fish_obj:/concepts/96914	skos:closeMatch	aat:300024663	semapv:UnspecifiedMatching	AWL	awls	
fish_obj:/concepts/141179	skos:exactMatch	aat:300024664	semapv:UnspecifiedMatching	AXE (TOOL)	axes (tools)	
