#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/dariah_vocabs__http_www_eionet_europa_eu_gemet_gemetthesaurus__unknown_target_scheme.sssom.tsv
#mapping_set_title: DARIAH-DE vocabularies SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of DARIAH-DE vocabularies (concept scheme: http://www.eionet.europa.eu/gemet/gemetThesaurus). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://www.eionet.europa.eu/gemet/gemetThesaurus
#comment: Extracted from local RDF file GEMET - Concepts.ttl; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
http://thesauri.dainst.org/de/concepts/_588a9c73.html		skos:exactMatch	https://vocabs.dariah.eu/bbt/Concept/000006		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/100	administrative body	skos:exactMatch	http://eurovoc.europa.eu/878		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/100	administrative body	skos:relatedMatch	http://dbpedia.org/resource/Administration_%28government%29		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/10002	accounting	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_62		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/10002	accounting	skos:exactMatch	http://eurovoc.europa.eu/54		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/10002	accounting	skos:relatedMatch	http://dbpedia.org/resource/Accountancy		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/10003	animal life	skos:exactMatch	http://eurovoc.europa.eu/972		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/10003	animal life	skos:relatedMatch	http://dbpedia.org/resource/Animal		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/10008	consumer product	skos:closeMatch	http://dbpedia.org/resource/Consumer_product		semapv:UnspecifiedMatching	
http://www.eionet.europa.eu/gemet/concept/1001	bridge	skos:closeMatch	http://data.uba.de/umt/_00028759		semapv:UnspecifiedMatching	
