#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#  fish: http://purl.org/heritagedata/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/fish__http_purl_org_heritagedata_schemes_scapa__unknown_target_scheme.sssom.tsv
#mapping_set_title: FISH SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of FISH (concept scheme: http://purl.org/heritagedata/schemes/scapa). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: fish:schemes/scapa
#subject_source_version: 2018-03-29T14:00:00+00:00
#comment: Extracted from local RDF file hes_scapa_20180329.rdf; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
fish:schemes/scapa/concepts/AN	Anglian	skos:broadMatch	fish:schemes/11/concepts/505127		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/AN	Anglian	skos:broadMatch	fish:schemes/eh_period/concepts/EM		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/ASA	Anglo-Saxon	skos:closeMatch	aat:300021024		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BA	Bronze Age	skos:closeMatch	aat:300019275		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BA	Bronze Age	skos:closeMatch	fish:schemes/11/concepts/505101		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BA	Bronze Age	skos:closeMatch	fish:schemes/eh_period/concepts/BA		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BALLIOL1	John Balliol	skos:exactMatch	http://db.poms.ac.uk/record/person/9642		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BRUCE1	Robert I	skos:exactMatch	http://db.poms.ac.uk/record/person/16081		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C01	1st Century	skos:exactMatch	aat:300404493		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C02	2nd Century	skos:exactMatch	aat:300404494		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C03	3rd Century	skos:exactMatch	aat:300404495		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C04	4th Century	skos:exactMatch	aat:300404496		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C05	5th Century	skos:exactMatch	aat:300404497		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C06	6th Century	skos:exactMatch	aat:300404498		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C07	7th Century	skos:exactMatch	aat:300404499		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C08	8th Century	skos:exactMatch	aat:300404500		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C09	9th Century	skos:exactMatch	aat:300404501		semapv:UnspecifiedMatching	
