#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/pactols__https_ark_frantiq_fr_ark_26678_th_1__unknown_target_scheme.sssom.tsv
#mapping_set_title: PACTOLS SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of PACTOLS (concept scheme: https://ark.frantiq.fr/ark:/26678/TH_1). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_provider: https://ror.org/04andmq85
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: pactols:TH_1
#subject_source_version: 2022-09-21
#comment: Extracted from local RDF file Pactols_Sujets_TH_1_20260722.rdf; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
pactols:crt086J8gLLhd	Bull of Heaven	skos:exactMatch	https://www.wikidata.org/wiki/Q616332		semapv:UnspecifiedMatching	
pactols:crt09RDbFRK8Z	Tortonian	skos:exactMatch	https://www.wikidata.org/wiki/Q499299		semapv:UnspecifiedMatching	
pactols:crt0IfHFutsYH	Medieval Warm Period	skos:exactMatch	https://www.wikidata.org/wiki/Q498819		semapv:UnspecifiedMatching	
pactols:crt0Pik42PmSA	Alexander IV of Macedon	skos:exactMatch	https://www.wikidata.org/wiki/Q207847		semapv:UnspecifiedMatching	
pactols:crt0Pp58SmBMa	Sukkalmah Dynasty	skos:exactMatch	https://www.wikidata.org/wiki/Q16611086		semapv:UnspecifiedMatching	
pactols:crt0SGJasLMHu	Third Crusade	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb12119242g		semapv:UnspecifiedMatching	
pactols:crt0SGJasLMHu	Third Crusade	skos:exactMatch	https://www.idref.fr/029600987		semapv:UnspecifiedMatching	
pactols:crt0SGJasLMHu	Third Crusade	skos:exactMatch	https://www.wikidata.org/wiki/Q51655		semapv:UnspecifiedMatching	
pactols:crt0fnJWSjuja	viscount	skos:exactMatch	https://fr.wikipedia.org/wiki/Vicomte		semapv:UnspecifiedMatching	
pactols:crt0fnJWSjuja	viscount	skos:exactMatch	https://www.wikidata.org/wiki/Q185902		semapv:UnspecifiedMatching	
pactols:crt0o3fj61idM	Middle Eocene	skos:exactMatch	https://www.wikidata.org/wiki/Q30938846		semapv:UnspecifiedMatching	
pactols:crt0q5boBIRqs	Lutetian	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb12215439b		semapv:UnspecifiedMatching	
pactols:crt0q5boBIRqs	Lutetian	skos:exactMatch	https://www.wikidata.org/wiki/Q514893		semapv:UnspecifiedMatching	
pactols:crt0yyleKF41u	symptom	skos:exactMatch	https://www.wikidata.org/wiki/Q1441305		semapv:UnspecifiedMatching	
pactols:crt12uRu16vKX	Tasian culture	skos:exactMatch	https://www.wikidata.org/wiki/Q1971621		semapv:UnspecifiedMatching	
pactols:crt1BTolxnSXt	Mesopotamian literature	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb11976547s		semapv:UnspecifiedMatching	
pactols:crt1BTolxnSXt	Mesopotamian literature	skos:exactMatch	https://fr.wikipedia.org/wiki/Littérature_mésopotamienne		semapv:UnspecifiedMatching	
pactols:crt1BTolxnSXt	Mesopotamian literature	skos:exactMatch	https://www.wikidata.org/wiki/Q419584		semapv:UnspecifiedMatching	
pactols:crt1NKqGesUaG	Carboniferous	skos:exactMatch	aat:300391469		semapv:UnspecifiedMatching	
pactols:crt1NKqGesUaG	Carboniferous	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb11964823x		semapv:UnspecifiedMatching	
pactols:crt1NKqGesUaG	Carboniferous	skos:exactMatch	https://www.wikidata.org/wiki/Q133738		semapv:UnspecifiedMatching	
pactols:crt1SIHVjctoF	Hieratic papyrus	skos:exactMatch	http://catalogue.bnf.fr/ark:/12148/cb11953424q		semapv:UnspecifiedMatching	
pactols:crt1VRuelzoEI	Sinemurian	skos:exactMatch	https://www.wikidata.org/wiki/Q911869		semapv:UnspecifiedMatching	
pactols:crt1mWHcK13fK	Oksywie culture	skos:exactMatch	https://www.wikidata.org/wiki/Q1814141		semapv:UnspecifiedMatching	
pactols:crt1oqEt2NXFO	Byzantine law	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb11971938q		semapv:UnspecifiedMatching	
pactols:crt1oqEt2NXFO	Byzantine law	skos:exactMatch	https://www.wikidata.org/wiki/Q166834		semapv:UnspecifiedMatching	
pactols:crt1pTYZMQsFI	Roman law	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb11931908z		semapv:UnspecifiedMatching	
pactols:crt1pTYZMQsFI	Roman law	skos:exactMatch	https://www.wikidata.org/wiki/Q162314		semapv:UnspecifiedMatching	
pactols:crt22eN9WefSS	praenomen	skos:exactMatch	https://fr.wikipedia.org/wiki/Prénom_romain		semapv:UnspecifiedMatching	
pactols:crt22eN9WefSS	praenomen	skos:exactMatch	https://www.wikidata.org/wiki/Q1240901		semapv:UnspecifiedMatching	
pactols:crt24k2oferVE	Bartonian	skos:exactMatch	https://www.wikidata.org/wiki/Q508675		semapv:UnspecifiedMatching	
pactols:crt25zSiU61dx	Faiyum A culture	skos:exactMatch	https://fr.wikipedia.org/wiki/Néolithique_du_Fayoum		semapv:UnspecifiedMatching	
pactols:crt25zSiU61dx	Faiyum A culture	skos:exactMatch	https://www.wikidata.org/wiki/Q20726248		semapv:UnspecifiedMatching	
pactols:crt27frSZhScu	engineer	skos:exactMatch	aat:300025063		semapv:UnspecifiedMatching	
pactols:crt27frSZhScu	engineer	skos:exactMatch	http://data.culture.fr/thesaurus/resource/ark:/67717/67717/?idc=T513-32913&idt=th80		semapv:UnspecifiedMatching	
pactols:crt27frSZhScu	engineer	skos:exactMatch	http://data.culture.fr/thesaurus/resource/ark:/67717/T15-108		semapv:UnspecifiedMatching	
pactols:crt27frSZhScu	engineer	skos:exactMatch	https://catalogue.bnf.fr/ark:/12148/cb11932114x		semapv:UnspecifiedMatching	
pactols:crt27frSZhScu	engineer	skos:exactMatch	https://www.wikidata.org/wiki/Q81096		semapv:UnspecifiedMatching	
pactols:crt2FBi1yI6rJ	Migration Period	skos:exactMatch	https://www.wikidata.org/wiki/Q131192		semapv:UnspecifiedMatching	
pactols:crt2IP6YXdM0d	tiki	skos:exactMatch	https://fr.wikipedia.org/wiki/Tiki		semapv:UnspecifiedMatching	
pactols:crt2IP6YXdM0d	tiki	skos:exactMatch	https://www.wikidata.org/wiki/Q13389032		semapv:UnspecifiedMatching	
pactols:crt2ThRmggG0p	metacarpal bones	skos:exactMatch	http://data.culture.fr/thesaurus/resource/ark:/67717/T505-3232		semapv:UnspecifiedMatching	
pactols:crt2ThRmggG0p	metacarpal bones	skos:exactMatch	https://www.wikidata.org/wiki/Q237229		semapv:UnspecifiedMatching	
pactols:crt2iEUXE1xw7	snail	skos:exactMatch	http://data.culture.fr/thesaurus/resource/ark:/67717/T505-3882		semapv:UnspecifiedMatching	
pactols:crt2iEUXE1xw7	snail	skos:exactMatch	https://www.wikidata.org/wiki/Q308841		semapv:UnspecifiedMatching	
pactols:crt2kKvSk4FeZ	Mār-bῑti-aḫḫē-idinna	skos:exactMatch	https://www.wikidata.org/wiki/Q2350975		semapv:UnspecifiedMatching	
pactols:crt2mtop80lS9	monastic order	skos:exactMatch	http://www.wikiwand.com/fr/Ordre_monastique		semapv:UnspecifiedMatching	
pactols:crt2mtop80lS9	monastic order	skos:exactMatch	https://www.wikidata.org/wiki/Q3355750		semapv:UnspecifiedMatching	
pactols:crt2tYsXlvXBQ	hobble	skos:broadMatch	http://data.culture.fr/thesaurus/resource/ark:/67717/T69-9568		semapv:UnspecifiedMatching	
