#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/backbone_dai.sssom.tsv
#mapping_set_title: Backbone Thesaurus → German Archaeological Institute (DAI) SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Backbone Thesaurus (concept scheme: https://vocabs.dariah.eu/bbt/ConceptScheme/Backbone_Thesaurus), targeting German Archaeological Institute (DAI) (concept scheme: http://thesauri.dainst.org/scheme). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: https://vocabs.dariah.eu/bbt/ConceptScheme/Backbone_Thesaurus
#subject_source_version: 1.2.8
#object_source: dai:scheme
#comment: Extracted from local RDF file(s) Dariah Vocabs/Backbone Thesaurus.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
backbone:000001	activities	skos:exactMatch	dai:_e04cc3e7		semapv:UnspecifiedMatching	
backbone:000002	natural processes	skos:exactMatch	dai:_e140fe64		semapv:UnspecifiedMatching	
backbone:000003	materials	skos:exactMatch	dai:_06103ab8		semapv:UnspecifiedMatching	
backbone:000004	material things	skos:exactMatch	dai:_1c0fa2d2		semapv:UnspecifiedMatching	
backbone:000006	conceptual objects	skos:exactMatch	dai:de/concepts/_588a9c73.html		semapv:UnspecifiedMatching	
backbone:000008	roles	skos:exactMatch	dai:de/concepts/_9a41616f.html		semapv:UnspecifiedMatching	
backbone:000009	geopolitical units	skos:exactMatch	dai:de/concepts/_8cb35559.html		semapv:UnspecifiedMatching	
backbone:000010	disciplines	skos:exactMatch	dai:de/concepts/_6e11e02c.html		semapv:UnspecifiedMatching	
backbone:000011	human interactions	skos:exactMatch	dai:_4dc296b2		semapv:UnspecifiedMatching	
backbone:000013	functions	skos:exactMatch	dai:de/concepts/_e2eff393.html		semapv:UnspecifiedMatching	
backbone:000016	geneses	skos:exactMatch	dai:_2fe07279		semapv:UnspecifiedMatching	
backbone:000017	mobile objects	skos:exactMatch	dai:_ad8ec5e3		semapv:UnspecifiedMatching	
backbone:000018	built environment	skos:exactMatch	dai:_233a3677		semapv:UnspecifiedMatching	
backbone:000019	physical features	skos:exactMatch	dai:de/concepts/_46c2d50b.html		semapv:UnspecifiedMatching	
backbone:000020	structural parts of material objects	skos:exactMatch	dai:_6a93899c		semapv:UnspecifiedMatching	
backbone:000021	symbolic objects	skos:exactMatch	dai:_598f0dfd		semapv:UnspecifiedMatching	
backbone:000022	propositional objects	skos:exactMatch	dai:_d9a01ada		semapv:UnspecifiedMatching	
backbone:000023	methods	skos:exactMatch	dai:_39260fea		semapv:UnspecifiedMatching	
backbone:000024	concepts	skos:exactMatch	dai:_dfdb34ff		semapv:UnspecifiedMatching	
backbone:000025	offices	skos:exactMatch	dai:de/concepts/_67a3acdc.html		semapv:UnspecifiedMatching	
