#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#  dai: http://thesauri.dainst.org/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/dai__http_thesauri_dainst_org_scheme__http_thesauri_dainst_org_scheme.sssom.tsv
#mapping_set_title: German Archaeological Institute (DAI) SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of German Archaeological Institute (DAI) (concept scheme: http://thesauri.dainst.org/scheme), targeting concept scheme http://thesauri.dainst.org/scheme. The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: dai:scheme
#object_source: dai:scheme
#comment: Extracted from local RDF file export-2020-10-14_10-36.ttl; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
dai:_00155969	Costoboci	skos:exactMatch	dai:_458cb798	Costoboci	semapv:UnspecifiedMatching	
dai:_001bd460	Zimbabwe	skos:exactMatch	dai:_219843b6	Zimbabwe	semapv:UnspecifiedMatching	
dai:_002b3265	Pigmentuntersuchungen	skos:closeMatch	dai:_89039f8c	Farbstoff-/Pigmentuntersuchungen	semapv:UnspecifiedMatching	
dai:_00433119	Nebenorte	skos:closeMatch	dai:_bc42ef78	Zentralorte/Nebenorte	semapv:UnspecifiedMatching	
dai:_00511556	Bolišerečensk	skos:exactMatch	dai:_db2ad3b8	Bolišerečensk	semapv:UnspecifiedMatching	
dai:_00574ce5	Schwieberdinger Gruppe	skos:exactMatch	dai:_2e2e292d	Schwieberdingen	semapv:UnspecifiedMatching	
dai:_005e2477	Bettler	skos:closeMatch	dai:_c3732926	Bettler/Arme	semapv:UnspecifiedMatching	
dai:_006d01fe	Schlachten	skos:closeMatch	dai:_66a3a82c	Schlachten/Schlachtfelder	semapv:UnspecifiedMatching	
dai:_009eed43	associations	skos:exactMatch	dai:_3590	associations	semapv:UnspecifiedMatching	
dai:_009eed43	associations	skos:exactMatch	dai:_4660	associations	semapv:UnspecifiedMatching	
dai:_009eed43	associations	skos:exactMatch	dai:_4813	Vereine (1956 - 1997)	semapv:UnspecifiedMatching	
dai:_00bb521c	Schlachten	skos:closeMatch	dai:_0aae8224	Schnittspuren/Schlachtung	semapv:UnspecifiedMatching	
dai:_00f44143	Górnośląska	skos:exactMatch	dai:_c62d3292	Górnośląska	semapv:UnspecifiedMatching	
dai:_00fd6719	Potčevaš-Kultur	skos:exactMatch	dai:_1212_ee3761a037d7bf1c5b97a3a045cf2fae	Potčevaš-Kultur	semapv:UnspecifiedMatching	
dai:_00fd6719	Potčevaš-Kultur	skos:exactMatch	dai:_1353_eaa0482fcd5a7f52ea6c704dd53fe8c8	Potčevaš-Kultur	semapv:UnspecifiedMatching	
dai:_00fd6719	Potčevaš-Kultur	skos:exactMatch	dai:_1387_5364e9e09e31dc39b33edb0e34ee6c00	Potčevaš-Kultur	semapv:UnspecifiedMatching	
dai:_010e95a0	Turmhügel	skos:exactMatch	dai:_0c5b80c2	Turmhügel	semapv:UnspecifiedMatching	
dai:_013a8a6e	Zesławice-Pleszów-Gruppe	skos:exactMatch	dai:_d7f827e8	Zesławice-Pleszów	semapv:UnspecifiedMatching	
dai:_0140e95c	Pienkovka	skos:exactMatch	dai:_515ba3e0	Pienkovka	semapv:UnspecifiedMatching	
dai:_01423e5e	Mittelrheinische Gruppe	skos:exactMatch	dai:_210d85f2	Mittelrheinische Gruppe	semapv:UnspecifiedMatching	
dai:_0158663c	Homo sapiens praesapiens	skos:exactMatch	dai:_0e75f8ef	Homo sapiens praesapiens	semapv:UnspecifiedMatching	
dai:_0159d808	Diadumenos	skos:exactMatch	dai:_2967	Diadumenos	semapv:UnspecifiedMatching	
dai:_016da6df	Apuani	skos:exactMatch	dai:_be1a93c1	Apuaner	semapv:UnspecifiedMatching	
dai:_01734347	Gordinešty-Gruppe	skos:exactMatch	dai:_1119_9e5db4dd9bfefbdd041edb9722e2b3d3	Gordinešty-Gruppe	semapv:UnspecifiedMatching	
dai:_018b883c	Ghasul	skos:exactMatch	dai:_665f232a	Ghasul	semapv:UnspecifiedMatching	
dai:_019a0fce	Graphit	skos:closeMatch	dai:_2648	graphite	semapv:UnspecifiedMatching	
dai:_019df4e5	Sockel	skos:closeMatch	dai:_4955	Statuensockel	semapv:UnspecifiedMatching	
