#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#  dai: http://thesauri.dainst.org/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/dai__http_thesauri_dainst_org_scheme__unknown_target_scheme.sssom.tsv
#mapping_set_title: German Archaeological Institute (DAI) SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of German Archaeological Institute (DAI) (concept scheme: http://thesauri.dainst.org/scheme). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: dai:scheme
#comment: Extracted from local RDF file export-2020-10-14_10-36.ttl; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
dai:_00c6c6be	Caesarisch	skos:exactMatch	http://chronontology.dainst.org/period/AB4aqZMN0hvU		semapv:UnspecifiedMatching	
dai:_018b18d1	Spätarchaisch	skos:exactMatch	http://chronontology.dainst.org/period/9WifOjJh4pwj		semapv:UnspecifiedMatching	
dai:_02e30fc1	Frühchristlich	skos:exactMatch	http://chronontology.dainst.org/period/J316Dxjfexrl		semapv:UnspecifiedMatching	
dai:_02ea2cca	Endneolithikum	skos:exactMatch	http://chronontology.dainst.org/period/82pxqmMCXADR		semapv:UnspecifiedMatching	
dai:_03e5b59b	Jungpaläolithikum	skos:exactMatch	http://chronontology.dainst.org/period/GQgR0N8XCCIw		semapv:UnspecifiedMatching	
dai:_04a1d2f4	Späthelladikum	skos:exactMatch	http://chronontology.dainst.org/period/p5YQVNoly66L		semapv:UnspecifiedMatching	
dai:_052dd27f	Frühe und mittlere Kaiserzeit (Eggers A/B)	skos:exactMatch	http://chronontology.dainst.org/period/xdr1qDRsVUiB		semapv:UnspecifiedMatching	
dai:_0530b8a9	Römische Kaiserzeit	skos:exactMatch	http://chronontology.dainst.org/period/bKl9jq6zJHQc		semapv:UnspecifiedMatching	
dai:_05a07a16	illyrisch	skos:exactMatch	dai:_3858#		semapv:UnspecifiedMatching	
dai:_05ab5433	Mittelminoisch III	skos:exactMatch	http://chronontology.dainst.org/period/JZCgQE9XVjgE		semapv:UnspecifiedMatching	
