#curie_map:
#  dai: http://thesauri.dainst.org/scheme
#  aat: http://vocab.getty.edu/aat/
#  skos: http://www.w3.org/2004/02/skos/core#
#  orcid: https://orcid.org/
#  github: https://github.com/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/dai_aat.sssom.tsv
#mapping_set_title: DAI thesaurus → Getty AAT crosswalk (ARIADNE)
#mapping_set_description: DAI-thesaurus-to-AAT concept crosswalk compiled by the German Archaeological Institute (DAI) for the ARIADNE project. Source URIs are resolved against your local DAI ttl export, not read from the PDF directly (the PDF table has no source_uri column for DAI).
#license: https://creativecommons.org/licenses/by/4.0/
#mapping_date: 2019-01-29
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/041qv0h25
#mapping_tool: build_aat_mappings.py (PDF table extraction + DAI ttl label resolution)
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_aat_mappings.py
#subject_source: dai:
#object_source: aat:
#see_also: http://legacy.ariadne-infrastructure.eu/wp-content/uploads/2019/01/ARIADNE_DAI_AAT_Mappings.pdf
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
http://thesauri.dainst.org/_fa871da9	skos:exactMatch	aat:300026361	semapv:UnspecifiedMatching	Aufzeichnung	chronicles	
http://thesauri.dainst.org/_85e43cae	skos:exactMatch	aat:300224200	semapv:UnspecifiedMatching	Codex	codices	
http://thesauri.dainst.org/_1483b8da	skos:exactMatch	aat:300054141	semapv:UnspecifiedMatching	Film	film (performing arts)	
http://thesauri.dainst.org/_dddfb42c	skos:closeMatch	aat:300054638	semapv:UnspecifiedMatching	Grabungsdokumentati on	documentation (activity)	
http://thesauri.dainst.org/_54363cb0	skos:exactMatch	aat:300015642	semapv:UnspecifiedMatching	Kopie	replicas	
http://thesauri.dainst.org/_cbc68254	skos:exactMatch	aat:300026877	semapv:UnspecifiedMatching	Korrespondenz	correspondence	
http://thesauri.dainst.org/_a0f55911	skos:closeMatch	aat:300378926	semapv:UnspecifiedMatching	Materialsammlung	topical collections	
http://thesauri.dainst.org/_befe9436	skos:exactMatch	aat:300011845	semapv:UnspecifiedMatching	Leder	leather	
http://thesauri.dainst.org/_7963201b	skos:exactMatch	aat:300014078	semapv:UnspecifiedMatching	Leinwand	canvas	
http://thesauri.dainst.org/_1386	skos:closeMatch	aat:300014110	semapv:UnspecifiedMatching	Papier	<paper by composition or origin>	
