#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/dariah_vocabs__https_vocabs_acdh_oeaw_ac_at_oeai_cultural_periods__https_vocabs_acdh_oeaw_ac_at_oeai_cultural_periods.sssom.tsv
#mapping_set_title: DARIAH-DE vocabularies SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of DARIAH-DE vocabularies (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/), targeting concept scheme https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/. The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#subject_source_version: 1.0.0
#object_source: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#object_source_version: 1.0.0
#comment: Extracted from local RDF file OeAI Thesaurus - Cultural Time Periods.ttl; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
http://chronontology.dainst.org/period/beGZZZTJ5dt4		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23192	Seljuk	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019258		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23546	Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019260		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23194	Lower Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019261		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23195	Middle Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019262		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23196	Upper Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106751		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23315	Early Chalcolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106753		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23316	Middle Chalcolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106755		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23317	Late Chalcolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106928		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23258	Proto-Sesklo	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106931		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23259	Sesklo	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300263188		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23515	Pottery Neolithic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/0Jnp2MWmSZjC		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23269	Early Archaic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/0Yevp82GLwdT		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23238	Samnite	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/1dH5kfYOFE5T		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23487	Early Antonine	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/2Rt01S20nMqq		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23295	Early Minoan IIB	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/2VmiOlvIObfR		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23571	Italic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/34aNFX1SMAZ6		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23239	Umbrian	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3LyVa2wb88y0		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23527	Early Minoan	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3XPgYqqSJPoR		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23555	Third Intermediate Period	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3Y47oKS1Pg8L		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23276	Late Geometric	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3i1UvjawzQ73		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23284	Late Helladic I	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/4AmzRtTJnBIg		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23511	Middle Minoan III	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/4DkjOuob3b7w		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23524	New Kingdom	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/4XeWN5lpQooL		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23508	Early Minoan II	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/5bvpMrURKXyE		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23479	Neronian	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6GXiCOaCfmTQ		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23272	Late Archaic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6Ulfr1r7LcBs		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23552	Medieval Period	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6VooUMYGJjOI		skos:exactMatch	https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23574	Egyptian	semapv:UnspecifiedMatching	
