#curie_map:
#  pactols: https://ark.frantiq.fr/ark:/26678/
#  aat: http://vocab.getty.edu/aat/
#  skos: http://www.w3.org/2004/02/skos/core#
#  orcid: https://orcid.org/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/inrap_aat.sssom.tsv
#mapping_set_title: INRAP PACTOLS → Getty AAT crosswalk (ARIADNE)
#mapping_set_description: PACTOLS-thesaurus-to-AAT concept crosswalk compiled by INRAP for the ARIADNE project, extracted from the project's published PDF table.
#license: https://creativecommons.org/licenses/by/4.0/
#mapping_date: 2016-10-10
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_provider: https://ror.org/04andmq85
#mapping_tool: build_aat_mappings.py (PDF table extraction)
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_aat_mappings.py
#subject_source: https://ark.frantiq.fr/ark:/26678/TH_1
#object_source: http://vocab.getty.edu/aat/
#see_also: http://legacy.ariadne-infrastructure.eu/wp-content/uploads/2019/01/ARIADNE_INRAP_AAT_Mappings.pdf
#comment: Original table compiled by Achille Felicetti (per PDF author metadata) for ARIADNE. 2 of 1634 rows needed hand correction for a PDF word-wrap extraction artifact (see INRAP_LABEL_SPELLING_CORRECTIONS) before this export was generated.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
pactols:pcrt9Xvh4RiNS5	skos:closeMatch	aat:300055406	semapv:UnspecifiedMatching	abandon de lieu	emigration	
pactols:pcrt8icSwjOM7u	skos:exactMatch	aat:300007495	semapv:UnspecifiedMatching	abbatiale	abbey churches	
pactols:pcrt8icSwjOM7u	skos:exactMatch	aat:300000642	semapv:UnspecifiedMatching	abbaye	abbeys (monasteries)	
pactols:pcrtBpaSMOlWvz	skos:exactMatch	aat:300220971	semapv:UnspecifiedMatching	abreuvoir	troughs (containers)	
pactols:pcrtkeLpJpVN4t	skos:exactMatch	aat:300007699	semapv:UnspecifiedMatching	abri sous roche	rock shelters	
pactols:pcrtJ71ZuyuOEq	skos:exactMatch	aat:300004607	semapv:UnspecifiedMatching	abside	apses	
pactols:pcrts8SiTTY3Ka	skos:closeMatch	aat:300000388	semapv:UnspecifiedMatching	acquisition de ressource naturelle	extracting complexes	
pactols:pcrtIq8AvOPlPV	skos:exactMatch	aat:300077610	semapv:UnspecifiedMatching	acquisition des données	recording	
pactols:pcrtTQjJbnRU7S	skos:exactMatch	aat:300002214	semapv:UnspecifiedMatching	acrotre	acroteria	
pactols:pcrtMNiNZMViWi	skos:broadMatch	aat:300061886	semapv:UnspecifiedMatching	activités commerciales	trade (function)	
pactols:pcrtF4g7aXEn6l	skos:exactMatch	aat:300254069	semapv:UnspecifiedMatching	administrations	public administration	
pactols:pcrthELuSjXqGH	skos:exactMatch	aat:300081138	semapv:UnspecifiedMatching	adobe	adobe (material)	
pactols:pcrtrg5RZoroR7	skos:exactMatch	aat:300163862	semapv:UnspecifiedMatching	adolescent	adolescents	
pactols:pcrtf4z1Qe2N4U	skos:exactMatch	aat:300154397	semapv:UnspecifiedMatching	adulte	adults	
pactols:pcrtu6MrQiPdBO	skos:exactMatch	aat:300379464	semapv:UnspecifiedMatching	AFC	factor analysis	
pactols:pcrt1gsiMfFUP0	skos:broadMatch	aat:300008400	semapv:UnspecifiedMatching	agglomération secondaire	agglomerations	
pactols:pcrtN5zGcqx0YR	skos:exactMatch	aat:300008375	semapv:UnspecifiedMatching	agglomération urbaine	towns	
pactols:pcrtRWDy1UDdDG	skos:exactMatch	aat:300239507	semapv:UnspecifiedMatching	agrafe	clasps (fasteners)	
pactols:pcrtuDGmtyntVb	skos:exactMatch	aat:300054463	semapv:UnspecifiedMatching	agriculture	agriculture	
pactols:pcrt9dibLrQ5oo	skos:exactMatch	aat:300254393	semapv:UnspecifiedMatching	agronomie	agronomy	
pactols:pcrtebcLdP2rVc	skos:exactMatch	aat:300045667	semapv:UnspecifiedMatching	aiguière	aquamaniles	
pactols:pcrtpyrtgrXdME	skos:exactMatch	aat:300024789	semapv:UnspecifiedMatching	aiguille	needles (piercing tools)	
pactols:pcrt903VxVZvpD	skos:exactMatch	aat:300023299	semapv:UnspecifiedMatching	aiguisoir	whetstones	
pactols:pcrtw6060MPvnU	skos:closeMatch	aat:300005871	semapv:UnspecifiedMatching	aire d'incinération	crematories	
pactols:pcrtUQEt5jp9Q3	skos:exactMatch	aat:300024663	semapv:UnspecifiedMatching	alêne	awls	
pactols:pcrtpbgzj4c0da	skos:exactMatch	aat:300056243	semapv:UnspecifiedMatching	alignements	alignment	
pactols:pcrtkAoBnFpdrT	skos:exactMatch	aat:300379463	semapv:UnspecifiedMatching	alimentation	diet	
pactols:pcrtrx7Rc5oHkk	skos:exactMatch	aat:300008618	semapv:UnspecifiedMatching	alimentation en eau	water supply systems	
pactols:pcrtgcn5U8laUN	skos:exactMatch	aat:300254496	semapv:UnspecifiedMatching	aliments	food	
pactols:pcrtgWbicZTgZe	skos:exactMatch	aat:300005939	semapv:UnspecifiedMatching	allée couverte	gallery graves	
pactols:pcrtzcGlM17go5	skos:exactMatch	aat:300010902	semapv:UnspecifiedMatching	alliage	alloy	
pactols:pcrt4Jy2JE8F3U	skos:exactMatch	aat:300264223	semapv:UnspecifiedMatching	alluvion	alluvium	
pactols:pcrtKZYwYOkWlK	skos:exactMatch	aat:300120507	semapv:UnspecifiedMatching	amas coquillier	middens	
pactols:pcrtSAtrywvkI9	skos:exactMatch	aat:300265125	semapv:UnspecifiedMatching	amas de débitage	debitage	
pactols:pcrtSiQAzZxXsv	skos:exactMatch	aat:300012934	semapv:UnspecifiedMatching	ambre	amber (fossil resin)	
pactols:pcrtORlgwkPgL5	skos:closeMatch	aat:300006161	semapv:UnspecifiedMatching	aménagement de berge	flood protection works	
pactols:pcrtPXIo4VBd5K	skos:broadMatch	aat:300055399	semapv:UnspecifiedMatching	aménagement du relief	land use	
pactols:pcrtUu5zfknZ1x	skos:exactMatch	aat:300055399	semapv:UnspecifiedMatching	aménagement du sol	land use	
pactols:pcrtlLaVIacMMt	skos:closeMatch	aat:300015131	semapv:UnspecifiedMatching	amendement	fertilizer	
pactols:pcrtsFdnVuIzkm	skos:exactMatch	aat:300055165	semapv:UnspecifiedMatching	amour	love (emotion)	
pactols:pcrtBJYesjJJuc	skos:exactMatch	aat:300249665	semapv:UnspecifiedMatching	amphibien	Amphibia (class)	
