#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/oeai_ctp_oeai_ctp.sssom.tsv
#mapping_set_title: OeAI Thesaurus - Cultural Time Periods → OeAI Thesaurus - Cultural Time Periods SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of OeAI Thesaurus - Cultural Time Periods (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/), targeting OeAI Thesaurus - Cultural Time Periods (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: OeAI_ctp:
#subject_source_version: 1.0.0
#object_source: OeAI_ctp:
#object_source_version: 1.0.0
#comment: Extracted from local RDF file(s) Dariah Vocabs/OeAI Thesaurus - Cultural Time Periods.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
http://chronontology.dainst.org/period/beGZZZTJ5dt4		skos:exactMatch	OeAI_ctp:concept23192	Seljuk	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019258		skos:exactMatch	OeAI_ctp:concept23546	Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019260		skos:exactMatch	OeAI_ctp:concept23194	Lower Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019261		skos:exactMatch	OeAI_ctp:concept23195	Middle Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300019262		skos:exactMatch	OeAI_ctp:concept23196	Upper Palaeolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106751		skos:exactMatch	OeAI_ctp:concept23315	Early Chalcolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106753		skos:exactMatch	OeAI_ctp:concept23316	Middle Chalcolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106755		skos:exactMatch	OeAI_ctp:concept23317	Late Chalcolithic	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106928		skos:exactMatch	OeAI_ctp:concept23258	Proto-Sesklo	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300106931		skos:exactMatch	OeAI_ctp:concept23259	Sesklo	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300263188		skos:exactMatch	OeAI_ctp:concept23515	Pottery Neolithic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/0Jnp2MWmSZjC		skos:exactMatch	OeAI_ctp:concept23269	Early Archaic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/0Yevp82GLwdT		skos:exactMatch	OeAI_ctp:concept23238	Samnite	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/1dH5kfYOFE5T		skos:exactMatch	OeAI_ctp:concept23487	Early Antonine	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/2Rt01S20nMqq		skos:exactMatch	OeAI_ctp:concept23295	Early Minoan IIB	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/2VmiOlvIObfR		skos:exactMatch	OeAI_ctp:concept23571	Italic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/34aNFX1SMAZ6		skos:exactMatch	OeAI_ctp:concept23239	Umbrian	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3LyVa2wb88y0		skos:exactMatch	OeAI_ctp:concept23527	Early Minoan	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3XPgYqqSJPoR		skos:exactMatch	OeAI_ctp:concept23555	Third Intermediate Period	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3Y47oKS1Pg8L		skos:exactMatch	OeAI_ctp:concept23276	Late Geometric	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/3i1UvjawzQ73		skos:exactMatch	OeAI_ctp:concept23284	Late Helladic I	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/4AmzRtTJnBIg		skos:exactMatch	OeAI_ctp:concept23511	Middle Minoan III	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/4DkjOuob3b7w		skos:exactMatch	OeAI_ctp:concept23524	New Kingdom	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/4XeWN5lpQooL		skos:exactMatch	OeAI_ctp:concept23508	Early Minoan II	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/5bvpMrURKXyE		skos:exactMatch	OeAI_ctp:concept23479	Neronian	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6GXiCOaCfmTQ		skos:exactMatch	OeAI_ctp:concept23272	Late Archaic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6Ulfr1r7LcBs		skos:exactMatch	OeAI_ctp:concept23552	Medieval Period	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6VooUMYGJjOI		skos:exactMatch	OeAI_ctp:concept23574	Egyptian	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6e2ZbRiMULdQ		skos:exactMatch	OeAI_ctp:concept23529	Late Minoan	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/6yDtOnq2H6fO		skos:exactMatch	OeAI_ctp:concept23554	Second Intermediate Period	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/72DTmZZMriHD		skos:exactMatch	OeAI_ctp:concept23297	Middle Minoan IA	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/73BHzmkXjTDx		skos:exactMatch	OeAI_ctp:concept23242	Middle Cycladic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/78jvQ8c4qZaK		skos:exactMatch	OeAI_ctp:concept23280	Late Hellenistic	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/7FaA0NgbdXDs		skos:exactMatch	OeAI_ctp:concept23271	Orientalizing Period	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/7G2xPRWnKY06		skos:exactMatch	OeAI_ctp:concept23289	Late Helladic IIIB1	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/7fDysWha7NKs		skos:exactMatch	OeAI_ctp:concept23536	Late Roman Empire	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/876a7NVQZkH9		skos:exactMatch	OeAI_ctp:concept23501	Middle Kingdom	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/8Acc6pBnRz4V		skos:exactMatch	OeAI_ctp:concept23211	Assyrian	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/8yAvVAy4qe98		skos:exactMatch	OeAI_ctp:concept23282	High Classical	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/90Hn6glf9wp5		skos:exactMatch	OeAI_ctp:concept23275	Proto-Geometric	semapv:UnspecifiedMatching	
https://chronontology.dainst.org/period/9DshiEVPeqWQ		skos:exactMatch	OeAI_ctp:concept23482	Trajanic	semapv:UnspecifiedMatching	
