#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/oeai_m_oeai_m.sssom.tsv
#mapping_set_title: OeAI Thesaurus - Materials → OeAI Thesaurus - Materials SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of OeAI Thesaurus - Materials (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-materials/), targeting OeAI Thesaurus - Materials (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-materials/). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: OeAI_m:
#subject_source_version: 1.0.2
#object_source: OeAI_m:
#object_source_version: 1.0.2
#comment: Extracted from local RDF file(s) Dariah Vocabs/OeAI Thesaurus - Materials.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
defc:agate/3.27		skos:exactMatch	OeAI_m:concept23838	agate	semapv:UnspecifiedMatching	
defc:andesit/3.29		skos:exactMatch	OeAI_m:concept23843	andesite	semapv:UnspecifiedMatching	
defc:antler/3.7		skos:exactMatch	OeAI_m:concept23809	antler	semapv:UnspecifiedMatching	
defc:basalt/3.20		skos:exactMatch	OeAI_m:concept23845	basalt	semapv:UnspecifiedMatching	
defc:bone/3.5		skos:exactMatch	OeAI_m:concept23933	bone	semapv:UnspecifiedMatching	
defc:calcite/3.37		skos:exactMatch	OeAI_m:concept17075	calcite	semapv:UnspecifiedMatching	
defc:chalcedony/3.13		skos:exactMatch	OeAI_m:concept23848	chalcedony	semapv:UnspecifiedMatching	
defc:charcoal/4.1		skos:exactMatch	OeAI_m:concept24036	charcoal	semapv:UnspecifiedMatching	
defc:chert/3.12		skos:exactMatch	OeAI_m:concept23857	chert	semapv:UnspecifiedMatching	
defc:chlorite/3.21		skos:exactMatch	OeAI_m:concept24038	chlorite	semapv:UnspecifiedMatching	
defc:clay/2.19		skos:exactMatch	OeAI_m:concept23906	clay	semapv:UnspecifiedMatching	
defc:concrete/6.16		skos:closeMatch	OeAI_m:concept23769	concrete	semapv:UnspecifiedMatching	
defc:copper/3.31		skos:exactMatch	OeAI_m:concept23784	copper	semapv:UnspecifiedMatching	
defc:flint/4.11		skos:exactMatch	OeAI_m:concept23856	flint (rock)	semapv:UnspecifiedMatching	
defc:gold/3.34		skos:exactMatch	OeAI_m:concept23783	gold	semapv:UnspecifiedMatching	
defc:granite/3.24		skos:exactMatch	OeAI_m:concept23863	granite	semapv:UnspecifiedMatching	
defc:horn/3.8		skos:exactMatch	OeAI_m:concept23815	horn	semapv:UnspecifiedMatching	
defc:jasper/3.14		skos:exactMatch	OeAI_m:concept23870	jasper	semapv:UnspecifiedMatching	
defc:lead/5.10		skos:exactMatch	OeAI_m:concept23779	lead	semapv:UnspecifiedMatching	
defc:limestone/3.22		skos:exactMatch	OeAI_m:concept23872	limestone	semapv:UnspecifiedMatching	
defc:malachite/3.35		skos:exactMatch	OeAI_m:concept24037	malachite	semapv:UnspecifiedMatching	
defc:marble/3.10		skos:exactMatch	OeAI_m:concept23880	marble	semapv:UnspecifiedMatching	
defc:metal/2.9		skos:exactMatch	OeAI_m:concept23792	metal	semapv:UnspecifiedMatching	
defc:obsidian/3.2		skos:exactMatch	OeAI_m:concept23883	obsidian	semapv:UnspecifiedMatching	
defc:porphyry/3.30		skos:exactMatch	OeAI_m:concept24011	porphyry	semapv:UnspecifiedMatching	
defc:quartz/3.15		skos:exactMatch	OeAI_m:concept23890	quartz	semapv:UnspecifiedMatching	
defc:quartzite/5.8		skos:exactMatch	OeAI_m:concept23893	quartzite	semapv:UnspecifiedMatching	
defc:radiolarite/4.18		skos:exactMatch	OeAI_m:concept24041	radiolarite	semapv:UnspecifiedMatching	
defc:rock_crystal/3.16		skos:exactMatch	OeAI_m:concept23846	rock crystal	semapv:UnspecifiedMatching	
defc:sandstone/3.25		skos:exactMatch	OeAI_m:concept23891	sandstone	semapv:UnspecifiedMatching	
defc:serpentine/3.23		skos:exactMatch	OeAI_m:concept23898	serpentine	semapv:UnspecifiedMatching	
defc:shell/3.6		skos:exactMatch	OeAI_m:concept23820	shell	semapv:UnspecifiedMatching	
defc:silver/5.9		skos:exactMatch	OeAI_m:concept23787	silver	semapv:UnspecifiedMatching	
defc:stone/2.1		skos:exactMatch	OeAI_m:concept23836	rock	semapv:UnspecifiedMatching	
defc:straw/6.8		skos:exactMatch	OeAI_m:concept23992	straw	semapv:UnspecifiedMatching	
defc:tooth/3.28		skos:exactMatch	OeAI_m:concept23935	tooth	semapv:UnspecifiedMatching	
defc:wood/3.32		skos:exactMatch	OeAI_m:concept23814	wood	semapv:UnspecifiedMatching	
http://nomisma.org/id/billon		skos:exactMatch	OeAI_m:concept24437	billon	semapv:UnspecifiedMatching	
http://nomisma.org/id/potin		skos:exactMatch	OeAI_m:concept24436	potin	semapv:UnspecifiedMatching	
http://vocab.getty.edu/page/aat/300010439		skos:exactMatch	OeAI_m:concept23906	clay	semapv:UnspecifiedMatching	
