#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/pactols__https_ark_frantiq_fr_ark_26678_th17__aat.sssom.tsv
#mapping_set_title: PACTOLS SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of PACTOLS (concept scheme: https://ark.frantiq.fr/ark:/26678/th17), targeting concept scheme http://vocab.getty.edu/aat/. The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/04andmq85
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: pactols:th17
#subject_source_version: 2023-10
#object_source: aat:
#comment: Extracted from local RDF file Pactols_Lieux_th17_20260722.rdf; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
pactols:pcrt01abL0blcu	Haguenau	skos:exactMatch	aat:300106326		semapv:UnspecifiedMatching	
pactols:pcrt0JSbVAbMwx	Cook I	skos:exactMatch	aat:300021946		semapv:UnspecifiedMatching	
pactols:pcrt2qAGV8Zun2	Botswana	skos:exactMatch	aat:300262704		semapv:UnspecifiedMatching	
pactols:pcrt9mk9QKjUvs	Sumer	skos:exactMatch	aat:300019726		semapv:UnspecifiedMatching	
pactols:pcrtE2mI9TR7Hc	Phoenicia	skos:exactMatch	aat:300020645		semapv:UnspecifiedMatching	
pactols:pcrtKsYYd69uq6	Folles (Haute-Vienne)	skos:exactMatch	aat:300037268		semapv:UnspecifiedMatching	
pactols:pcrtRczLSodFgZ	Kerala	skos:exactMatch	aat:300019046		semapv:UnspecifiedMatching	
pactols:pcrtRjhG43MrFs	Zimbabwe	skos:exactMatch	aat:300263701		semapv:UnspecifiedMatching	
pactols:pcrtbTqb2JyHjG	Slovakia	skos:exactMatch	aat:300386533		semapv:UnspecifiedMatching	
pactols:pcrtdIdPl1HK3k	Himyar	skos:exactMatch	aat:300386615		semapv:UnspecifiedMatching	
pactols:pcrtjFeSg9YGH6	Tell al'Ubaid	skos:exactMatch	aat:300019601		semapv:UnspecifiedMatching	
pactols:pcrtkSo24Sq7Jm	New Zealand	skos:exactMatch	aat:300021959		semapv:UnspecifiedMatching	
pactols:pcrtpWv3gYl8Yl	Easter island	skos:exactMatch	aat:300021949		semapv:UnspecifiedMatching	
pactols:pcrtqdcVtngIVL	Tabriz	skos:exactMatch	aat:300245512		semapv:UnspecifiedMatching	
pactols:pcrts48GOolgr7	Peloponnese peninsula	skos:exactMatch	aat:300386491		semapv:UnspecifiedMatching	
pactols:pcrttNLswbtt9Z	Kingdom of Aksum	skos:exactMatch	aat:300015703		semapv:UnspecifiedMatching	
pactols:pcrttgmyLBvRFo	Tepe Sialk	skos:exactMatch	aat:300107800		semapv:UnspecifiedMatching	
pactols:pcrttqnkJeByoG	Kathmandu	skos:exactMatch	aat:300018838		semapv:UnspecifiedMatching	
