#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/pactols__https_ark_frantiq_fr_ark_26678_th_1__aat.sssom.tsv
#mapping_set_title: PACTOLS SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of PACTOLS (concept scheme: https://ark.frantiq.fr/ark:/26678/TH_1), targeting concept scheme http://vocab.getty.edu/aat/. The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/04andmq85
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: pactols:TH_1
#subject_source_version: 2022-09-21
#object_source: aat:
#comment: Extracted from local RDF file Pactols_Sujets_TH_1_20260722.rdf; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
pactols:crt1NKqGesUaG	Carboniferous	skos:exactMatch	aat:300391469		semapv:UnspecifiedMatching	
pactols:crt27frSZhScu	engineer	skos:exactMatch	aat:300025063		semapv:UnspecifiedMatching	
pactols:crt31fM9GIT9c	fur	skos:exactMatch	aat:300011811		semapv:UnspecifiedMatching	
pactols:crt38ZeLZwcEg	sorghum bicolor	skos:exactMatch	aat:300375528		semapv:UnspecifiedMatching	
pactols:crt3T9iJqF5ZN	17th century BC	skos:exactMatch	aat:300404537		semapv:UnspecifiedMatching	
pactols:crt3ifRkId9x5	courthouse	skos:exactMatch	aat:300005969		semapv:UnspecifiedMatching	
pactols:crt4MDoZxfMv7	hamlet (place)	skos:exactMatch	aat:300008369		semapv:UnspecifiedMatching	
pactols:crt4iRs69TGJU	judicial archives	skos:exactMatch	aat:300027850		semapv:UnspecifiedMatching	
pactols:crt52X7SvR2lE	cow	skos:exactMatch	aat:300250120		semapv:UnspecifiedMatching	
pactols:crt5Qan4x4abD	orientalism	skos:exactMatch	aat:300055784		semapv:UnspecifiedMatching	
pactols:crt5Sa1Otesjs	light fixture	skos:exactMatch	aat:300037581		semapv:UnspecifiedMatching	
pactols:crt5Xfjm3qcic	minority group	skos:exactMatch	aat:300025929		semapv:UnspecifiedMatching	
pactols:crt67niz7V8ZF	canon law	skos:exactMatch	aat:300235953		semapv:UnspecifiedMatching	
pactols:crt6ZdtgEB1k6	receipt	skos:exactMatch	aat:300027573		semapv:UnspecifiedMatching	
