#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/pactols_lieux_wikidata.sssom.tsv
#mapping_set_title: PACTOLS Lieux → Wikidata SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of PACTOLS Lieux (concept scheme: https://ark.frantiq.fr/ark:/26678/th17), targeting Wikidata (concept scheme: http://bartoc.org/en/node/1940). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/04andmq85
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: pactols:th17
#subject_source_version: 2023-10
#object_source: bartoc:en/node/1940
#comment: Extracted from local RDF file(s) Pactols/Pactols_Lieux_th17_20260722.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
pactols:crt090r8OKDcp	Saint-Germain-Laprade	skos:exactMatch	wikidata:Q596745		semapv:UnspecifiedMatching	
pactols:crt0MQuiIE0Ir	La Broque	skos:exactMatch	wikidata:Q22790		semapv:UnspecifiedMatching	
pactols:crt0jn5vIsR9F	Saint-Quentin-sur-le-Homme	skos:exactMatch	wikidata:Q248091		semapv:UnspecifiedMatching	
pactols:crt187RLxfdYq	Treignac	skos:exactMatch	wikidata:Q194853		semapv:UnspecifiedMatching	
pactols:crt1IbOL5Y0dO	Dieuze	skos:exactMatch	wikidata:Q22695		semapv:UnspecifiedMatching	
pactols:crt1Pasklsb7x	Poissy	skos:exactMatch	wikidata:Q457		semapv:UnspecifiedMatching	
pactols:crt1awznS7fcI	Paulx	skos:exactMatch	wikidata:Q1165206		semapv:UnspecifiedMatching	
pactols:crt1c4gSuGrUi	Viriville	skos:exactMatch	wikidata:Q626068		semapv:UnspecifiedMatching	
pactols:crt1dsEmavM8j	Saint-Sornin (Charente-Maritime)	skos:exactMatch	wikidata:Q632836		semapv:UnspecifiedMatching	
pactols:crt1ykp8LV7rr	Saint-Yrieix-sous-Aixe	skos:exactMatch	wikidata:Q178660		semapv:UnspecifiedMatching	
pactols:crt1zN2S3YqF9	Frépillon	skos:exactMatch	wikidata:Q634335		semapv:UnspecifiedMatching	
pactols:crt2BIBhFFOXn	Longeville-lès-Saint-Avold	skos:exactMatch	wikidata:Q21963		semapv:UnspecifiedMatching	
pactols:crt2zZQLLFNN3	Beauvilliers (Eure-et-Loir)	skos:exactMatch	wikidata:Q731623		semapv:UnspecifiedMatching	
pactols:crt3Qha0YLVNb	Yukon	skos:exactMatch	wikidata:Q2009		semapv:UnspecifiedMatching	
pactols:crt4UDxxdS6ag	Cellefrouin	skos:exactMatch	wikidata:Q908707		semapv:UnspecifiedMatching	
pactols:crt4ZP3sRglpH	Saint-Bris-des-Bois	skos:exactMatch	wikidata:Q1144403		semapv:UnspecifiedMatching	
