#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/pactols_sujets_wikidata.sssom.tsv
#mapping_set_title: PACTOLS Sujets → Wikidata SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of PACTOLS Sujets (concept scheme: https://ark.frantiq.fr/ark:/26678/TH_1), targeting Wikidata (concept scheme: http://bartoc.org/en/node/1940). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://ror.org/04andmq85
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: pactols:TH_1
#subject_source_version: 2022-09-21
#object_source: bartoc:en/node/1940
#comment: Extracted from local RDF file(s) Pactols/Pactols_Sujets_TH_1_20260722.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
pactols:crtJjeHkbhXkK	editor	skos:exactMatch	wikidata:P123		semapv:UnspecifiedMatching	
pactols:crtSX6Gfpijbe	comparative linguistics	skos:exactMatch	wikidata:Q190375		semapv:UnspecifiedMatching	
pactols:crtZu1TYPgzgY	mussel	skos:exactMatch	wikidata:Q15735642		semapv:UnspecifiedMatching	
pactols:pcrt07DVcalKRc	poetics	skos:exactMatch	wikidata:Q835023		semapv:UnspecifiedMatching	
pactols:pcrt0WiDB01Sae	invention	skos:exactMatch	wikidata:Q18119757		semapv:UnspecifiedMatching	
pactols:pcrt1BDlVjyNgk	fine	skos:exactMatch	wikidata:Q2842797		semapv:UnspecifiedMatching	
pactols:pcrt4pVKLiaB9L	beaker (drinkware)	skos:exactMatch	wikidata:Q17370233		semapv:UnspecifiedMatching	
pactols:pcrt4x6bsxvshw8xj9xd5z8t	Sed festival	skos:exactMatch	wikidata:Q604644		semapv:UnspecifiedMatching	
pactols:pcrt5u9tMfcVa9	pastoralism	skos:exactMatch	wikidata:Q10838892		semapv:UnspecifiedMatching	
pactols:pcrt6d51w4KTnp	high relief	skos:exactMatch	wikidata:Q5784272		semapv:UnspecifiedMatching	
pactols:pcrt9NL6qESuMp	photo library	skos:exactMatch	wikidata:Q2912944		semapv:UnspecifiedMatching	
pactols:pcrtBUIxwNlS4X	beehive tomb	skos:exactMatch	wikidata:Q7786697		semapv:UnspecifiedMatching	
pactols:pcrtBh9QzkcNE0	4th century BC	skos:exactMatch	wikidata:Q8099		semapv:UnspecifiedMatching	
pactols:pcrtBttENDjqet	Kings of France	skos:exactMatch	wikidata:Q3439798		semapv:UnspecifiedMatching	
pactols:pcrtGpaHedh79M	property	skos:exactMatch	wikidata:Q6422240		semapv:UnspecifiedMatching	
pactols:pcrtHBU3mnn3DF	agrarian structure	skos:exactMatch	wikidata:Q3500613		semapv:UnspecifiedMatching	
pactols:pcrtKvRuuvDNp2	wall plaster	skos:exactMatch	wikidata:Q3006287		semapv:UnspecifiedMatching	
