count	namespace_root
39643	https://fr.wikipedia.org/wiki/
39169	http://fr.dbpedia.org/page/
38941	http://data.loterre.fr/ark:/67375/
38778	http://id.insee.fr/geo/commune/
35239	https://catalogue.bnf.fr/ark:/12148/
22807	https://www.wikidata.org/wiki/
4172	http://d-nb.info/gnd/
3581	https://www.idref.fr/
3485	http://data.uba.de/umt/
3407	http://data.culture.fr/thesaurus/resource/ark:/67717/
3006	http://dbpedia.org/resource/
1999	https://www.geonames.org/
1942	http://eurovoc.europa.eu/
1267	http://aims.fao.org/aos/agrovoc/
1140	https://pleiades.stoa.org/places/
994	http://viaf.org/viaf/
800	https://isl.ics.forth.gr/parthenos_vocabularies/Concept/
347	http://chronontology.dainst.org/period/
329	http://vocab.getty.edu/page/aat/
251	https://glottolog.org/resource/languoid/id/
241	http://catalogue.bnf.fr/ark:/12148/
238	https://isni.org/isni/
230	https://chronontology.dainst.org/period/
207	https://viaf.org/fr/viaf/
142	http://resource.geosciml.org/classifier/ics/ischart/
133	https://vocabs.dariah.eu/bbt/Concept/
127	https://iso639-3.sil.org/code/
123	http://obg.vocnet.org/
121	http://purl.org/heritagedata/schemes/scapa/concepts/
113	https://www.geonames.org/11995092/
112	http://inspire.ec.europa.eu/codelist/GeochronologicEraValue/
102	http://purl.org/heritagedata/schemes/mda_obj/concepts/
101	http://id.insee.fr/geo/departement/
100	http://purl.org/heritagedata/schemes/eh_tmt2/concepts/
83	https://vocab.getty.edu/aat/
78	http://zbw.eu/stw/descriptor/
76	https://ark.mom.fr/ark:/39676/
75	http://ark.bnf.fr/ark:/12148/
72	http://purl.org/heritagedata/schemes/11/concepts/
63	https://www.wikidata.org/w/
48	http://nomisma.org/id/
47	http://purl.org/heritagedata/schemes/eh_period/concepts/
44	http://id.loc.gov/authorities/subjects/
44	https://www.geonames.org/263091/
42	http://dewey.info/class/941/
35	http://dewey.info/class/623/
35	http://dewey.info/class/728/
35	http://thesauri.dainst.org/
34	http://id.insee.fr/geo/region/
32	http://rdfdata.eionet.europa.eu/eea/determinants/
30	http://dewey.info/class/622/
29	http://data.culture.fr/thesaurus/resource/ark:/67717/67717/
28	https://www.geonames.org/734094/
26	http://www.eionet.europa.eu/gemet/concept/
25	http://data.culture.fr/thesaurus/page/ark:/67717/
25	http://dewey.info/class/624/
24	https://www.geonames.org/6633834/
23	https://lccn.loc.gov/
23	https://viaf.org/viaf/
20	http://n2t.net/ark:/99152/
20	https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
19	http://dewey.info/class/385/
19	http://dewey.info/class/386/
19	http://id.insee.fr/geo/communeDeleguee/
19	http://www.wikiwand.com/fr/
18	http://dewey.info/class/388/
17	http://dewey.info/class/725.4/
17	http://www.getty.edu/vow/
17	https://www.wikidata.org/entity/
16	http://dewey.info/class/387/
16	http://dewey.info/class/726/
15	http://dewey.info/class/307.72/
15	http://dewey.info/class/725.18/
15	http://dewey.info/class/726.8/
14	https://ark.frantiq.fr/ark:/26678/
14	https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/
13	http://dewey.info/class/636/
13	http://dewey.info/class/728.92/
12	http://dewey.info/class/627.13/
12	http://dewey.info/class/630/
11	http://db.poms.ac.uk/record/person/
11	http://dewey.info/class/625.1/
11	http://dewey.info/class/625/
11	http://dewey.info/class/725/
11	https://www.geonames.org/10341351/
11	https://www.geonames.org/8224895/
11	https://www.pop.culture.gouv.fr/notice/merimee/
10	http://dewey.info/class/631/
10	http://dewey.info/class/662/
10	http://digicult.vocnet.org/technik/
10	https://en.wikipedia.org/wiki/
10	https://www.wikiwand.com/fr/
9	file:///home/mempellaenger/repos/thesaurusscience/Wortnetz/
9	http://dewey.info/class/717/
9	http://dewey.info/class/718/
9	http://dewey.info/class/725.34/
9	http://dewey.info/class/727/
9	http://isni.org/isni/
9	http://thesauri.dainst.org/de/concepts/
9	https://www.geonames.org/9073433/
8	http://dewey.info/class/620/
8	http://dewey.info/class/725.94/
8	http://id.insee.fr/geo/collectiviteDOutreMer/
7	http://dewey.info/class/307/
7	http://dewey.info/class/628/
7	http://dewey.info/class/636.0831/
7	http://dewey.info/class/719.32/
7	http://dewey.info/class/719/
7	http://partage.vocnet.org/
7	http://w3id.org/lob/concept/
7	https://www.geonames.org/11995091/
7	https://www.geonames.org/828192/
6	http://data.bnf.fr/
6	http://dewey.info/class/381/
6	http://dewey.info/class/623.1/
6	http://dewey.info/class/625.66/
6	http://dewey.info/class/627.1352/
6	http://dewey.info/class/634/
6	http://dewey.info/class/636.01/
6	http://dewey.info/class/721/
6	https://sns.uba.de/umthes/de/concepts/
5	http://dewey.info/class/352/
5	http://dewey.info/class/622.331/
5	http://dewey.info/class/639/
5	http://dewey.info/class/672.092/
5	http://dewey.info/class/672/
5	http://dewey.info/class/725.13/
5	http://dewey.info/class/726.5/
5	https://sns.uba.de/umthes/
5	https://www.geonames.org/11703596/
5	https://www.geonames.org/12420893/
5	https://www.geonames.org/146822/
5	https://www.geonames.org/347377/
5	https://www.geonames.org/353226/
5	https://www.geonames.org/353841/
5	https://www.geonames.org/8449931/
5	https://www.geonames.org/9782090/
5	https://www.getty.edu/vow/
4	http://data.bnf.fr/ark:/12148/
4	http://dewey.info/class/365/
4	http://dewey.info/class/384/
4	http://dewey.info/class/639.2/
4	http://dewey.info/class/664/
4	http://dewey.info/class/691/
4	http://dewey.info/class/719.33/
4	http://dewey.info/class/725.97/
4	http://dewey.info/class/726.7/
4	http://dewey.info/class/727.1/
4	http://dewey.info/class/796/
4	http://lccn.loc.gov/
4	http://oek1.fao.org/skosmos/agrovoc/en/page/
4	http://resource.geolba.ac.at/GeologicTimeScale/
4	http://vocab.getty.edu/
4	http://www.idref.fr/
4	https://data.bnf.fr/ark:/12148/
4	https://sns.uba.de/umthes/de/labels/
4	https://www.geonames.org/12216896/
4	https://www.geonames.org/12233257/
4	https://www.geonames.org/12253473/
4	https://www.geonames.org/351481/
4	https://www.geonames.org/351974/
4	https://www.geonames.org/360170/
4	https://www.geonames.org/6957128/
3	http://dewey.info/class/622.28/
3	http://dewey.info/class/622.3/
3	http://dewey.info/class/622.3516/
3	http://dewey.info/class/623.81/
3	http://dewey.info/class/624.22/
3	http://dewey.info/class/625.7/
3	http://dewey.info/class/627.24/
3	http://dewey.info/class/627.45/
3	http://dewey.info/class/627/
3	http://dewey.info/class/631.27/
3	http://dewey.info/class/633/
3	http://dewey.info/class/666.737/
3	http://dewey.info/class/669/
3	http://dewey.info/class/712/
3	http://dewey.info/class/714/
3	http://dewey.info/class/725.35/
3	http://dewey.info/class/725.38/
3	http://dewey.info/class/725.98/
3	http://dewey.info/class/728.37/
3	http://dewey.info/class/728.5/
3	http://dewey.info/class/728.8/
3	http://dewey.info/class/728.81/
3	http://dewey.info/class/728.9/
3	http://dewey.info/class/728.922/
3	http://dewey.info/class/796.06/
3	http://dewey.info/class/797/
3	http://vocab.getty.edu//aat/
3	http://vocab.getty.edu/page/
3	http://www.drze.de/BELIT/thesaurus/
3	https://ark.notre-dame.science/ark:/35572/
3	https://data.bnf.fr/fr/ark:/12148/
3	https://fr.wiktionary.org/wiki/
3	https://imperium.ahlfeldt.se/places/
3	https://viaf.org/viaf/130147166/
3	https://vocab.getty.edu/page/aat/
3	https://www.geonames.org/10282620/
3	https://www.geonames.org/12495728/
3	https://www.geonames.org/3176443/
3	https://www.geonames.org/347422/
3	https://www.geonames.org/349608/
3	https://www.geonames.org/350422/
3	https://www.geonames.org/350492/
3	https://www.geonames.org/362239/
3	https://www.geonames.org/7729892/
3	https://www.geonames.org/7913721/
3	https://www.geonames.org/9294069/
3	https://www.mindat.org/
3	ttp://vocab.getty.edu/aat/
2	http://data.bnf.fr/fr/
2	http://dewey.info/class/246.558/
2	http://dewey.info/class/332/
2	http://dewey.info/class/356/
2	http://dewey.info/class/621.21/
2	http://dewey.info/class/622.342/
2	http://dewey.info/class/622.354/
2	http://dewey.info/class/624.2/
2	http://dewey.info/class/625.73/
2	http://dewey.info/class/635/
2	http://dewey.info/class/663.3/
2	http://dewey.info/class/665.53/
2	http://dewey.info/class/671/
2	http://dewey.info/class/674.2/
2	http://dewey.info/class/682/
2	http://dewey.info/class/694/
2	http://dewey.info/class/711/
2	http://dewey.info/class/712.5/
2	http://dewey.info/class/712.6/
2	http://dewey.info/class/721.41/
2	http://dewey.info/class/722.7/
2	http://dewey.info/class/725.21/
2	http://dewey.info/class/725.55/
2	http://dewey.info/class/725.597/
2	http://dewey.info/class/725.6/
2	http://dewey.info/class/725.72/
2	http://dewey.info/class/725.73/
2	http://dewey.info/class/725.804/
2	http://dewey.info/class/725.827/
2	http://dewey.info/class/725.87/
2	http://dewey.info/class/725.96/
2	http://dewey.info/class/726.9/
2	http://dewey.info/class/727.3/
2	http://dewey.info/class/728.6/
2	http://dewey.info/class/735/
2	http://dewey.info/class/736/
2	http://dewey.info/class/791/
2	http://dewey.info/class/793/
2	http://heritagedata.org/live/schemes/mda_obj/concepts/
2	http://id.loc.gov/authorities/names/
2	http://id.nlm.nih.gov/mesh/
2	http://jmb.vocnet.org/
2	http://thesaurus.historicengland.org.uk/
2	http://thesaurus.mom.fr/opentheso/
2	http://vocabulary.wolterskluwer.de/arbeitsrecht/
2	http://www.geonames.org/
2	http://www.geonames.org/3171709/
