#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/ads_hes_scapa_unknown_target_scheme.sssom.tsv
#mapping_set_title: Scottish Archaeological Periods → unknown target SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Scottish Archaeological Periods (concept scheme: http://purl.org/heritagedata/schemes/scapa). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: fish:schemes/scapa
#subject_source_version: 2018-03-29T14:00:00+00:00
#comment: Extracted from local RDF file(s) FISH/hes_scapa_20180329.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
fish:schemes/scapa/concepts/AN	Anglian	skos:broadMatch	fish:schemes/11/concepts/505127		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BA	Bronze Age	skos:closeMatch	fish:schemes/11/concepts/505101		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BALLIOL1	John Balliol	skos:exactMatch	http://db.poms.ac.uk/record/person/9642		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/BRUCE1	Robert I	skos:exactMatch	http://db.poms.ac.uk/record/person/16081		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C20	20th Century	skos:exactMatch	fish:schemes/11/concepts/505138		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/C21	21st Century	skos:exactMatch	fish:schemes/11/concepts/505139		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/CH	Chalcolithic	skos:broadMatch	fish:schemes/11/concepts/508449		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/CH	Chalcolithic	skos:broadMatch	fish:schemes/11/concepts/508450		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/DUNKELD1	Duncan I	skos:exactMatch	http://db.poms.ac.uk/record/person/4711		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/DUNKELD10	Malcolm IV	skos:exactMatch	http://db.poms.ac.uk/record/person/74		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/DUNKELD12	Alexander II	skos:exactMatch	http://db.poms.ac.uk/record/person/58		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/DUNKELD13	Alexander III	skos:exactMatch	http://db.poms.ac.uk/record/person/360		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/DUNKELD4	Malcolm III	skos:exactMatch	http://db.poms.ac.uk/record/person/245		semapv:UnspecifiedMatching	
fish:schemes/scapa/concepts/DUNKELD6	Duncan II	skos:exactMatch	http://db.poms.ac.uk/record/person/248		semapv:UnspecifiedMatching	
