#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/dai_unknown_target_scheme.sssom.tsv
#mapping_set_title: German Archaeological Institute (DAI) → unknown target SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of German Archaeological Institute (DAI) (concept scheme: http://thesauri.dainst.org/scheme). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: dai:scheme
#subject_source_version: 1.2
#comment: Extracted from local RDF file(s) DAI/export-2020-10-14_10-36.ttl, Dariah Vocabs/DAI_v1.2_Idaiworld.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
dai:_00c6c6be	Caesarisch	skos:exactMatch	http://chronontology.dainst.org/period/AB4aqZMN0hvU		semapv:UnspecifiedMatching	
dai:_0117de29	Early modern era	skos:closeMatch	https://chronontology.dainst.org/period/9BnsptechbbG		semapv:UnspecifiedMatching	
dai:_018b18d1	Spätarchaisch	skos:exactMatch	http://chronontology.dainst.org/period/9WifOjJh4pwj		semapv:UnspecifiedMatching	
dai:_01d26da1	Klassik (Mesoamerika)	skos:exactMatch	https://chronontology.dainst.org/period/5TbdTevJIQ5R		semapv:UnspecifiedMatching	
dai:_02e30fc1	Frühchristlich	skos:exactMatch	http://chronontology.dainst.org/period/J316Dxjfexrl		semapv:UnspecifiedMatching	
dai:_02ea2cca	Endneolithikum	skos:exactMatch	http://chronontology.dainst.org/period/82pxqmMCXADR		semapv:UnspecifiedMatching	
dai:_03e5b59b	Jungpaläolithikum	skos:exactMatch	http://chronontology.dainst.org/period/GQgR0N8XCCIw		semapv:UnspecifiedMatching	
dai:_04a1d2f4	Späthelladikum	skos:exactMatch	http://chronontology.dainst.org/period/p5YQVNoly66L		semapv:UnspecifiedMatching	
dai:_04e3793d	Erdgeschichte	skos:closeMatch	https://chronontology.dainst.org/period/TtvvUNEQlbBK		semapv:UnspecifiedMatching	
dai:_052dd27f	Frühe und mittlere Kaiserzeit (Eggers A/B)	skos:exactMatch	http://chronontology.dainst.org/period/xdr1qDRsVUiB		semapv:UnspecifiedMatching	
dai:_0530b8a9	Roman Empire	skos:exactMatch	http://chronontology.dainst.org/period/bKl9jq6zJHQc		semapv:UnspecifiedMatching	
dai:_05ab5433	Mittelminoisch III	skos:exactMatch	http://chronontology.dainst.org/period/JZCgQE9XVjgE		semapv:UnspecifiedMatching	
dai:_06103ab8	Materials	skos:exactMatch	http://nomisma.org/id/material		semapv:UnspecifiedMatching	
dai:_06300f37	Zinn	skos:exactMatch	http://nomisma.org/id/sn		semapv:UnspecifiedMatching	
dai:_08be1174	Frühhellenismus	skos:exactMatch	http://chronontology.dainst.org/period/oLo7AGjVIIno		semapv:UnspecifiedMatching	
dai:_09106e2a	Endbronzezeit	skos:exactMatch	http://chronontology.dainst.org/period/OTQ9rrOzhVgl		semapv:UnspecifiedMatching	
dai:_0aa1995c	Spätgeometrisch	skos:exactMatch	http://chronontology.dainst.org/period/xZiNqiEhIti7		semapv:UnspecifiedMatching	
dai:_0bbbd3c7	Mittelminoisch	skos:exactMatch	http://chronontology.dainst.org/period/zxq5nBvtYLIB		semapv:UnspecifiedMatching	
dai:_0bf473ff	Dädalisch	skos:exactMatch	http://chronontology.dainst.org/period/btOUj5sA9qOu		semapv:UnspecifiedMatching	
dai:_0c62a372	protoattisch	skos:exactMatch	http://chronontology.dainst.org/period/ULPiMrTyGdDe		semapv:UnspecifiedMatching	
dai:_0d861bbc	Frühmykenisch	skos:exactMatch	http://chronontology.dainst.org/period/GsKbQWJIreF4		semapv:UnspecifiedMatching	
dai:_0e91e162	Mittelbronzezeit II	skos:exactMatch	https://chronontology.dainst.org/period/dBASjNENfeXE		semapv:UnspecifiedMatching	
dai:_10e5d0f3	Mittelhelladisch III	skos:exactMatch	http://chronontology.dainst.org/period/yGQ44sNcIiSj		semapv:UnspecifiedMatching	
dai:_10f31087	Frühhelladisch II	skos:exactMatch	http://chronontology.dainst.org/period/iyzHautVtYVf		semapv:UnspecifiedMatching	
dai:_11038b72	Späthelladisch III A	skos:exactMatch	http://chronontology.dainst.org/period/yx1n7vIQXHYq		semapv:UnspecifiedMatching	
dai:_13f12706	Neues Reich	skos:exactMatch	https://chronontology.dainst.org/period/F3hs3ZaQbA9t		semapv:UnspecifiedMatching	
dai:_14bf8f23	Ägäische und griechische Bronzezeitchronologie	skos:exactMatch	http://chronontology.dainst.org/period/6MVbpzo5kstF		semapv:UnspecifiedMatching	
dai:_156ae356	Jungneolithikum	skos:exactMatch	http://chronontology.dainst.org/period/dRhXAx1RY4MS		semapv:UnspecifiedMatching	
dai:_15865b3e	Frühhelladisch III	skos:exactMatch	http://chronontology.dainst.org/period/NJgbKsWOvbSp		semapv:UnspecifiedMatching	
dai:_1591f7f8	Hochmittelalter (ca. 900-1250)	skos:exactMatch	https://chronontology.dainst.org/period/LX5sP0qgXpoc		semapv:UnspecifiedMatching	
dai:_159e5ee6	Mittelbronzezeit	skos:exactMatch	http://chronontology.dainst.org/period/xwwG9nQva5bu		semapv:UnspecifiedMatching	
dai:_15a0cfaa	Rote Periode	skos:exactMatch	https://chronontology.dainst.org/period/c2JQA4h7x0wH		semapv:UnspecifiedMatching	
dai:_160b3380	Elektron	skos:exactMatch	http://nomisma.org/id/el		semapv:UnspecifiedMatching	
dai:_166d43a8	bronze	skos:exactMatch	http://nomisma.org/id/ae		semapv:UnspecifiedMatching	
dai:_16fbdb83	Klassische Zeit (Griechenland)	skos:exactMatch	http://chronontology.dainst.org/period/PrbzOZMRjCBQ		semapv:UnspecifiedMatching	
dai:_18b641a4	Späte Postklassik	skos:exactMatch	https://chronontology.dainst.org/period/0D9x5aE7PFWa		semapv:UnspecifiedMatching	
dai:_1972b041	Soldatenkaiser	skos:exactMatch	http://chronontology.dainst.org/period/6yOBUymxIvfH		semapv:UnspecifiedMatching	
