#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/gemet_unknown_target_scheme.sssom.tsv
#mapping_set_title: GEMET, the GEneral Multilingual Environmental Thesaurus → unknown target SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of GEMET, the GEneral Multilingual Environmental Thesaurus (concept scheme: http://www.eionet.europa.eu/gemet/gemetThesaurus). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://www.eionet.europa.eu/gemet/gemetThesaurus
#comment: Extracted from local RDF file(s) Dariah Vocabs/GEMET - Concepts.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
gemet:100	administrative body	skos:exactMatch	http://eurovoc.europa.eu/878		semapv:UnspecifiedMatching	
gemet:100	administrative body	skos:relatedMatch	http://dbpedia.org/resource/Administration_%28government%29		semapv:UnspecifiedMatching	
gemet:10002	accounting	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_62		semapv:UnspecifiedMatching	
gemet:10002	accounting	skos:exactMatch	http://eurovoc.europa.eu/54		semapv:UnspecifiedMatching	
gemet:10002	accounting	skos:relatedMatch	http://dbpedia.org/resource/Accountancy		semapv:UnspecifiedMatching	
gemet:10003	animal life	skos:exactMatch	http://eurovoc.europa.eu/972		semapv:UnspecifiedMatching	
gemet:10003	animal life	skos:relatedMatch	http://dbpedia.org/resource/Animal		semapv:UnspecifiedMatching	
gemet:10008	consumer product	skos:closeMatch	http://dbpedia.org/resource/Consumer_product		semapv:UnspecifiedMatching	
gemet:1001	bridge	skos:closeMatch	http://data.uba.de/umt/_00028759		semapv:UnspecifiedMatching	
gemet:1001	bridge	skos:closeMatch	http://dbpedia.org/resource/Bridge		semapv:UnspecifiedMatching	
gemet:1001	bridge	skos:exactMatch	http://eurovoc.europa.eu/8452		semapv:UnspecifiedMatching	
gemet:10018	human body	skos:closeMatch	http://dbpedia.org/resource/Human_body		semapv:UnspecifiedMatching	
gemet:10019	human science	skos:closeMatch	http://dbpedia.org/resource/Human_science		semapv:UnspecifiedMatching	
gemet:10024	information transfer	skos:closeMatch	http://dbpedia.org/resource/Information_transfer		semapv:UnspecifiedMatching	
gemet:10024	information transfer	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_49825		semapv:UnspecifiedMatching	
gemet:10024	information transfer	skos:exactMatch	http://eurovoc.europa.eu/616		semapv:UnspecifiedMatching	
gemet:10032	natural areas protection	skos:closeMatch	http://data.uba.de/umt/_00050788		semapv:UnspecifiedMatching	
gemet:10039	physical chemistry	skos:closeMatch	http://data.uba.de/umt/_00019360		semapv:UnspecifiedMatching	
gemet:10039	physical chemistry	skos:closeMatch	http://dbpedia.org/resource/Physical_chemistry		semapv:UnspecifiedMatching	
gemet:10040	physical measurement of pollution	skos:closeMatch	http://data.uba.de/umt/_00050907		semapv:UnspecifiedMatching	
gemet:10044	plant production	skos:closeMatch	http://data.uba.de/umt/_00019176		semapv:UnspecifiedMatching	
gemet:10044	plant production	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_5976		semapv:UnspecifiedMatching	
gemet:10048	pollution type	skos:closeMatch	http://data.uba.de/umt/_00004218		semapv:UnspecifiedMatching	
gemet:10049	pollution prevention	skos:closeMatch	http://dbpedia.org/resource/Pollution_prevention		semapv:UnspecifiedMatching	
gemet:10049	pollution prevention	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_35715		semapv:UnspecifiedMatching	
gemet:10049	pollution prevention	skos:exactMatch	http://eurovoc.europa.eu/2611		semapv:UnspecifiedMatching	
gemet:10053	risk management	skos:closeMatch	http://data.uba.de/umt/_00031412		semapv:UnspecifiedMatching	
gemet:10053	risk management	skos:closeMatch	http://dbpedia.org/resource/Risk_management		semapv:UnspecifiedMatching	
gemet:10053	risk management	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_37934		semapv:UnspecifiedMatching	
gemet:10053	risk management	skos:exactMatch	http://eurovoc.europa.eu/4074		semapv:UnspecifiedMatching	
gemet:10055	seismic engineering	skos:relatedMatch	http://dbpedia.org/resource/Earthquake_engineering		semapv:UnspecifiedMatching	
gemet:10057	social science	skos:exactMatch	http://aims.fao.org/aos/agrovoc/c_36390		semapv:UnspecifiedMatching	
gemet:10057	social science	skos:exactMatch	http://eurovoc.europa.eu/3956		semapv:UnspecifiedMatching	
gemet:10057	social science	skos:relatedMatch	http://dbpedia.org/resource/Social_sciences		semapv:UnspecifiedMatching	
gemet:10058	surface water management	skos:closeMatch	http://data.uba.de/umt/_00051283		semapv:UnspecifiedMatching	
gemet:10066	historic centre	skos:closeMatch	http://data.uba.de/umt/_00001783		semapv:UnspecifiedMatching	
