#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/oeai_ctp_unknown_target_scheme.sssom.tsv
#mapping_set_title: OeAI Thesaurus - Cultural Time Periods → unknown target SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of OeAI Thesaurus - Cultural Time Periods (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: OeAI_ctp:
#subject_source_version: 1.0.0
#comment: Extracted from local RDF file(s) Dariah Vocabs/OeAI Thesaurus - Cultural Time Periods.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
OeAI_ctp:concept23182	Egyptian Prehistory	skos:exactMatch	https://www.wikidata.org/wiki/Q208520		semapv:UnspecifiedMatching	
OeAI_ctp:concept23192	Seljuk	skos:exactMatch	http://chronontology.dainst.org/period/beGZZZTJ5dt4		semapv:UnspecifiedMatching	
OeAI_ctp:concept23194	Lower Palaeolithic	skos:exactMatch	http://vocab.getty.edu/page/aat/300019260		semapv:UnspecifiedMatching	
OeAI_ctp:concept23195	Middle Palaeolithic	skos:exactMatch	http://vocab.getty.edu/page/aat/300019261		semapv:UnspecifiedMatching	
OeAI_ctp:concept23196	Upper Palaeolithic	skos:exactMatch	http://vocab.getty.edu/page/aat/300019262		semapv:UnspecifiedMatching	
OeAI_ctp:concept23211	Assyrian	skos:exactMatch	https://chronontology.dainst.org/period/8Acc6pBnRz4V		semapv:UnspecifiedMatching	
OeAI_ctp:concept23212	Catalhöyük	skos:exactMatch	https://www.wikidata.org/wiki/Q192522		semapv:UnspecifiedMatching	
OeAI_ctp:concept23213	Etruscan	skos:exactMatch	https://chronontology.dainst.org/period/RGbECa9kHJT4		semapv:UnspecifiedMatching	
OeAI_ctp:concept23214	Early Christian	skos:exactMatch	https://chronontology.dainst.org/period/J316Dxjfexrl		semapv:UnspecifiedMatching	
OeAI_ctp:concept23215	Hacilar	skos:exactMatch	https://www.wikidata.org/wiki/Q908860		semapv:UnspecifiedMatching	
OeAI_ctp:concept23216	Halaf	skos:exactMatch	https://chronontology.dainst.org/period/CePG4Xyy5sWn		semapv:UnspecifiedMatching	
OeAI_ctp:concept23217	Hassuna	skos:exactMatch	https://chronontology.dainst.org/period/RcTmuXxf7IHX		semapv:UnspecifiedMatching	
OeAI_ctp:concept23218	Islamic	skos:exactMatch	https://chronontology.dainst.org/period/gzNoWGDHpBcr		semapv:UnspecifiedMatching	
OeAI_ctp:concept23219	Lydian	skos:exactMatch	https://chronontology.dainst.org/period/KprSO1DTzWOC		semapv:UnspecifiedMatching	
OeAI_ctp:concept23220	Ubaid	skos:exactMatch	https://chronontology.dainst.org/period/ICVrqTb3uj90		semapv:UnspecifiedMatching	
OeAI_ctp:concept23221	Ottoman	skos:exactMatch	https://chronontology.dainst.org/period/iOaFpwImnKYj		semapv:UnspecifiedMatching	
OeAI_ctp:concept23222	Phrygian	skos:exactMatch	https://chronontology.dainst.org/period/n1fz7Xk0ved6		semapv:UnspecifiedMatching	
OeAI_ctp:concept23223	Cypriot	skos:exactMatch	https://chronontology.dainst.org/period/f1nOVhp4aLLF		semapv:UnspecifiedMatching	
OeAI_ctp:concept23224	Ptolemaic Period	skos:exactMatch	https://chronontology.dainst.org/period/PKmoBh79izYT		semapv:UnspecifiedMatching	
OeAI_ctp:concept23225	Middle Byzantine	skos:exactMatch	https://chronontology.dainst.org/period/CLpWAMh5aUgH		semapv:UnspecifiedMatching	
OeAI_ctp:concept23226	Late Byzantine	skos:exactMatch	https://chronontology.dainst.org/period/rL37RWstkEFe		semapv:UnspecifiedMatching	
OeAI_ctp:concept23227	Early Helladic	skos:exactMatch	https://chronontology.dainst.org/period/AYeqXxXF339o		semapv:UnspecifiedMatching	
OeAI_ctp:concept23228	Middle Helladic	skos:exactMatch	https://chronontology.dainst.org/period/ROkpsNEzFjOm		semapv:UnspecifiedMatching	
OeAI_ctp:concept23229	Old Hittite	skos:exactMatch	https://chronontology.dainst.org/period/Ielmwklxtvt1		semapv:UnspecifiedMatching	
OeAI_ctp:concept23230	Middle Hittite	skos:exactMatch	https://chronontology.dainst.org/period/Wv5o2s6PWOlH		semapv:UnspecifiedMatching	
OeAI_ctp:concept23231	Achaemenid	skos:exactMatch	https://chronontology.dainst.org/period/vpg0DvwPQxyc		semapv:UnspecifiedMatching	
OeAI_ctp:concept23232	Parthian	skos:exactMatch	https://chronontology.dainst.org/period/cPkKW4krup3D		semapv:UnspecifiedMatching	
OeAI_ctp:concept23233	Median	skos:exactMatch	https://chronontology.dainst.org/period/CPnAH7wcZdIp		semapv:UnspecifiedMatching	
OeAI_ctp:concept23234	Sassanid	skos:exactMatch	https://chronontology.dainst.org/period/prX4hmZMs0yp		semapv:UnspecifiedMatching	
OeAI_ctp:concept23235	Apulian	skos:exactMatch	https://chronontology.dainst.org/period/RzbGVFodlQ5Z		semapv:UnspecifiedMatching	
OeAI_ctp:concept23236	Campanian	skos:exactMatch	https://chronontology.dainst.org/period/KzRNJP4WR6PS		semapv:UnspecifiedMatching	
OeAI_ctp:concept23237	Ligurian	skos:exactMatch	https://chronontology.dainst.org/period/qxRTvWeeS4mT		semapv:UnspecifiedMatching	
OeAI_ctp:concept23238	Samnite	skos:exactMatch	https://chronontology.dainst.org/period/0Yevp82GLwdT		semapv:UnspecifiedMatching	
OeAI_ctp:concept23239	Umbrian	skos:exactMatch	https://chronontology.dainst.org/period/34aNFX1SMAZ6		semapv:UnspecifiedMatching	
OeAI_ctp:concept23240	Kura–Araxes	skos:exactMatch	https://www.wikidata.org/wiki/Q169349		semapv:UnspecifiedMatching	
OeAI_ctp:concept23241	Early Cycladic	skos:exactMatch	https://chronontology.dainst.org/period/9eJnzwj23JAu		semapv:UnspecifiedMatching	
OeAI_ctp:concept23242	Middle Cycladic	skos:exactMatch	https://chronontology.dainst.org/period/73BHzmkXjTDx		semapv:UnspecifiedMatching	
OeAI_ctp:concept23243	Sub Minoan	skos:exactMatch	https://chronontology.dainst.org/period/b40GOqHyfQlv		semapv:UnspecifiedMatching	
