#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/oeai_m_unknown_target_scheme.sssom.tsv
#mapping_set_title: OeAI Thesaurus - Materials → unknown target SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of OeAI Thesaurus - Materials (concept scheme: https://vocabs.acdh.oeaw.ac.at/oeai-materials/). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-14
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: OeAI_m:
#subject_source_version: 1.0.2
#comment: Extracted from local RDF file(s) Dariah Vocabs/OeAI Thesaurus - Materials.ttl; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
OeAI_m:concept17037	iron oxide	skos:exactMatch	https://www.wikidata.org/wiki/Q721849		semapv:UnspecifiedMatching	
OeAI_m:concept17038	dolomite (mineral)	skos:exactMatch	http://vocab.getty.edu/page/aat/300209942		semapv:UnspecifiedMatching	
OeAI_m:concept17039	aluminosilicate	skos:exactMatch	http://vocab.getty.edu/page/aat/300380480		semapv:UnspecifiedMatching	
OeAI_m:concept17045	illite	skos:exactMatch	https://www.wikidata.org/wiki/Q1145804		semapv:UnspecifiedMatching	
OeAI_m:concept17049	sand	skos:exactMatch	http://vocab.getty.edu/page/aat/300014341		semapv:UnspecifiedMatching	
OeAI_m:concept17054	kaolin	skos:exactMatch	http://vocab.getty.edu/page/aat/300010445		semapv:UnspecifiedMatching	
OeAI_m:concept17058	silt	skos:exactMatch	http://vocab.getty.edu/page/aat/300379483		semapv:UnspecifiedMatching	
OeAI_m:concept17061	montmorillonite	skos:exactMatch	http://vocab.getty.edu/page/aat/300209721		semapv:UnspecifiedMatching	
OeAI_m:concept17062	magnesium	skos:exactMatch	http://vocab.getty.edu/page/aat/300011024		semapv:UnspecifiedMatching	
OeAI_m:concept17064	Nile silt	skos:exactMatch	https://www.wikidata.org/wiki/Q1992479		semapv:UnspecifiedMatching	
OeAI_m:concept17070	calcium	skos:exactMatch	http://vocab.getty.edu/page/aat/300264232		semapv:UnspecifiedMatching	
OeAI_m:concept17075	calcite	skos:exactMatch	https://www.wikidata.org/wiki/Q171917		semapv:UnspecifiedMatching	
OeAI_m:concept17081	feldspar	skos:exactMatch	http://vocab.getty.edu/page/aat/300011087		semapv:UnspecifiedMatching	
OeAI_m:concept17082	dung	skos:exactMatch	https://www.wikidata.org/wiki/Q6066207		semapv:UnspecifiedMatching	
OeAI_m:concept17083	biotite	skos:exactMatch	https://www.wikidata.org/wiki/Q105794		semapv:UnspecifiedMatching	
