#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#  pactols_lieux: https://ark.frantiq.fr/ark:/26678/th17
#  pactols_sujets: https://ark.frantiq.fr/ark:/26678/TH_1
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/unknown_target/wikidata_pactols.sssom.tsv
#mapping_set_title: Wikidata to PACTOLS (scheme unresolved)
#mapping_set_description: Wikidata items carrying a P4212 identifier, harvested via SPARQL from https://query.wikidata.org/sparql, for ids not found in either local Pactols dump (Lieux/Sujets) — scheme could not be determined from PACTOLS_DIR.
#license: https://creativecommons.org/licenses/by/4.0/
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: bartoc:en/node/1940
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI. Lieux/Sujets scheme determined by looking up each id against local Pactols RDF dumps (load_pactols_scheme_index(), PACTOLS_DIR) — not from Wikidata itself, since P4212 doesn't distinguish the two schemes.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q142	skos:exactMatch	pactols:pcrtSXwPXnEUgp	semapv:UnspecifiedMatching	France		http://www.wikidata.org/entity/statement/Q142-D58CC274-27AF-44B3-A2DC-27EDA30C9EDC	
wd:Q155	skos:exactMatch	pactols:pcrt8MX4DfGUpg	semapv:UnspecifiedMatching	Brazil		http://www.wikidata.org/entity/statement/Q155-85EE40B3-DF80-42B7-897A-1453AD85F3DD	
wd:Q176	skos:exactMatch	pactols:pcrt2b4vHOgFhF	semapv:UnspecifiedMatching	Quebec		http://www.wikidata.org/entity/statement/Q176-90D4B41E-0709-4C2C-AC05-8FA29E276BDC	
wd:Q49	skos:exactMatch	pactols:pcrt0NhSIs62Uc	semapv:UnspecifiedMatching	North America		http://www.wikidata.org/entity/statement/Q49-BEB2D6F6-DBEC-4C74-BC13-A6D7FE336F60	
wd:Q77	skos:exactMatch	pactols:pcrtRWx4oOa2R9	semapv:UnspecifiedMatching	Uruguay		http://www.wikidata.org/entity/statement/Q77-5CD3C470-AA86-4298-8E9C-ED1927196FE4	
wd:Q79	skos:exactMatch	pactols:pcrt0OidHW9S2y	semapv:UnspecifiedMatching	Egypt		http://www.wikidata.org/entity/statement/Q79-F6228BD8-5CAB-4AC3-8671-746E9786A197	
wd:Q1000327	skos:exactMatch	pactols:pcrtTrYIclY8Qe	semapv:UnspecifiedMatching	Yengema		http://www.wikidata.org/entity/statement/Q1000327-4AE9D301-DAB6-4366-AC6C-3381AA01A015	
wd:Q101625	skos:exactMatch	pactols:pcrtT5Zka8Fnri	semapv:UnspecifiedMatching	Marrakech		http://www.wikidata.org/entity/statement/Q101625-DACD7240-1536-4DB3-86B2-16DDB8A5B061	
wd:Q1065579	skos:exactMatch	pactols:pcrtMniWWmwgMH	semapv:UnspecifiedMatching	fashion accessory		http://www.wikidata.org/entity/statement/Q1065579-46A67B2D-536B-4421-BBD5-E9AFE9003AD2	
wd:Q107293358	skos:exactMatch	pactols:crtfflVX7ZrpK	semapv:UnspecifiedMatching	archaeological report		http://www.wikidata.org/entity/statement/Q107293358-865F01BB-C7DD-4981-BEF7-86BF7EC31A44	
wd:Q1093065	skos:exactMatch	pactols:pcrtLibJ42keWN	semapv:UnspecifiedMatching	Piégut		http://www.wikidata.org/entity/statement/Q1093065-F9007B18-B072-4F0B-AB0D-FCF5688473D6	
wd:Q1127723	skos:exactMatch	pactols:https://ark.frantiq.fr/ark:/26678/pcrt4g0vfvpwbvv9jbhkwrtf	semapv:UnspecifiedMatching	Paracas culture		http://www.wikidata.org/entity/statement/Q1127723-c3151e74-476c-025b-9e41-10691971bbb4	
wd:Q112940062	skos:exactMatch	pactols:crtjJAXc7Zznt	semapv:UnspecifiedMatching	Nahal Hemar Cave		http://www.wikidata.org/entity/statement/Q112940062-c043144f-4bd3-3026-be3f-af7597df3719	
wd:Q1139666	skos:exactMatch	pactols:pcrt0b2bxKsdpB	semapv:UnspecifiedMatching	Borkou		http://www.wikidata.org/entity/statement/Q1139666-37987236-CEFE-464A-AC90-E79DE77700FE	
wd:Q1145180	skos:exactMatch	pactols:pcrt0FPtlhvYbM	semapv:UnspecifiedMatching	Canopus		http://www.wikidata.org/entity/statement/Q1145180-27159051-8CA4-44D3-A687-3577F4B5C126	
wd:Q11936307	skos:exactMatch	pactols:pcrttUJk3MIJwb	semapv:UnspecifiedMatching	Madauros		http://www.wikidata.org/entity/statement/Q11936307-CE3E90EF-7905-4ACA-B071-BF75A693853B	
wd:Q11944146	skos:exactMatch	pactols:pcrtzqbfEpV4KV	semapv:UnspecifiedMatching	Qasr Qarun		http://www.wikidata.org/entity/statement/Q11944146-DB55A94D-E350-4AC5-8B54-36A6A5A98209	
wd:Q1204373	skos:exactMatch	pactols:pcrt9PNT5Oxhc2	semapv:UnspecifiedMatching	Maktar		http://www.wikidata.org/entity/statement/Q1204373-1264A7D7-92D1-4012-93CB-C8E4A8C75CF8	
wd:Q1206419	skos:exactMatch	pactols:https://ark.frantiq.fr/ark:/26678/pcrtkfpt2pj1mn1dg3p2fzr6	semapv:UnspecifiedMatching	beams		http://www.wikidata.org/entity/statement/Q1206419-09f06d68-4c20-a925-d3e6-ff2400bc5b6a	
wd:Q12203518	skos:exactMatch	pactols:pcrtPfFhAPf1R1	semapv:UnspecifiedMatching	Tuna el-Gebel		http://www.wikidata.org/entity/statement/Q12203518-C9C81E45-6BF5-4370-AC0B-0E4AB4B2213D	
wd:Q12243940	skos:exactMatch	pactols:pcrtY5DfSywofx	semapv:UnspecifiedMatching	delegation of Sbiba		http://www.wikidata.org/entity/statement/Q12243940-33F5DFD0-A4AE-4C56-8B38-331F8E36218F	
wd:Q125309	skos:exactMatch	pactols:pcrttgHrE2OFmg	semapv:UnspecifiedMatching	Lake Chad		http://www.wikidata.org/entity/statement/Q125309-AEAE0BF6-B450-4E06-826E-8BF3FD53E70E	
wd:Q1257443	skos:exactMatch	pactols:pcrtm3f86tVgE0	semapv:UnspecifiedMatching	Tétouan Province		http://www.wikidata.org/entity/statement/Q1257443-D079113F-E99B-4AB5-8626-FDC7AEFD7C38	
wd:Q126148	skos:exactMatch	pactols:pcrtzwDcvIX1bf	semapv:UnspecifiedMatching	Tangier		http://www.wikidata.org/entity/statement/Q126148-079DD078-E239-449A-BA94-61A5C1201FE9	
wd:Q128011	skos:exactMatch	pactols:pcrtofifH8uo8K	semapv:UnspecifiedMatching	Greater Antilles		http://www.wikidata.org/entity/statement/Q128011-3348A613-E27A-4272-A43B-1100E093A8FD	
wd:Q133423	skos:exactMatch	pactols:pcrtOtIDZnzFy6	semapv:UnspecifiedMatching	Valley of the Kings		http://www.wikidata.org/entity/statement/Q133423-0604B625-769A-418B-9C74-CC35BB77BCD8	
wd:Q1366914	skos:exactMatch	pactols:pcrtUS1qRhxwbc	semapv:UnspecifiedMatching	Rabbinic Judaism		http://www.wikidata.org/entity/statement/Q1366914-47AE9BC0-38FB-453B-97C6-309D9B78127E	
wd:Q137721	skos:exactMatch	pactols:pcrt0iSEEtOMxN	semapv:UnspecifiedMatching	Naucratis		http://www.wikidata.org/entity/statement/Q137721-B1598779-C54F-4090-8761-EB73F74141CA	
wd:Q138531	skos:exactMatch	pactols:pcrx6xlp0j3fr7s7s80jd8r-s	semapv:UnspecifiedMatching	Phlegon of Tralles		http://www.wikidata.org/entity/statement/Q138531-5c78db76-4597-c4b2-1d54-b0018dc4cd02	
wd:Q1392801	skos:exactMatch	pactols:pcrm72md8t45175qtb1ml6w-1	semapv:UnspecifiedMatching	Posidippus		http://www.wikidata.org/entity/statement/Q1392801-cbab1f21-4f7f-132e-c99d-7866320dbe6e	
wd:Q140131	skos:exactMatch	pactols:pcrtnhGwhKcerA	semapv:UnspecifiedMatching	Zafar		http://www.wikidata.org/entity/statement/Q140131-37839F95-71D4-4639-8488-A1D9D4DE60A6	
wd:Q14218430	skos:exactMatch	pactols:pcrtEOhmXTYwPr	semapv:UnspecifiedMatching	Qasr el-Ghueita		http://www.wikidata.org/entity/statement/Q14218430-C4361A4F-9E16-46ED-A784-5EDC00311A0D	
wd:Q14218523	skos:exactMatch	pactols:pcrt78WGGU8xVz	semapv:UnspecifiedMatching	Qarat el-Muzawwaqa		http://www.wikidata.org/entity/statement/Q14218523-6D6FF137-9D1F-4971-952A-4645792E37C1	
wd:Q1462523	skos:exactMatch	pactols:pcrtSXrgwjhfL1	semapv:UnspecifiedMatching	Serabit el-Khadim		http://www.wikidata.org/entity/statement/Q1462523-6786E8D3-4FFA-49F0-BCF2-498FED5BBAC9	
