#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  aat: http://vocab.getty.edu/aat/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_aat.sssom.tsv
#mapping_set_title: Wikidata to Getty AAT
#mapping_set_description: Wikidata items carrying a P1014 identifier, harvested via SPARQL from https://query.wikidata.org/sparql.
#license: TODO:choose_a_license
#creator_id: TODO:orcid_or_custom_curie
#creator_label: Lasse Mempel
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: http://www.wikidata.org/entity/
#object_source: http://vocab.getty.edu/aat/
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q105	skos:exactMatch	aat:300410304	semapv:UnspecifiedMatching	Monday		http://www.wikidata.org/entity/statement/Q105-a6f2f88e-4176-bb8b-21f5-b244e3c39b44	
wd:Q108	skos:exactMatch	aat:300410290	semapv:UnspecifiedMatching	January		http://www.wikidata.org/entity/statement/Q108-6a596ebc-46ba-fbcd-ccd5-31825721f74e	
wd:Q109	skos:exactMatch	aat:300410291	semapv:UnspecifiedMatching	February		http://www.wikidata.org/entity/statement/Q109-476263a0-4fc2-ddbe-1a72-8a593b1700fe	
wd:Q110	skos:exactMatch	aat:300410292	semapv:UnspecifiedMatching	March		http://www.wikidata.org/entity/statement/Q110-462586a7-447b-3135-ad14-4681527d6fbc	
wd:Q116	skos:exactMatch	aat:300237007	semapv:UnspecifiedMatching	monarch		http://www.wikidata.org/entity/statement/Q116-417B8A3C-D75E-40A1-999F-0BBCACA5351A	
wd:Q116	skos:exactMatch	aat:300025483	semapv:UnspecifiedMatching	monarch		http://www.wikidata.org/entity/statement/Q116-D2FE1BBB-A269-4A38-842B-7E54F5AD374E	
wd:Q118	skos:exactMatch	aat:300410293	semapv:UnspecifiedMatching	April		http://www.wikidata.org/entity/statement/Q118-d08d6af9-4bdf-b803-8c0b-4d3e1e70de98	
wd:Q119	skos:exactMatch	aat:300410294	semapv:UnspecifiedMatching	May		http://www.wikidata.org/entity/statement/Q119-36e9e0ff-4bdb-3fb0-24e6-a372d58d5789	
wd:Q120	skos:exactMatch	aat:300410295	semapv:UnspecifiedMatching	June		http://www.wikidata.org/entity/statement/Q120-59fa4a8c-46dc-0b84-51bd-718854dcac61	
wd:Q121	skos:exactMatch	aat:300410296	semapv:UnspecifiedMatching	July		http://www.wikidata.org/entity/statement/Q121-c4399f3f-41f0-2e5c-f0fe-6e60eb90045d	
wd:Q122	skos:exactMatch	aat:300410297	semapv:UnspecifiedMatching	August		http://www.wikidata.org/entity/statement/Q122-2fa986a4-4132-95f1-5234-b40a691fdb7c	
wd:Q123	skos:exactMatch	aat:300410298	semapv:UnspecifiedMatching	September		http://www.wikidata.org/entity/statement/Q123-0bf3016f-4b09-45cf-a18a-863b61cdd5bf	
wd:Q124	skos:exactMatch	aat:300410299	semapv:UnspecifiedMatching	October		http://www.wikidata.org/entity/statement/Q124-d4fad135-4768-c68e-7d86-56aea7a222b4	
wd:Q125	skos:exactMatch	aat:300410300	semapv:UnspecifiedMatching	November		http://www.wikidata.org/entity/statement/Q125-849a73a8-4759-c101-23e6-6a2400333e7b	
wd:Q126	skos:exactMatch	aat:300410301	semapv:UnspecifiedMatching	December		http://www.wikidata.org/entity/statement/Q126-267bc919-423a-d278-fc5b-f6b02a651987	
wd:Q127	skos:exactMatch	aat:300410305	semapv:UnspecifiedMatching	Tuesday		http://www.wikidata.org/entity/statement/Q127-78b8b5c1-4ed8-f628-f35f-226a54a4f371	
wd:Q128	skos:exactMatch	aat:300410306	semapv:UnspecifiedMatching	Wednesday		http://www.wikidata.org/entity/statement/Q128-0ff5d6cd-4cb8-d315-3a19-8b431d5de8b0	
wd:Q129	skos:exactMatch	aat:300410307	semapv:UnspecifiedMatching	Thursday		http://www.wikidata.org/entity/statement/Q129-d11e2aa3-4757-5608-71b9-70bff858c2d8	
wd:Q130	skos:exactMatch	aat:300410308	semapv:UnspecifiedMatching	Friday		http://www.wikidata.org/entity/statement/Q130-96aa47b2-4b7c-3705-bce0-709d67fb6b3e	
wd:Q131	skos:exactMatch	aat:300410309	semapv:UnspecifiedMatching	Saturday		http://www.wikidata.org/entity/statement/Q131-d39cec4d-44c3-4119-bfec-6cedc74b2fd4	
wd:Q132	skos:exactMatch	aat:300410310	semapv:UnspecifiedMatching	Sunday		http://www.wikidata.org/entity/statement/Q132-ee0b15b1-47bb-7845-1c63-70eb75e7c0be	
wd:Q135	skos:exactMatch	aat:300212345	semapv:UnspecifiedMatching	pawn		http://www.wikidata.org/entity/statement/Q135-CDFB144F-AFD4-43C8-A9F8-7D8758E65E6B	
wd:Q137	skos:exactMatch	aat:300211219	semapv:UnspecifiedMatching	rook		http://www.wikidata.org/entity/statement/Q137-E45FC861-FFA5-4802-8E9C-85F0007A5E0A	
wd:Q140	skos:exactMatch	aat:300310388	semapv:UnspecifiedMatching	lion		http://www.wikidata.org/entity/statement/Q140-8e3c9dc3-442e-2e61-8617-f4a41b5be668	
wd:Q143	skos:exactMatch	aat:300388282	semapv:UnspecifiedMatching	Esperanto		http://www.wikidata.org/entity/statement/Q143-6F06DAC3-BF02-4F06-8CEA-9074E8E39F49	
wd:Q144	skos:exactMatch	aat:300250130	semapv:UnspecifiedMatching	dog		http://www.wikidata.org/entity/statement/Q144-ad6fda85-4ca8-064a-8055-da6b304b0183	
wd:Q146	skos:exactMatch	aat:300265960	semapv:UnspecifiedMatching	cat		http://www.wikidata.org/entity/statement/Q146-550b4f39-40fd-155a-203e-96ec28de9ba7	
wd:Q147	skos:exactMatch	aat:300265951	semapv:UnspecifiedMatching	kitten		http://www.wikidata.org/entity/statement/Q147-80936262-7C25-436F-891E-72BABF6CA9BC	
wd:Q150	skos:exactMatch	aat:300388306	semapv:UnspecifiedMatching	French		http://www.wikidata.org/entity/statement/Q150-9BB91F41-5FB6-46AB-A282-0CC240D2D7E3	
wd:Q152	skos:exactMatch	aat:300266085	semapv:UnspecifiedMatching	fish		http://www.wikidata.org/entity/statement/Q152-d44cbd09-4ec4-157b-b26d-3e1cfd493f41	
wd:Q153	skos:exactMatch	aat:300015231	semapv:UnspecifiedMatching	ethanol		http://www.wikidata.org/entity/statement/Q153-90DDEA50-4050-4458-9688-FDBDE83130B0	
wd:Q153	skos:exactMatch	aat:300015234	semapv:UnspecifiedMatching	ethanol		http://www.wikidata.org/entity/statement/Q153-E5F9BD7A-48F6-4678-9B1E-82F8464D9807	
wd:Q156	skos:exactMatch	aat:300015224	semapv:UnspecifiedMatching	alcohols		http://www.wikidata.org/entity/statement/Q156-9CDA7401-F68A-4AAA-88F4-FBDC0D6257CF	
wd:Q160	skos:exactMatch	aat:300310322	semapv:UnspecifiedMatching	Cetacea		http://www.wikidata.org/entity/statement/Q160-57C74E0B-0F7B-44E4-878D-71D72C644769	
wd:Q161	skos:exactMatch	aat:300014024	semapv:UnspecifiedMatching	fiber		http://www.wikidata.org/entity/statement/Q161-5f82bda7-4cb3-783b-dea0-9e6a9c719d0d	
wd:Q162	skos:exactMatch	aat:300183039	semapv:UnspecifiedMatching	optical fiber		http://www.wikidata.org/entity/statement/Q162-0D756138-F6CF-4A1F-9442-97EF8B2F67DD	
wd:Q164	skos:exactMatch	aat:300055637	semapv:UnspecifiedMatching	square		http://www.wikidata.org/entity/statement/Q164-C5925A5E-7297-4224-A724-627CBF91DBC8	
wd:Q165	skos:exactMatch	aat:300008694	semapv:UnspecifiedMatching	sea		http://www.wikidata.org/entity/statement/Q165-5161ED35-4F36-4B1C-89D8-A1AE96C2BFDD	
wd:Q169	skos:exactMatch	aat:300266436	semapv:UnspecifiedMatching	mango		http://www.wikidata.org/entity/statement/Q169-E4C13F0F-26B3-4641-8F05-843ED6278AB3	
wd:Q171	skos:exactMatch	aat:300266678	semapv:UnspecifiedMatching	wiki		http://www.wikidata.org/entity/statement/Q171-772C3FFE-A1D4-4968-BB88-C4DB01F3D870	
wd:Q178	skos:exactMatch	aat:300265413	semapv:UnspecifiedMatching	pasta		http://www.wikidata.org/entity/statement/Q178-950B91A8-69FE-4DD6-8A3F-1D96B2C484AC	
wd:Q188	skos:exactMatch	aat:300388344	semapv:UnspecifiedMatching	German		http://www.wikidata.org/entity/statement/Q188-29FF98E3-0785-449D-BC89-E0788448D685	
wd:Q196	skos:exactMatch	aat:300440730	semapv:UnspecifiedMatching	cherry		http://www.wikidata.org/entity/statement/Q196-16b901b3-484d-b01d-1fde-9aa1dac3d0cc	
wd:Q198	skos:exactMatch	aat:300055314	semapv:UnspecifiedMatching	war		http://www.wikidata.org/entity/statement/Q198-4CBC60F5-3EC9-467A-95D7-7BAB606D69DB	
wd:Q205	skos:exactMatch	aat:300073212	semapv:UnspecifiedMatching	infinity		http://www.wikidata.org/entity/statement/Q205-7CC2E7B4-0A2B-449A-A195-6B0E4556CB0A	
wd:Q209	skos:exactMatch	aat:300055636	semapv:UnspecifiedMatching	rectangle		http://www.wikidata.org/entity/statement/Q209-2AFBF759-8627-4198-90A8-D7A0D39C08E2	
