#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  fishtmt: http://purl.org/heritagedata/schemes/eh_tmt2/concepts/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_fish_monument_types.sssom.tsv
#mapping_set_title: Wikidata to FISH Monument Types Thesaurus
#mapping_set_description: Wikidata items carrying a P14369 identifier, harvested via SPARQL from https://query.wikidata.org/sparql.
#license: TODO:choose_a_license
#creator_id: TODO:orcid_or_custom_curie
#creator_label: Lasse Mempel
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: http://www.wikidata.org/entity/
#object_source: http://purl.org/heritagedata/schemes/eh_tmt2/concepts/
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q1004435	skos:exactMatch	fishtmt:91093	semapv:UnspecifiedMatching	athletics track		http://www.wikidata.org/entity/statement/Q1004435-75D09261-A48F-44E6-BFB5-DD5B20804E08	
wd:Q1007870	skos:exactMatch	fishtmt:68694	semapv:UnspecifiedMatching	art gallery		http://www.wikidata.org/entity/statement/Q1007870-0370C03B-0135-42DE-9728-54CF4AA03787	
wd:Q101687	skos:exactMatch	fishtmt:69960	semapv:UnspecifiedMatching	altar		http://www.wikidata.org/entity/statement/Q101687-5190cd81-4aa6-4d91-8178-8d66c3bbfd5f	
wd:Q1035294	skos:exactMatch	fishtmt:70096	semapv:UnspecifiedMatching	henge		http://www.wikidata.org/entity/statement/Q1035294-91135a84-dd95-4c02-947a-0452f981c697	
wd:Q106963151	skos:exactMatch	fishtmt:170859	semapv:UnspecifiedMatching	animal trap		http://www.wikidata.org/entity/statement/Q106963151-9E1981A0-FAB4-407B-A704-0FF425070D2E	
wd:Q108325	skos:exactMatch	fishtmt:69967	semapv:UnspecifiedMatching	chapel		http://www.wikidata.org/entity/statement/Q108325-E054E595-CC2F-45C0-8426-3C8192DA98EE	
wd:Q113297328	skos:exactMatch	fishtmt:90956	semapv:UnspecifiedMatching	pottery manufactory		http://www.wikidata.org/entity/statement/Q113297328-c9a15086-4c7c-188a-af56-26e9ba62cc0e	
wd:Q1149405	skos:exactMatch	fishtmt:68974	semapv:UnspecifiedMatching	rock shelter		http://www.wikidata.org/entity/statement/Q1149405-02CEE2F3-428A-454F-B320-58342ACB5023	
wd:Q120312	skos:exactMatch	fishtmt:159202	semapv:UnspecifiedMatching	trilithon		http://www.wikidata.org/entity/statement/Q120312-6E9607AA-9112-48E4-9829-732EA7CEC8F3	
wd:Q1211146	skos:exactMatch	fishtmt:142031	semapv:UnspecifiedMatching	rock art		http://www.wikidata.org/entity/statement/Q1211146-e42792ed-4b97-cec6-f50f-294fdb19205c	
wd:Q1229765	skos:exactMatch	fishtmt:140082	semapv:UnspecifiedMatching	watercraft		http://www.wikidata.org/entity/statement/Q1229765-E46AA0A4-B226-47A9-A16A-B097591C5910	
wd:Q124714	skos:exactMatch	fishtmt:70390	semapv:UnspecifiedMatching	spring		http://www.wikidata.org/entity/statement/Q124714-7D2476C5-796B-4987-8BE2-BE90C8DADAF1	
wd:Q1248784	skos:exactMatch	fishtmt:70210	semapv:UnspecifiedMatching	airport		http://www.wikidata.org/entity/statement/Q1248784-4D6A590A-6D5A-4243-8742-2020169AA517	
wd:Q126946189	skos:exactMatch	fishtmt:92749	semapv:UnspecifiedMatching	netball court		http://www.wikidata.org/entity/statement/Q126946189-82B1E4C7-6473-4BBB-8071-0F607711B9C9	
wd:Q1285972	skos:exactMatch	fishtmt:103272	semapv:UnspecifiedMatching	isolation ward		http://www.wikidata.org/entity/statement/Q1285972-C594251F-C7FA-4E89-B595-585C0F2851B5	
wd:Q1307347	skos:exactMatch	fishtmt:102972	semapv:UnspecifiedMatching	boundary		http://www.wikidata.org/entity/statement/Q1307347-CCAD38C8-02B4-4DE7-8CE7-40650963C061	
wd:Q133215	skos:exactMatch	fishtmt:94125	semapv:UnspecifiedMatching	casino		http://www.wikidata.org/entity/statement/Q133215-592EB9FC-4E8F-42C3-8DF7-01153C88E6B5	
wd:Q1341387	skos:exactMatch	fishtmt:68722	semapv:UnspecifiedMatching	spa		http://www.wikidata.org/entity/statement/Q1341387-AAA546CF-FE16-4538-B067-86E3326E3CFD	
wd:Q1361400	skos:exactMatch	fishtmt:70935	semapv:UnspecifiedMatching	gully		http://www.wikidata.org/entity/statement/Q1361400-7CD481C0-4633-496B-895B-271E71E197FB	
wd:Q1371047	skos:exactMatch	fishtmt:70203	semapv:UnspecifiedMatching	holy well		http://www.wikidata.org/entity/statement/Q1371047-0939CBC5-1AAB-440E-9DDE-D0F391535CFC	
wd:Q139308886	skos:exactMatch	fishtmt:70179	semapv:UnspecifiedMatching	ritual shaft		http://www.wikidata.org/entity/statement/Q139308886-51D68E0E-F619-4DFB-A943-1C87B67723BF	
wd:Q139586562	skos:exactMatch	fishtmt:86499	semapv:UnspecifiedMatching	artefact scatter		http://www.wikidata.org/entity/statement/Q139586562-cb27a9df-4b5b-ba4d-f27c-2a32fdb89bf2	
wd:Q1399576	skos:exactMatch	fishtmt:70071	semapv:UnspecifiedMatching	cist		http://www.wikidata.org/entity/statement/Q1399576-DAF20401-EFE5-4C52-BF03-523A49F85204	
wd:Q140136723	skos:exactMatch	fishtmt:69999	semapv:UnspecifiedMatching	funerary site		http://www.wikidata.org/entity/statement/Q140136723-eca69eee-4b63-be65-a1af-beec0fb49516	
wd:Q1490797	skos:exactMatch	fishtmt:70407	semapv:UnspecifiedMatching	ring ditch		http://www.wikidata.org/entity/statement/Q1490797-D81323BD-6E93-400F-9A19-59EFFCE5A537	
wd:Q1492515	skos:exactMatch	fishtmt:171421	semapv:UnspecifiedMatching	Romano-Celtic temple		http://www.wikidata.org/entity/statement/Q1492515-91edeac7-4ecb-bc39-505d-97ceacbe6ad8	
wd:Q157570	skos:exactMatch	fishtmt:70078	semapv:UnspecifiedMatching	crematorium		http://www.wikidata.org/entity/statement/Q157570-70390A51-C843-4703-AC14-5EE00A6632EA	
wd:Q160742	skos:exactMatch	fishtmt:70120	semapv:UnspecifiedMatching	abbey		http://www.wikidata.org/entity/statement/Q160742-F8EA06F1-9AAE-4943-936F-F0C0F84DC222	
wd:Q1621967	skos:exactMatch	fishtmt:69092	semapv:UnspecifiedMatching	pottery kiln		http://www.wikidata.org/entity/statement/Q1621967-9730B5C9-F75E-47C1-91E1-3755E18CA065	
wd:Q162875	skos:exactMatch	fishtmt:70087	semapv:UnspecifiedMatching	mausoleum		http://www.wikidata.org/entity/statement/Q162875-777856C5-F976-4E54-A31F-7255D4F41DFF	
wd:Q163778	skos:exactMatch	fishtmt:87144	semapv:UnspecifiedMatching	animal cemetery		http://www.wikidata.org/entity/statement/Q163778-0C98EE9E-98A5-4E4A-BEC5-9C4BA39FD9D3	
wd:Q1706476	skos:exactMatch	fishtmt:93716	semapv:UnspecifiedMatching	veterinary hospital		http://www.wikidata.org/entity/statement/Q1706476-31D1350C-4D71-4F0C-9DB4-78823B887B3D	
wd:Q173387	skos:exactMatch	fishtmt:70080	semapv:UnspecifiedMatching	grave		http://www.wikidata.org/entity/statement/Q173387-F6A1552E-1010-47F7-B70A-BD601F82199B	
wd:Q179700	skos:exactMatch	fishtmt:68775	semapv:UnspecifiedMatching	statue		http://www.wikidata.org/entity/statement/Q179700-BA59B8A9-33E0-4127-AFF2-5C1E34968270	
wd:Q1813474	skos:exactMatch	fishtmt:93507	semapv:UnspecifiedMatching	teaching hospital		http://www.wikidata.org/entity/statement/Q1813474-12358DF4-D19E-492E-95E1-3BE2533799C6	
wd:Q183398	skos:exactMatch	fishtmt:94182	semapv:UnspecifiedMatching	bulletin board		http://www.wikidata.org/entity/statement/Q183398-DD00927D-1F27-4A42-BBCD-2507BC9A0C68	
wd:Q184418	skos:exactMatch	fishtmt:70074	semapv:UnspecifiedMatching	coffin		http://www.wikidata.org/entity/statement/Q184418-A45029E5-2C88-45B9-8750-2C7F1E31BEF2	
wd:Q1852785	skos:exactMatch	fishtmt:68917	semapv:UnspecifiedMatching	trench		http://www.wikidata.org/entity/statement/Q1852785-139C4E78-4A77-4AD7-886D-D181AF81E974	
wd:Q18587891	skos:exactMatch	fishtmt:69094	semapv:UnspecifiedMatching	pottery studio		http://www.wikidata.org/entity/statement/Q18587891-E73D0BED-4DE3-4DB5-9FBB-84C3B8F0C5ED	
wd:Q188040	skos:exactMatch	fishtmt:69068	semapv:UnspecifiedMatching	quarry		http://www.wikidata.org/entity/statement/Q188040-E54BF281-5BDF-4DCA-83A4-E7DCC1CDBC01	
wd:Q188869	skos:exactMatch	fishtmt:68623	semapv:UnspecifiedMatching	field		http://www.wikidata.org/entity/statement/Q188869-439F140D-BA83-4AC5-A729-8AADB1D8116F	
wd:Q190752	skos:exactMatch	fishtmt:147549	semapv:UnspecifiedMatching	supreme court		http://www.wikidata.org/entity/statement/Q190752-16B041DA-B72E-44B7-A5E7-9E3EE5C641A0	
wd:Q192619	skos:exactMatch	fishtmt:70079	semapv:UnspecifiedMatching	crypt		http://www.wikidata.org/entity/statement/Q192619-4D9C6A8D-1A32-4CAE-A444-35D33536D90D	
wd:Q193010	skos:exactMatch	fishtmt:139022	semapv:UnspecifiedMatching	wind tunnel		http://www.wikidata.org/entity/statement/Q193010-C14DD821-EC5D-4D4B-8B37-17436792F732	
wd:Q194195	skos:exactMatch	fishtmt:136910	semapv:UnspecifiedMatching	amusement park		http://www.wikidata.org/entity/statement/Q194195-9BC9FFA0-0B5B-42B8-855C-3F6BB85EE0D1	
wd:Q19947271	skos:exactMatch	fishtmt:70000	semapv:UnspecifiedMatching	barrow		http://www.wikidata.org/entity/statement/Q19947271-3F56C610-2A57-4EB8-A6C3-264AF180A31C	
wd:Q2016147	skos:exactMatch	fishtmt:70111	semapv:UnspecifiedMatching	ogham stone		http://www.wikidata.org/entity/statement/Q2016147-7e93a890-9d0f-49e5-8312-7e05eb9dad2c	
