#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  fishobj: http://purl.org/heritagedata/schemes/mda_obj/concepts/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_fish_objects.sssom.tsv
#mapping_set_title: Wikidata to FISH Archaeological Objects Thesaurus
#mapping_set_description: Wikidata items carrying a P10674 identifier, harvested via SPARQL from https://query.wikidata.org/sparql.
#license: TODO:choose_a_license
#creator_id: TODO:orcid_or_custom_curie
#creator_label: Lasse Mempel
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: http://www.wikidata.org/entity/
#object_source: http://purl.org/heritagedata/schemes/mda_obj/concepts/
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q100397014	skos:exactMatch	fishobj:96646	semapv:UnspecifiedMatching	stud		http://www.wikidata.org/entity/statement/Q100397014-0AE9EF46-88FA-4DC7-9F09-AFF6838507C2	
wd:Q100397014	skos:exactMatch	fishobj:96647	semapv:UnspecifiedMatching	stud		http://www.wikidata.org/entity/statement/Q100397014-44ED17AA-8C41-4839-8F33-C3DCAD4D26D9	
wd:Q100709566	skos:exactMatch	fishobj:96688	semapv:UnspecifiedMatching	eyelet		http://www.wikidata.org/entity/statement/Q100709566-4CDE515B-79B7-418C-943A-2A636E923137	
wd:Q101401	skos:exactMatch	fishobj:95509	semapv:UnspecifiedMatching	bell		http://www.wikidata.org/entity/statement/Q101401-D3E5BE63-A788-47BF-A02A-DD2A14E4A462	
wd:Q101444738	skos:exactMatch	fishobj:96593	semapv:UnspecifiedMatching	kerchief		http://www.wikidata.org/entity/statement/Q101444738-52666BE7-E2CD-4169-8E18-719D87E505C9	
wd:Q101687	skos:exactMatch	fishobj:95836	semapv:UnspecifiedMatching	altar		http://www.wikidata.org/entity/statement/Q101687-70dd39f8-454b-5ca0-097a-c79f37b54ebd	
wd:Q1018079	skos:exactMatch	fishobj:96824	semapv:UnspecifiedMatching	butter churn		http://www.wikidata.org/entity/statement/Q1018079-577D242B-8A35-492A-8C2C-986E6566B5D8	
wd:Q1018079	skos:exactMatch	fishobj:95768	semapv:UnspecifiedMatching	butter churn		http://www.wikidata.org/entity/statement/Q1018079-E4676715-2BD8-4582-B01D-5C31875709CA	
wd:Q101963525	skos:exactMatch	fishobj:95368	semapv:UnspecifiedMatching	book fitting		http://www.wikidata.org/entity/statement/Q101963525-BF899545-BCF7-4967-B049-BED32CDB186C	
wd:Q101976370	skos:exactMatch	fishobj:96225	semapv:UnspecifiedMatching	hearthstone		http://www.wikidata.org/entity/statement/Q101976370-682BD333-8161-4781-9765-D0ABC741D4AD	
wd:Q102004561	skos:exactMatch	fishobj:96304	semapv:UnspecifiedMatching	spike		http://www.wikidata.org/entity/statement/Q102004561-DDDAE838-E315-4ECE-83B4-F75C0E1CB962	
wd:Q1020506	skos:exactMatch	fishobj:96662	semapv:UnspecifiedMatching	bow brooch		http://www.wikidata.org/entity/statement/Q1020506-C3D25217-3463-424C-9B59-2DA93D22A7EB	
wd:Q102836	skos:exactMatch	fishobj:96306	semapv:UnspecifiedMatching	spring		http://www.wikidata.org/entity/statement/Q102836-33DFF36F-6BB0-4E78-A0E8-BB6C474D3408	
wd:Q1034198	skos:exactMatch	fishobj:96610	semapv:UnspecifiedMatching	cape		http://www.wikidata.org/entity/statement/Q1034198-3E0E254C-10BF-46F3-92FC-74B253EAD5F8	
wd:Q103896	skos:exactMatch	fishobj:95249	semapv:UnspecifiedMatching	compass		http://www.wikidata.org/entity/statement/Q103896-2DF2E87B-A580-4E68-846A-EFAD2E20DE51	
