#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  gnd: https://d-nb.info/gnd/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_gnd.sssom.tsv
#mapping_set_title: Wikidata to GND (archaeology-relevant subset)
#mapping_set_description: Wikidata<->GND (P227) crosswalk, restricted to Wikidata items and GND records already known to be archaeology-relevant via the AAT/FISH/PACTOLS crosswalks and the ARIADNE + vocabulary-internal mapping sets — deliberately NOT a wholesale P227 harvest, which would pull in GND's entire non-archaeological scope. See scan_existing_mappings_for_qids_and_gnd().
#license: TODO:choose_a_license
#creator_id: TODO:orcid_or_custom_curie
#creator_label: Lasse Mempel
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: http://www.wikidata.org/entity/
#object_source: https://d-nb.info/gnd/
#comment: predicate_id defaults to skos:exactMatch; overridden per-row when the Wikidata statement carries a mapping relation type (P4390) qualifier.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q1000037	skos:exactMatch	gnd:4609305-9	semapv:UnspecifiedMatching	Castelo de Vide		http://www.wikidata.org/entity/statement/Q1000037-E55C1266-E72D-4B56-8E54-5587BDA18DE4	
wd:Q1000370	skos:exactMatch	gnd:4041101-1	semapv:UnspecifiedMatching	Koniferen		http://www.wikidata.org/entity/statement/Q1000370-9f851717-4b3f-2bb4-5716-1d9a14571d59	
wd:Q1001045	skos:exactMatch	gnd:4138020-4	semapv:UnspecifiedMatching	nobiles		http://www.wikidata.org/entity/statement/Q1001045-0EDBBCD3-9143-4CAF-BDE2-7020A7CCF1BA	
wd:Q10011	skos:exactMatch	gnd:119022796	semapv:UnspecifiedMatching	Jiajing Emperor of Ming		http://www.wikidata.org/entity/statement/q10011-DE7A0B99-030D-43F0-B6A0-8337CA1794D9	
wd:Q1001313	skos:exactMatch	gnd:4384406-6	semapv:UnspecifiedMatching	filigree		http://www.wikidata.org/entity/statement/Q1001313-61110429-2BC0-4114-821E-276FD9B71442	
wd:Q100163675	skos:exactMatch	gnd:4145890-4	semapv:UnspecifiedMatching	bleaching		http://www.wikidata.org/entity/statement/Q100163675-0a1d64e9-4f0b-2db6-8162-731f476e2452	
wd:Q1001877	skos:exactMatch	gnd:7684056-6	semapv:UnspecifiedMatching	flageolet		http://www.wikidata.org/entity/statement/Q1001877-d553083b-448b-6c37-3d98-a466ac24945b	
wd:Q1001908	skos:exactMatch	gnd:4418612-5	semapv:UnspecifiedMatching	Gétigné		http://www.wikidata.org/entity/statement/Q1001908-51262853-99C3-4E25-8050-0D32F4E0D8A7	
wd:Q1002688	skos:exactMatch	gnd:4280266-0	semapv:UnspecifiedMatching	Saint-Geoire-en-Valdaine		http://www.wikidata.org/entity/statement/Q1002688-BC7C2964-D74C-4537-8611-5D27344F5B5F	
wd:Q1002697	skos:exactMatch	gnd:4155074-2	semapv:UnspecifiedMatching	periodical		http://www.wikidata.org/entity/statement/Q1002697-38FC8433-F663-465A-94B0-E6D60C0F4A24	
