#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_pactols.sssom.tsv
#mapping_set_title: Wikidata to PACTOLS
#mapping_set_description: Wikidata items carrying a P4212 identifier, harvested via SPARQL from https://query.wikidata.org/sparql.
#license: TODO:choose_a_license
#creator_id: TODO:orcid_or_custom_curie
#creator_label: Lasse Mempel
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: http://www.wikidata.org/entity/
#object_source: https://ark.frantiq.fr/ark:/26678/
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q112	skos:exactMatch	pactols:pcrtu9XrG3KUEb	semapv:UnspecifiedMatching	Mars		http://www.wikidata.org/entity/statement/Q112-1B623DA3-C930-48DA-8A45-70770585935A	
wd:Q140	skos:exactMatch	pactols:pcrt5TAeZsO7W4	semapv:UnspecifiedMatching	lion		http://www.wikidata.org/entity/statement/Q140-AD6CD534-1FD2-4AC7-9CF8-9D2B4C46927C	
wd:Q142	skos:exactMatch	pactols:pcrtSXwPXnEUgp	semapv:UnspecifiedMatching	France		http://www.wikidata.org/entity/statement/Q142-D58CC274-27AF-44B3-A2DC-27EDA30C9EDC	
wd:Q144	skos:exactMatch	pactols:pcrt4v7jKE3TVw	semapv:UnspecifiedMatching	dog		http://www.wikidata.org/entity/statement/Q144-347CB7E6-4BF0-4473-8DFF-2B4F5517B8C2	
wd:Q145	skos:exactMatch	pactols:pcrtJalayzhciB	semapv:UnspecifiedMatching	United Kingdom		http://www.wikidata.org/entity/statement/Q145-27473108-A312-4DC2-B0B6-FDAE7D4CDB3D	
wd:Q146	skos:exactMatch	pactols:pcrtBEscNJUhBp	semapv:UnspecifiedMatching	cat		http://www.wikidata.org/entity/statement/Q146-59458BC1-C9B3-4F43-9A83-D1B6BB389095	
wd:Q15	skos:exactMatch	pactols:pcrtLB2qBVhGjT	semapv:UnspecifiedMatching	Africa		http://www.wikidata.org/entity/statement/Q15-b9f22d1d-4aed-209b-d535-a46116dd9d84	
wd:Q150	skos:exactMatch	pactols:pcrtpIwFHMfcL1	semapv:UnspecifiedMatching	French		http://www.wikidata.org/entity/statement/Q150-72A0CD25-A227-4A5E-B4D8-41105AC537BD	
wd:Q152	skos:exactMatch	pactols:pcrtWzsaEhKlzd	semapv:UnspecifiedMatching	fish		http://www.wikidata.org/entity/statement/Q152-0B3A055C-31A7-4462-B490-81A83EEC0627	
wd:Q155	skos:exactMatch	pactols:pcrt8MX4DfGUpg	semapv:UnspecifiedMatching	Brazil		http://www.wikidata.org/entity/statement/Q155-85EE40B3-DF80-42B7-897A-1453AD85F3DD	
wd:Q159	skos:exactMatch	pactols:pcrtcKMORMvnpp	semapv:UnspecifiedMatching	Russia		http://www.wikidata.org/entity/statement/Q159-D46B2700-3B6D-4B4A-A45B-302ED154677E	
wd:Q160	skos:exactMatch	pactols:pcrtcSV8UOi49m	semapv:UnspecifiedMatching	Cetacea		http://www.wikidata.org/entity/statement/Q160-DBD5F6FB-1B6C-4741-9845-CE847C7DE28F	
wd:Q162	skos:exactMatch	pactols:crtBYTkuPf1VM	semapv:UnspecifiedMatching	optical fiber		http://www.wikidata.org/entity/statement/Q162-595EB875-7C64-496B-8E80-B47751647D21	
wd:Q163	skos:exactMatch	pactols:pcrtNvO6ulFMmb	semapv:UnspecifiedMatching	Yorkshire		http://www.wikidata.org/entity/statement/Q163-16918A5A-D49E-4D40-B51B-EDD8A6AF22B0	
wd:Q165	skos:exactMatch	pactols:pcrtj7UzwMo9cV	semapv:UnspecifiedMatching	sea		http://www.wikidata.org/entity/statement/Q165-9AE2A112-61F0-40EA-9582-58D5FB4C7C46	
wd:Q166	skos:exactMatch	pactols:pcrt8OD6tu2qPy	semapv:UnspecifiedMatching	Black Sea		http://www.wikidata.org/entity/statement/Q166-72C1F7FE-E023-4AFC-8D52-F1DB44F93EC0	
wd:Q176	skos:exactMatch	pactols:pcrt2b4vHOgFhF	semapv:UnspecifiedMatching	Quebec		http://www.wikidata.org/entity/statement/Q176-90D4B41E-0709-4C2C-AC05-8FA29E276BDC	
wd:Q18	skos:exactMatch	pactols:pcrtX6SR0Eb4xv	semapv:UnspecifiedMatching	South America		http://www.wikidata.org/entity/statement/Q18-9B0DDD22-4A7F-4C0C-8D7F-FC6E7A694B94	
wd:Q183	skos:exactMatch	pactols:pcrtqWfZe0oIFl	semapv:UnspecifiedMatching	Germany		http://www.wikidata.org/entity/statement/Q183-c9cf3ac6-4f4a-675d-82d8-7d481a761cea	
wd:Q184	skos:exactMatch	pactols:pcrtfnv2UGSStJ	semapv:UnspecifiedMatching	Belarus		http://www.wikidata.org/entity/statement/Q184-5D4113B9-04E9-42EF-B31C-4AA5F4B271E5	
wd:Q188	skos:exactMatch	pactols:pcrtN1HRSYhjlt	semapv:UnspecifiedMatching	German		http://www.wikidata.org/entity/statement/Q188-C1237A2D-444D-4217-BE36-1B6D27155EE9	
wd:Q189	skos:exactMatch	pactols:pcrtbz8ZQRKWhq	semapv:UnspecifiedMatching	Iceland		http://www.wikidata.org/entity/statement/Q189-2535F95B-3D14-471A-94E5-541D7F5E3C59	
wd:Q190	skos:exactMatch	pactols:pcrtteqAxnS8SF	semapv:UnspecifiedMatching	God		http://www.wikidata.org/entity/statement/Q190-56869a35-40bc-75ad-4bb7-4d1ea44b63db	
wd:Q191	skos:exactMatch	pactols:pcrtVRPktXgRlD	semapv:UnspecifiedMatching	Estonia		http://www.wikidata.org/entity/statement/Q191-420338B6-94D7-4895-8F8F-47680A7EBCEA	
