#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#  pactols_lieux: https://ark.frantiq.fr/ark:/26678/th17
#  pactols_sujets: https://ark.frantiq.fr/ark:/26678/TH_1
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_pactols_lieux.sssom.tsv
#mapping_set_title: Wikidata to PACTOLS (pactols_lieux)
#mapping_set_description: Wikidata items carrying a P4212 identifier, harvested via SPARQL from https://query.wikidata.org/sparql, restricted to ids found in the local Pactols pactols_lieux dump.
#license: https://creativecommons.org/licenses/by/4.0/
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: bartoc:en/node/1940
#object_source: pactols_lieux:
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI. Lieux/Sujets scheme determined by looking up each id against local Pactols RDF dumps (load_pactols_scheme_index(), PACTOLS_DIR) — not from Wikidata itself, since P4212 doesn't distinguish the two schemes.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q145	skos:exactMatch	pactols:pcrtJalayzhciB	semapv:UnspecifiedMatching	United Kingdom		http://www.wikidata.org/entity/statement/Q145-27473108-A312-4DC2-B0B6-FDAE7D4CDB3D	
wd:Q15	skos:exactMatch	pactols:pcrtLB2qBVhGjT	semapv:UnspecifiedMatching	Africa		http://www.wikidata.org/entity/statement/Q15-b9f22d1d-4aed-209b-d535-a46116dd9d84	
wd:Q159	skos:exactMatch	pactols:pcrtcKMORMvnpp	semapv:UnspecifiedMatching	Russia		http://www.wikidata.org/entity/statement/Q159-D46B2700-3B6D-4B4A-A45B-302ED154677E	
wd:Q163	skos:exactMatch	pactols:pcrtNvO6ulFMmb	semapv:UnspecifiedMatching	Yorkshire		http://www.wikidata.org/entity/statement/Q163-16918A5A-D49E-4D40-B51B-EDD8A6AF22B0	
wd:Q166	skos:exactMatch	pactols:pcrt8OD6tu2qPy	semapv:UnspecifiedMatching	Black Sea		http://www.wikidata.org/entity/statement/Q166-72C1F7FE-E023-4AFC-8D52-F1DB44F93EC0	
wd:Q18	skos:exactMatch	pactols:pcrtX6SR0Eb4xv	semapv:UnspecifiedMatching	South America		http://www.wikidata.org/entity/statement/Q18-9B0DDD22-4A7F-4C0C-8D7F-FC6E7A694B94	
wd:Q183	skos:exactMatch	pactols:pcrtqWfZe0oIFl	semapv:UnspecifiedMatching	Germany		http://www.wikidata.org/entity/statement/Q183-c9cf3ac6-4f4a-675d-82d8-7d481a761cea	
wd:Q184	skos:exactMatch	pactols:pcrtfnv2UGSStJ	semapv:UnspecifiedMatching	Belarus		http://www.wikidata.org/entity/statement/Q184-5D4113B9-04E9-42EF-B31C-4AA5F4B271E5	
wd:Q189	skos:exactMatch	pactols:pcrtbz8ZQRKWhq	semapv:UnspecifiedMatching	Iceland		http://www.wikidata.org/entity/statement/Q189-2535F95B-3D14-471A-94E5-541D7F5E3C59	
wd:Q191	skos:exactMatch	pactols:pcrtVRPktXgRlD	semapv:UnspecifiedMatching	Estonia		http://www.wikidata.org/entity/statement/Q191-420338B6-94D7-4895-8F8F-47680A7EBCEA	
wd:Q21	skos:exactMatch	pactols:pcrtf8JAKrEv8Z	semapv:UnspecifiedMatching	England		http://www.wikidata.org/entity/statement/Q21-5A7F4B4C-FCE8-47EB-8957-465B97516BCB	
wd:Q212	skos:exactMatch	pactols:pcrtim1blQqQS6	semapv:UnspecifiedMatching	Ukraine		http://www.wikidata.org/entity/statement/Q212-0999F250-A60A-4638-A553-FD7025A55D73	
wd:Q213	skos:exactMatch	pactols:pcrt3wjSIMYnbc	semapv:UnspecifiedMatching	Czech Republic		http://www.wikidata.org/entity/statement/Q213-865991A4-B047-413F-9828-BFB5C0246827	
wd:Q214	skos:exactMatch	pactols:pcrtbTqb2JyHjG	semapv:UnspecifiedMatching	Slovakia		http://www.wikidata.org/entity/statement/Q214-DE7DDAA6-D83C-42A0-853C-5D0001123D8F	
wd:Q215	skos:exactMatch	pactols:pcrtQaSzfXMOcR	semapv:UnspecifiedMatching	Slovenia		http://www.wikidata.org/entity/statement/Q215-A2CB32B2-7930-4EC1-B415-B79B9EEE82CD	
wd:Q218	skos:exactMatch	pactols:pcrtouddTazlaJ	semapv:UnspecifiedMatching	Romania		http://www.wikidata.org/entity/statement/Q218-DA65B7DF-3DAB-48F2-B392-0E0C7B9ABAB9	
wd:Q22	skos:exactMatch	pactols:pcrt09u3grcPas	semapv:UnspecifiedMatching	Scotland		http://www.wikidata.org/entity/statement/Q22-1A72B410-0244-4927-80E3-04EA24BA11B9	
wd:Q220	skos:exactMatch	pactols:pcrtW9ctTWwSAK	semapv:UnspecifiedMatching	Rome		http://www.wikidata.org/entity/statement/Q220-86EFC94C-D3A4-41B1-B775-655A4F497E76	
wd:Q221	skos:exactMatch	pactols:pcrtnTgevpGasV	semapv:UnspecifiedMatching	North Macedonia		http://www.wikidata.org/entity/statement/Q221-CFDA891C-8F40-4111-B103-C4A5AB708704	
wd:Q225	skos:exactMatch	pactols:pcrtaHJquXGeHF	semapv:UnspecifiedMatching	Bosnia and Herzegovina		http://www.wikidata.org/entity/statement/Q225-75971FC5-0CB0-40FF-80AB-201F6217FBDA	
wd:Q228	skos:exactMatch	pactols:pcrtoNW72q8wuj	semapv:UnspecifiedMatching	Andorra		http://www.wikidata.org/entity/statement/Q228-08C2BDBB-7AE7-4913-B234-F84E6D4C5C58	
wd:Q230	skos:exactMatch	pactols:pcrtKd058eA7RH	semapv:UnspecifiedMatching	Georgia		http://www.wikidata.org/entity/statement/Q230-e9ae3c66-449d-573d-8eb2-46945a19ca9b	
wd:Q233	skos:exactMatch	pactols:pcrtVwSOOE57Gb	semapv:UnspecifiedMatching	Malta		http://www.wikidata.org/entity/statement/Q233-aa37f3b4-484c-2ca9-82a2-b6fa7f4387fd	
wd:Q235	skos:exactMatch	pactols:pcrtpF33P2Hvp5	semapv:UnspecifiedMatching	Monaco		http://www.wikidata.org/entity/statement/Q235-7e628595-434c-a9e4-8f52-3e1fb7548464	
wd:Q237	skos:exactMatch	pactols:pcrtdzKf8MRUc1	semapv:UnspecifiedMatching	Vatican City		http://www.wikidata.org/entity/statement/Q237-84F37982-A112-4756-9048-D74E78B861B2	
wd:Q238	skos:exactMatch	pactols:pcrtih5VDm6vVw	semapv:UnspecifiedMatching	San Marino		http://www.wikidata.org/entity/statement/Q238-cae2ff3a-4d2f-9175-fb47-1290f0f252e8	
wd:Q25	skos:exactMatch	pactols:pcrtIHNhwUqyTa	semapv:UnspecifiedMatching	Wales		http://www.wikidata.org/entity/statement/Q25-2AACCCFD-EE93-4A5C-ABE3-B4D810CFA76B	
wd:Q252	skos:exactMatch	pactols:pcrt9mxjtYoiVP	semapv:UnspecifiedMatching	Indonesia		http://www.wikidata.org/entity/statement/Q252-5A4EBDB1-33DF-4D51-8192-1637F2EFDD65	
wd:Q26	skos:exactMatch	pactols:pcrtJrLSEvk8S8	semapv:UnspecifiedMatching	Northern Ireland		http://www.wikidata.org/entity/statement/Q26-B4ED23F0-CA21-4330-AD35-7987D719C836	
wd:Q29	skos:exactMatch	pactols:pcrt7U5QDwklO6	semapv:UnspecifiedMatching	Spain		http://www.wikidata.org/entity/statement/Q29-baea4c97-4e1a-1e64-3f6d-65d619d2eb18	
wd:Q30	skos:exactMatch	pactols:pcrt2u8Qljdpk4	semapv:UnspecifiedMatching	United States		http://www.wikidata.org/entity/statement/Q30-5D2AE5C9-9CE5-4362-BFB7-33403943783E	
wd:Q31	skos:exactMatch	pactols:pcrtnvDNtYeAKn	semapv:UnspecifiedMatching	Belgium		http://www.wikidata.org/entity/statement/Q31-18f12b85-472e-21dc-b4c2-18fab033c2a9	
wd:Q32	skos:exactMatch	pactols:pcrtvipSRK8SQb	semapv:UnspecifiedMatching	Luxembourg		http://www.wikidata.org/entity/statement/Q32-b76aac59-46d5-3cd1-163e-520a2a50348d	
wd:Q33	skos:exactMatch	pactols:pcrtowZhxdFTnR	semapv:UnspecifiedMatching	Finland		http://www.wikidata.org/entity/statement/Q33-4B9CEF58-01C7-4A1C-B094-13E49876A8FC	
wd:Q34	skos:exactMatch	pactols:pcrtYskbU26x34	semapv:UnspecifiedMatching	Sweden		http://www.wikidata.org/entity/statement/Q34-B95E7EB9-F702-420A-9D02-2AFF99273811	
wd:Q36	skos:exactMatch	pactols:pcrtfyvnrVsGyV	semapv:UnspecifiedMatching	Poland		http://www.wikidata.org/entity/statement/Q36-7EF5BC91-9FDB-434B-BBE4-97DE75DD8235	
wd:Q37	skos:exactMatch	pactols:pcrtzoum2e1WOF	semapv:UnspecifiedMatching	Lithuania		http://www.wikidata.org/entity/statement/Q37-1187140F-0DF1-47FA-8F92-1C1FF5CEA97D	
wd:Q38	skos:exactMatch	pactols:pcrtJMM57XGicu	semapv:UnspecifiedMatching	Italy		http://www.wikidata.org/entity/statement/Q38-05f2c7f0-4698-ca45-0344-7e634085e6c4	
wd:Q39	skos:exactMatch	pactols:pcrtvQdxXlS93r	semapv:UnspecifiedMatching	Switzerland		http://www.wikidata.org/entity/statement/Q39-4DD1FE42-8CE5-46EC-B106-80D082C0B54C	
wd:Q40	skos:exactMatch	pactols:pcrtnyryp0p9Qy	semapv:UnspecifiedMatching	Austria		http://www.wikidata.org/entity/statement/Q40-82D363D9-B7F6-4269-8C13-32125F835F5B	
wd:Q41	skos:exactMatch	pactols:pcrt1QBT2dSrXi	semapv:UnspecifiedMatching	Greece		http://www.wikidata.org/entity/statement/Q41-D7546E4B-1F4D-48B5-A06B-9E7A89E68556	
wd:Q43	skos:exactMatch	pactols:pcrtcxNUzqbnbx	semapv:UnspecifiedMatching	Turkey		http://www.wikidata.org/entity/statement/Q43-52C9FB51-E9BE-41F1-9F71-F6AC3E4DB9A4	
wd:Q45	skos:exactMatch	pactols:pcrtVt6JFDVHQg	semapv:UnspecifiedMatching	Portugal		http://www.wikidata.org/entity/statement/Q45-F5395FB9-CFF5-4F93-82A2-A230AD829848	
wd:Q48	skos:exactMatch	pactols:pcrtOy6zXTSBps	semapv:UnspecifiedMatching	Asia		http://www.wikidata.org/entity/statement/Q48-C814E04B-A736-4D83-B6E1-722C282905D5	
wd:Q60	skos:exactMatch	pactols:pcrtL2r8aPMyp4	semapv:UnspecifiedMatching	New York City		http://www.wikidata.org/entity/statement/Q60-125caaeb-4ebe-f536-1eb8-fde1e22e1f7a	
