#curie_map:
#  wd: http://www.wikidata.org/entity/
#  wds: http://www.wikidata.org/entity/statement/
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#  pactols_lieux: https://ark.frantiq.fr/ark:/26678/th17
#  pactols_sujets: https://ark.frantiq.fr/ark:/26678/TH_1
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wikidata_pactols_sujets.sssom.tsv
#mapping_set_title: Wikidata to PACTOLS (pactols_sujets)
#mapping_set_description: Wikidata items carrying a P4212 identifier, harvested via SPARQL from https://query.wikidata.org/sparql, restricted to ids found in the local Pactols pactols_sujets dump.
#license: https://creativecommons.org/licenses/by/4.0/
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_provider: https://www.wikidata.org/
#mapping_tool: build_wikidata_mappings.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_wikidata_mappings.py
#subject_source: bartoc:en/node/1940
#object_source: pactols_sujets:
#comment: predicate_id defaults to skos:exactMatch (per project decision); overridden per-row only when the Wikidata statement carries a mapping relation type (P4390) qualifier. mapping_source is the specific Wikidata statement URI. Lieux/Sujets scheme determined by looking up each id against local Pactols RDF dumps (load_pactols_scheme_index(), PACTOLS_DIR) — not from Wikidata itself, since P4212 doesn't distinguish the two schemes.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_source	comment
wd:Q112	skos:exactMatch	pactols:pcrtu9XrG3KUEb	semapv:UnspecifiedMatching	Mars		http://www.wikidata.org/entity/statement/Q112-1B623DA3-C930-48DA-8A45-70770585935A	
wd:Q140	skos:exactMatch	pactols:pcrt5TAeZsO7W4	semapv:UnspecifiedMatching	lion		http://www.wikidata.org/entity/statement/Q140-AD6CD534-1FD2-4AC7-9CF8-9D2B4C46927C	
wd:Q144	skos:exactMatch	pactols:pcrt4v7jKE3TVw	semapv:UnspecifiedMatching	dog		http://www.wikidata.org/entity/statement/Q144-347CB7E6-4BF0-4473-8DFF-2B4F5517B8C2	
wd:Q146	skos:exactMatch	pactols:pcrtBEscNJUhBp	semapv:UnspecifiedMatching	cat		http://www.wikidata.org/entity/statement/Q146-59458BC1-C9B3-4F43-9A83-D1B6BB389095	
wd:Q150	skos:exactMatch	pactols:pcrtpIwFHMfcL1	semapv:UnspecifiedMatching	French		http://www.wikidata.org/entity/statement/Q150-72A0CD25-A227-4A5E-B4D8-41105AC537BD	
wd:Q152	skos:exactMatch	pactols:pcrtWzsaEhKlzd	semapv:UnspecifiedMatching	fish		http://www.wikidata.org/entity/statement/Q152-0B3A055C-31A7-4462-B490-81A83EEC0627	
wd:Q160	skos:exactMatch	pactols:pcrtcSV8UOi49m	semapv:UnspecifiedMatching	Cetacea		http://www.wikidata.org/entity/statement/Q160-DBD5F6FB-1B6C-4741-9845-CE847C7DE28F	
wd:Q162	skos:exactMatch	pactols:crtBYTkuPf1VM	semapv:UnspecifiedMatching	optical fiber		http://www.wikidata.org/entity/statement/Q162-595EB875-7C64-496B-8E80-B47751647D21	
wd:Q165	skos:exactMatch	pactols:pcrtj7UzwMo9cV	semapv:UnspecifiedMatching	sea		http://www.wikidata.org/entity/statement/Q165-9AE2A112-61F0-40EA-9582-58D5FB4C7C46	
wd:Q188	skos:exactMatch	pactols:pcrtN1HRSYhjlt	semapv:UnspecifiedMatching	German		http://www.wikidata.org/entity/statement/Q188-C1237A2D-444D-4217-BE36-1B6D27155EE9	
wd:Q190	skos:exactMatch	pactols:pcrtteqAxnS8SF	semapv:UnspecifiedMatching	God		http://www.wikidata.org/entity/statement/Q190-56869a35-40bc-75ad-4bb7-4d1ea44b63db	
wd:Q197	skos:exactMatch	pactols:pcrtzT5pONhSNv	semapv:UnspecifiedMatching	airplane		http://www.wikidata.org/entity/statement/Q197-0207DCF3-1EE7-4A63-BACF-EDFC8EE1D87A	
wd:Q198	skos:exactMatch	pactols:pcrtf1yEbB24G1	semapv:UnspecifiedMatching	war		http://www.wikidata.org/entity/statement/Q198-8F1B1A2A-68F1-4D78-8B77-4099DF164D3D	
wd:Q2	skos:exactMatch	pactols:pcrtYJe0Kp7hmm	semapv:UnspecifiedMatching	Earth		http://www.wikidata.org/entity/statement/Q2-8BFA1EB0-FF22-4712-A69D-14DEDBB6C75B	
wd:Q205	skos:exactMatch	pactols:pcrteSXZqzQEPX	semapv:UnspecifiedMatching	infinity		http://www.wikidata.org/entity/statement/Q205-42A0787F-C234-4520-A052-2E4FA9D2B654	
wd:Q3	skos:exactMatch	pactols:pcrtmkxcYMqVKc	semapv:UnspecifiedMatching	life		http://www.wikidata.org/entity/statement/Q3-22A8CFCA-BC26-427C-8BB2-191BFD743B0B	
wd:Q4	skos:exactMatch	pactols:pcrtmp4yojZGZh	semapv:UnspecifiedMatching	death		http://www.wikidata.org/entity/statement/Q4-228F544A-DADC-4B79-A5A5-C794735FB41D	
wd:Q4	skos:exactMatch	pactols:pcrtNb90Egda4H	semapv:UnspecifiedMatching	death		http://www.wikidata.org/entity/statement/Q4-72B5B172-2E61-472B-AA16-2CF1B4E8D79F	
wd:Q44	skos:exactMatch	pactols:pcrt3nBjHrcDGM	semapv:UnspecifiedMatching	beer		http://www.wikidata.org/entity/statement/Q44-516EEF6D-D401-4162-9F6A-DD42A93F5272	
wd:Q5	skos:exactMatch	pactols:pcrtUKPDSjlOdz	semapv:UnspecifiedMatching	human		http://www.wikidata.org/entity/statement/Q5-987B3E2B-7037-401A-9930-E2E098EFF3AD	
wd:Q75	skos:exactMatch	pactols:crtLHsobkS02w	semapv:UnspecifiedMatching	Internet		http://www.wikidata.org/entity/statement/Q75-B1550889-42D4-4EC9-A525-9504D1B92E20	
wd:Q8	skos:exactMatch	pactols:pcrtIoXHfp6d0L	semapv:UnspecifiedMatching	happiness		http://www.wikidata.org/entity/statement/Q8-3A404419-DC7A-418B-960C-B2297A7D9CE4	
wd:Q1001041	skos:exactMatch	pactols:pcrtSAxp1zwnYT	semapv:UnspecifiedMatching	Buddhist art		http://www.wikidata.org/entity/statement/Q1001041-E9EC8F5F-851C-474A-91A2-180004CAC7DE	
