#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  bartoc: http://bartoc.org/
#  aat: http://vocab.getty.edu/aat/
#  wikidata: http://www.wikidata.org/entity/
#  gnd: https://d-nb.info/gnd/
#  dai: http://thesauri.dainst.org/
#  backbone: https://vocabs.dariah.eu/bbt/Concept/
#  wnk: http://lvr.vocnet.org/wnk/
#  defc: https://vocabs.acdh.oeaw.ac.at/defcthesaurus/
#  OeAI_ctp: https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/
#  OeAI_m: https://vocabs.acdh.oeaw.ac.at/oeai-materials/
#  gemet: http://www.eionet.europa.eu/gemet/concept/
#  dyas: https://humanitiesthesaurus.academyofathens.gr/dyas-resource/Concept/
#  fish: http://purl.org/heritagedata/
#  pactols: https://ark.frantiq.fr/ark:/26678/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/wnk_wikidata.sssom.tsv
#mapping_set_title: Wortnetz Kultur → Wikidata SKOS mappings
#mapping_set_description: SKOS mappings extracted from local RDF dump(s) of Wortnetz Kultur (concept scheme: http://lvr.vocnet.org/wnk), targeting Wikidata (concept scheme: http://bartoc.org/en/node/1940). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-15
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel-Länger
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: github:LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://lvr.vocnet.org/wnk
#object_source: bartoc:en/node/1940
#comment: Extracted from local RDF file(s) Wortnetz/Wortnetz Kultur.rdf; source graph(s) contain SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
wnk:wk000044	waterworks (arch.)	skos:exactMatch	wikidata:Q2551228		semapv:UnspecifiedMatching	
wnk:wk000071	watchtower	skos:exactMatch	wikidata:Q947103		semapv:UnspecifiedMatching	
wnk:wk000112	architectural element	skos:exactMatch	wikidata:Q391414		semapv:UnspecifiedMatching	
wnk:wk000126	building (structure)	skos:exactMatch	wikidata:Q41176		semapv:UnspecifiedMatching	
wnk:wk000133	hydraulic structure	skos:closeMatch	wikidata:Q2466889		semapv:UnspecifiedMatching	
wnk:wk000149	commercial buildings	skos:closeMatch	wikidata:Q655686		semapv:UnspecifiedMatching	
wnk:wk000278	relief (sculpture technique)	skos:exactMatch	wikidata:Q126003010		semapv:UnspecifiedMatching	
wnk:wk000291	barbican	skos:exactMatch	wikidata:Q23394		semapv:UnspecifiedMatching	
wnk:wk000316	building division	skos:exactMatch	wikidata:Q3305339		semapv:UnspecifiedMatching	
wnk:wk000398	steam hammer	skos:exactMatch	wikidata:Q19767		semapv:UnspecifiedMatching	
wnk:wk000483	posthole	skos:exactMatch	wikidata:Q1742751		semapv:UnspecifiedMatching	
wnk:wk000515	architect	skos:exactMatch	wikidata:Q42973		semapv:UnspecifiedMatching	
wnk:wk000560	commissioner	skos:exactMatch	wikidata:Q760086		semapv:UnspecifiedMatching	
wnk:wk000700	residential building	skos:exactMatch	wikidata:Q11755880		semapv:UnspecifiedMatching	
wnk:wk000721	pen (fencing)	skos:exactMatch	wikidata:Q858177		semapv:UnspecifiedMatching	
wnk:wk000723	chamber tomb	skos:exactMatch	wikidata:Q358316		semapv:UnspecifiedMatching	
wnk:wk000826	fortified house	skos:exactMatch	wikidata:Q1408475		semapv:UnspecifiedMatching	
wnk:wk000874	defensive tower	skos:closeMatch	wikidata:Q81917		semapv:UnspecifiedMatching	
wnk:wk000886	social and civic building	skos:closeMatch	wikidata:Q56148050		semapv:UnspecifiedMatching	
