#curie_map:
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#  orcid: https://orcid.org/
#  github: https://github.com/
#  aat: http://vocab.getty.edu/aat/
#mapping_set_id: https://raw.githubusercontent.com/LasseMempel/thesaurusscience/main/Mappings/auto/wortnetz__http_lvr_vocnet_org_wnk__unknown_target_scheme.sssom.tsv
#mapping_set_title: Wortnetz SKOS mappings extracted from local dump
#mapping_set_description: SKOS mappings extracted from a local RDF dump of Wortnetz (concept scheme: http://lvr.vocnet.org/wnk). The original procedure by which the mappings were established is unknown; mapping_justification is therefore semapv:UnspecifiedMatching.
#license: https://creativecommons.org/licenses/by/4.0/
#publication_date: 2026-09-10
#creator_id: orcid:0009-0001-5183-1635
#creator_label: Lasse Mempel
#mapping_tool: extract_skos_mappings_to_sssom.py
#mapping_tool_id: https://github.com/LasseMempel/thesaurusscience/blob/main/Scripts/build_vocabulary_mappings.py
#subject_source: http://lvr.vocnet.org/wnk
#comment: Extracted from local RDF file Wortnetz Kultur.rdf; source graph contains SKOS mapping assertions without information about the original mapping process or a mapping-specific source label.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
http://lvr.vocnet.org/wnk/wk000003	paper  mill	skos:exactMatch	aat:300006308		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000003	paper  mill	skos:exactMatch	http://d-nb.info/gnd/4173213-3		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000003	paper  mill	skos:exactMatch	http://purl.org/heritagedata/schemes/eh_tmt2/concepts/69156		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000009	post mill	skos:closeMatch	aat:300411564		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000009	post mill	skos:exactMatch	http://d-nb.info/gnd/4146119-8		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000011	flour mill	skos:exactMatch	aat:300006286		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000011	flour mill	skos:exactMatch	http://d-nb.info/gnd/4113745-0		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000015	bark mill	skos:exactMatch	aat:300024458		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000015	bark mill	skos:exactMatch	http://d-nb.info/gnd/7600307-3		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000018	oil  mill	skos:exactMatch	aat:300248351		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000018	oil  mill	skos:exactMatch	http://d-nb.info/gnd/4172433-1		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000019	powder mill	skos:closeMatch	http://d-nb.info/gnd/4488732-2		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000019	powder mill	skos:exactMatch	aat:300185661		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000019	powder mill	skos:exactMatch	http://purl.org/heritagedata/schemes/eh_tmt2/concepts/69152		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000023	Tool and Equipment (hierarchy name)	skos:exactMatch	aat:300022238		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000024	Single Built Work (hierarchy name)	skos:exactMatch	aat:300004789		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000033	grinding mill (technology)	skos:closeMatch	https://www.wikidata.org/wiki/Q2238889		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000033	grinding mill (technology)	skos:exactMatch	http://d-nb.info/gnd/1023443244		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000034	fulling mill	skos:exactMatch	aat:300006324		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000034	fulling mill	skos:exactMatch	http://d-nb.info/gnd/4661818-1		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000034	fulling mill	skos:exactMatch	http://purl.org/heritagedata/schemes/eh_tmt2/concepts/69321		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000038	coffee mill	skos:exactMatch	aat:300207798		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000038	coffee mill	skos:exactMatch	http://d-nb.info/gnd/4162999-1		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000041	Archimedes' screw	skos:closeMatch	http://d-nb.info/gnd/7704833-7		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000041	Archimedes' screw	skos:exactMatch	https://www.wikidata.org/wiki/Q189155		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000044	waterworks (arch.)	skos:exactMatch	aat:300006215		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000044	waterworks (arch.)	skos:exactMatch	http://www.wikidata.org/entity/Q2551228		semapv:UnspecifiedMatching	
http://lvr.vocnet.org/wnk/wk000044	waterworks (arch.)	skos:narrowMatch	http://d-nb.info/gnd/4079063-0		semapv:UnspecifiedMatching	
