section,source_uri,source_label,target_label,target_uri,match,skos_predicate
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/97722,ASHLAR,ashlar,http://vocab.getty.edu/aat/300011701,close match,closeMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/97777,BRICK,brick (clay product),http://vocab.getty.edu/aat/300010463,close match,closeMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/97813,CERAMIC,ceramic (material),http://vocab.getty.edu/aat/300235507,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/97840,CONCRETE,concrete,http://vocab.getty.edu/aat/300010737,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/97873,DAUB,daub,http://vocab.getty.edu/aat/300163933,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/97939,GLASS,glass (material),http://vocab.getty.edu/aat/300010797,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/98028,LIMESTONE,limestone,http://vocab.getty.edu/aat/300011286,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/98193,SLAG,slag,http://vocab.getty.edu/aat/300011790,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/98194,SLATE,slate (roofing),http://vocab.getty.edu/aat/300389711,close match,closeMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/98216,STONE,stone (worked rock),http://vocab.getty.edu/aat/300011176,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/98241,TILE,tile (materials),http://vocab.getty.edu/aat/300010676,exact match,exactMatch
1. ADS Building Materials,http://purl.org/heritagedata/schemes/eh_tbm/concepts/98243,TIN,tin (metal),http://vocab.getty.edu/aat/300133748,close match,closeMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/137632,CRANE,cranes (equipment),http://vocab.getty.edu/aat/300022331,exact match,exactMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/137654,CRUCK,crucks,http://vocab.getty.edu/aat/300001846,exact match,exactMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/137700,DORMER WINDOW,dormers,http://vocab.getty.edu/aat/300002232,close match,closeMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/137771,FIREPLACE,fireplaces,http://vocab.getty.edu/aat/300052267,exact match,exactMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/137950,LINTEL,lintels (spanning elements),http://vocab.getty.edu/aat/300003161,exact match,exactMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/138038,ORIEL WINDOW,oriel windows,http://vocab.getty.edu/aat/300002954,exact match,exactMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/138059,PARAPET,parapets,http://vocab.getty.edu/aat/300002717,exact match,exactMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/138109,POST HOLE,posts (structural elements),http://vocab.getty.edu/aat/300001609,broad match,broadMatch
2. ADS Components,http://purl.org/heritagedata/schemes/eh_com/concepts/138191,SAIL,sails (equipment),http://vocab.getty.edu/aat/300185694,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/96909,ADZE,adzes,http://vocab.getty.edu/aat/300023553,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95055,AGRICULTURE AND SUBSISTENCE,agriculture,http://vocab.getty.edu/aat/300054463,close match,closeMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/142915,ALLUVIUM,alluvium,http://vocab.getty.edu/aat/300264223,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/100100,AMPHIBIAN REMAINS,animal components,http://vocab.getty.edu/aat/300251797,broad match,broadMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/96750,AMPHORA,amphorae (storage vessels),http://vocab.getty.edu/aat/300148696,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95897,AMPULLA,ampullae,http://vocab.getty.edu/aat/300198899,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95896,AMULET,amulets,http://vocab.getty.edu/aat/300266585,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/97102,ANGON,angons,http://vocab.getty.edu/aat/300036975,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95074,Animal Bone,skeleton components (animal components),http://vocab.getty.edu/aat/300191781,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95054,ANIMAL EQUIPMENT,animal husbandry equipment,http://vocab.getty.edu/aat/300255532,broad match,broadMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/100097,ANIMAL MICRO REMAINS,animal components,http://vocab.getty.edu/aat/300251797,broad match,broadMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95074,ANIMAL REMAINS,animal material,http://vocab.getty.edu/aat/300011793,close match,closeMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95074,Animal Tooth,teeth (animal components),http://vocab.getty.edu/aat/300400467,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/97114,ANNULAR BROOCH,ring brooches,http://vocab.getty.edu/aat/300263352,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/141231,Ansate Brooch,brooches,http://vocab.getty.edu/aat/300045995,broad match,broadMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95074,Antler,antlers (animal components),http://vocab.getty.edu/aat/300395687,exact match,exactMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/95074,Antler Tine,antlers (animal components),http://vocab.getty.edu/aat/300395687,broad match,broadMatch
3. ADS Fish Objects,http://purl.org/heritagedata/schemes/mda_obj/concepts/96360,ARCHITECTURAL ELEMENT,architectural elements,http://vocab.getty.edu/aat/300000885,exact match,exactMatch
