section,source_uri,source_label,target_label,target_uri,match,skos_predicate
1. DAI Books,http://thesauri.dainst.org/_fa871da9,Aufzeichnung,chronicles,http://vocab.getty.edu/aat/300026361,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_85e43cae,Codex,codices,http://vocab.getty.edu/aat/300224200,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_1483b8da,Film,film (performing arts),http://vocab.getty.edu/aat/300054141,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_dddfb42c,Grabungsdokumentati on,documentation (activity),http://vocab.getty.edu/aat/300054638,close match,closeMatch
1. DAI Books,http://thesauri.dainst.org/_54363cb0,Kopie,replicas,http://vocab.getty.edu/aat/300015642,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_cbc68254,Korrespondenz,correspondence,http://vocab.getty.edu/aat/300026877,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_a0f55911,Materialsammlung,topical collections,http://vocab.getty.edu/aat/300378926,close match,closeMatch
1. DAI Books,http://thesauri.dainst.org/_befe9436,Leder,leather,http://vocab.getty.edu/aat/300011845,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_7963201b,Leinwand,canvas,http://vocab.getty.edu/aat/300014078,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_1386,Papier,<paper by composition or origin>,http://vocab.getty.edu/aat/300014110,close match,closeMatch
1. DAI Books,http://thesauri.dainst.org/_2676,Papyrus,papyrus (fiber product),http://vocab.getty.edu/aat/300014127,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_2677,Pergament,vellum (paper),http://vocab.getty.edu/aat/300250699,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_9ad3989f,Autor,authors,http://vocab.getty.edu/aat/300025492,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_ba4cc9e2,Grabungsleiter,excavators,http://vocab.getty.edu/aat/300390592,close match,closeMatch
1. DAI Books,http://thesauri.dainst.org/_2701,Künstler,artists (visual artists),http://vocab.getty.edu/aat/300025103,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_dd360f8a,Photograph,photographers,http://vocab.getty.edu/aat/300025687,exact match,exactMatch
1. DAI Books,http://thesauri.dainst.org/_150ca422,Regisseur,directors (performing arts),http://vocab.getty.edu/aat/300025654,exact match,exactMatch
2. DAI Collections,http://thesauri.dainst.org/_3d134df3,aristokratisch,aristocracy,http://vocab.getty.edu/aat/300055484,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_0c5b348e,bürgerlich,burghers,http://vocab.getty.edu/aat/300386272,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_30178e37,Museum,museums (institutions),http://vocab.getty.edu/aat/300312281,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_5,Sonstiges,miscellaneous,http://vocab.getty.edu/aat/300386698,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_0189f056,Auktion,auctions,http://vocab.getty.edu/aat/300054751,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_0492ee07,Schenkung,donations,http://vocab.getty.edu/aat/300079436,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_22f17d06,Vererbung,events (activities),http://vocab.getty.edu/aat/300069084,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_56cad583,Verkauf,sales events,http://vocab.getty.edu/aat/300069089,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_17efda54,Zerstörung,destruction (process),http://vocab.getty.edu/aat/300053087,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_c38aa55f,Versteigerung,auctions,http://vocab.getty.edu/aat/300054751,close match,closeMatch
2. DAI Collections,http://thesauri.dainst.org/_d289d1a9,Konfiszierung,confiscating,http://vocab.getty.edu/aat/300079201,close match,closeMatch
3. DAI Inscriptions,http://thesauri.dainst.org/_3881,griechisch,Greek (language),http://vocab.getty.edu/aat/300389734,exact match,exactMatch
3. DAI Inscriptions,http://thesauri.dainst.org/_3882,lateinisch,Latin (language),http://vocab.getty.edu/aat/300388693,exact match,exactMatch
3. DAI Inscriptions,http://thesauri.dainst.org/_d6217c47,arabisch,Arabic (style),http://vocab.getty.edu/aat/300385957,exact match,exactMatch
