section,source_uri,source_label,target_label,target_uri,match,skos_predicate
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt9Xvh4RiNS5,abandon de lieu,emigration,http://vocab.getty.edu/aat/300055406,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt8icSwjOM7u,abbatiale,abbey churches,http://vocab.getty.edu/aat/300007495,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt8icSwjOM7u,abbaye,abbeys (monasteries),http://vocab.getty.edu/aat/300000642,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtBpaSMOlWvz,abreuvoir,troughs (containers),http://vocab.getty.edu/aat/300220971,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtkeLpJpVN4t,abri sous roche,rock shelters,http://vocab.getty.edu/aat/300007699,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtJ71ZuyuOEq,abside,apses,http://vocab.getty.edu/aat/300004607,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrts8SiTTY3Ka,acquisition de ressource naturelle,extracting complexes,http://vocab.getty.edu/aat/300000388,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtIq8AvOPlPV,acquisition des données,recording,http://vocab.getty.edu/aat/300077610,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTQjJbnRU7S,acrotre,acroteria,http://vocab.getty.edu/aat/300002214,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtMNiNZMViWi,activités commerciales,trade (function),http://vocab.getty.edu/aat/300061886,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtF4g7aXEn6l,administrations,public administration,http://vocab.getty.edu/aat/300254069,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrthELuSjXqGH,adobe,adobe (material),http://vocab.getty.edu/aat/300081138,exact match,exactMatch
