technique,predicate,auc,cohens_d
levenshtein_full,closeMatch,0.7985286554284168,1.2178791417751271
levenshtein_full,exactMatch,0.789885126977528,1.2246177294137002
jaro_winkler_full,closeMatch,0.7765416666178522,1.1719291826478166
jaro_winkler_full,exactMatch,0.8158607858361067,1.311068194251562
token_sort_full,closeMatch,0.8024908238662658,1.237205031503097
token_sort_full,exactMatch,0.7832676004867395,1.2245356062170145
token_set_full,closeMatch,0.805503454303264,1.2675795595088075
token_set_full,exactMatch,0.784604378334319,1.2457286343763854
levenshtein_norm,closeMatch,0.8120324799402043,1.3616125045255618
levenshtein_norm,exactMatch,0.8344364032105286,1.5729523326699788
jaro_winkler_norm,closeMatch,0.7657997617075516,1.1631412785388646
jaro_winkler_norm,exactMatch,0.8228648827685705,1.3387393199999817
token_sort_norm,closeMatch,0.8226683599410946,1.4057736357050237
token_sort_norm,exactMatch,0.8381510802992218,1.6120500242999214
token_set_norm,closeMatch,0.8235388185896225,1.429551758732875
token_set_norm,exactMatch,0.8381275706264792,1.615194637051941
emb_e5-large-instruct_full,closeMatch,0.8923296542885026,1.7734375
emb_e5-large-instruct_full,exactMatch,0.9339532943152123,2.12890625
emb_e5-large-instruct_norm,closeMatch,0.8934291501722758,1.80078125
emb_e5-large-instruct_norm,exactMatch,0.9450038820719104,2.2734375
emb_m2v-bge-m3-1024d_full,closeMatch,0.7681399247633184,0.9638671875
emb_m2v-bge-m3-1024d_full,exactMatch,0.8091963887952304,1.146484375
emb_m2v-bge-m3-1024d_norm,closeMatch,0.7799660954599079,1.09765625
emb_m2v-bge-m3-1024d_norm,exactMatch,0.8321385558930565,1.361328125
